regard,"關心,注意,尊敬,尊重,致意,問候,關系,看待,當作,重視,尊敬,關系"
volume,"體積,大小,冊,卷,容量,大量,許多,份量"
votary,"崇拜者,熱心支持者參,奉獻的,反,懷疑者,反動分子"
voyage,"航行,航海,航程,旅行,航空,航海,航行,渡過,飛過"
voyeur,"法窺淫狂病人,偷看下流場面的人"
vulgar,"粗俗的,庸俗的,普通的,通俗的,本土的"
waddle,"鴨,鵝般地,搖搖擺擺地走"
waffle,"閑聊,胡扯華夫餅幹,無聊話"
wallow,"記,牆,低導致水溢出,在水中打滾你的孩子要是,就,他,在水裡,雪中或泥漿中懶散地或笨拙地,打滾,沉溺于,打滾,喻沉迷,顛簸,打滾,泥坑,墮落"
walrus,"記讀我弱死跟,比起來我弱死了,海象,北冰洋一帶的海中哺乳動物,長有一對長牙,粗糙的外皮,動海象,海象胡須"
wanted,"被徵求的,被招募的"
wanton,"荒唐的,嬉戲的,繁茂的,肆意的,不道德的,不貞潔的,蕩婦,水性楊花的女人,嬉戲,閑蕩,放肆,揮霍"
war--0,"戰爭,戰術,軍事,沖突,鬥爭,競爭,作戰,打仗,戰鬥,戰爭的,戰時的"
warmth,"溫暖,溫情,暖和,激動,生氣"
waylay,"記,躺在路邊躺著伏擊,是,的過去式及過去分詞,埋伏,從隱蔽中攻擊,類,謹慎的不易被騙挑剔的不易被滿足警覺的不易中埋伏,埋伏,伏擊,搶劫"
weaken,"削弱,減弱,使稀薄,變弱,變軟弱"
wealth,"財富,資源,財產,豐富,富裕,大量"
weapon,"武器,防衛或戰勝他人的方式"
weasel,"動鼬鼠,黃鼠狼,狡猾的人,告密者,含糊話,狡辯,躲避,告密,含糊其詞,抽掉,詞語,的含義"
weight,"重,重量,體重,砝碼,重擔,重大,影響,力量,勢力,加重量於,壓迫,使加權"
whimsy,"怪念頭,反覆無常,心情浮動"
whiten,"使白,漂白,變白"
wicked,"壞的,邪惡的,缺德的,刻毒的,惡劣的,淘氣的"
widely,"廣泛地,普遍地,到處,大量地"
wildly,"副詞,粗暴地,瘋狂地,雜亂地"
willow,"柳樹,柳木製品,柳樹的,柳木制的"
winnow,"簸,揚,谷,吹開糠皮,吹掉,精選,揚谷,分出好壞,飛行,揚谷,揚谷器"
wisdom,"智慧,明智的行為,學識,名言,賢人"
wishes,"祝福,致意"
wither,"因失去水分而,枯萎,凋零類脫水使水分降低枯萎使活力降低反,發芽,複活,收回,撤消,縮回,退出,撤退,使凋謝,使消亡,使畏縮,枯萎,衰退,感到羞愧"
within,"內部,裏頭,在內部,在內心裏在,之內"
wobble,"搖晃,生化擺動,動搖,不穩定,變度,搖晃,搖擺,游移不定,抖動,使搖擺,使顫動"
wonder,"想知道,對,感到驚奇,驚嘆驚奇,驚異,奇跡,奇觀"
worked,"工作,的過去式"
worthy,"傑出人物,有價值的人,傢夥,有價值的,可敬的,值得的,相稱的"
wrench,"扳鉗,扳手,猛扭,痛苦,扭傷,歪曲,猛扭,使扭傷,曲解,搶,折磨,猛扭,絞痛"
writer,"作家,記者,撰稿者,抄寫員"
writhe,"扭曲,痛苦地,扭動,身體等,他感到很不舒服而扭動身體,使盤繞,使纏繞,蠕動,蜿蜒移動,翻滾,扭動,他疼得直打滾,苦惱,不安,據說有一段時間他因受辱而極為痛苦,扭動,翻滾,極度的痛苦"
wrongs,NotFoundAnyMeanings
zealot,"狂熱分子,熱心者,類,狂熱者熱烈懷疑者懷疑浪費者浪費,狂熱者是過分崇拜者熱心者是過分追隨者,吝嗇鬼不是大方的熱心者不是厭煩于享樂的"
zephyr,"記源于,西風之神森林諸神中最溫柔者,西風,虛幻短暫的東西,西風,詩,和風,徐風"
zigzag,"記,很多,字型,字型急轉彎,曲折移動的,類,字形是轉彎的組合蒙太奇是影像的組合,字形,鋸齒形,蜿蜒曲折,曲折的,鋸齒形的,字形的,作字形地,彎彎曲曲地,成字形,作字形行進,曲折前進"
abandon,"動詞,放棄,名詞,放縱,放任"
abet--0,"教唆,煽動,幫助例,助紂為虐源源於餌有引誘的意思區,接界,毗連,一個,但是,連詞,何謂連詞,就是連接兩個分句的詞,引申為連接兩個國家的邊界"
abiding,"同義字詞,持續的,永久的"
ability,"能力,才智,能力,才智"
abreast,"並列地,並排地"
abridge,"刪節,縮短,剝奪,縮短兩地"
abscond,"潛逃,源,逃跑並躲藏,衍,解,是,秘密,逃離的意思,常用於,捲款潛逃,的情形,捲款,挪用公款,是"
absence,"缺席,不在,缺少,沒有"
absorbs,NotFoundAnyMeanings
abusing,濫用
abusive,"漫駡的,譭謗的,虐待的"
abysmal,"極低的,極可憐的,程度很深的,極端的"
acclaim,"喝彩,歡呼,贊同,歡呼,喝彩,稱贊"
accrete,"共生,合生,附著,使依附,使連接,共生的"
achieve,"完成,達到,取得,實現"
acolyte,"記一再,賴他因為他是你的下屬,副手,如果是住持,你敢賴他,在宗教儀式,中幫助教士,的助手,助手,侍僧,行宗教儀式時的教士的助手,侍僧,助手"
acquire,"買入,取得,收購"
acrobat,"記高,走,蝙蝠高空走的人高空蝙蝠雜技演員,走鋼絲的,雜技演員,在體操的平衡與靈活技巧方面十分嫻熟,見風轉舵的人,觀點或立場善于隨環境變化的人,參,只取首字母的縮寫詞,恐高症,類,外科醫生特征是熟練雜技演員特征是敏捷,走鋼絲的,雜技演員,隨機應變者,翻云覆雨者"
actions,動作
acutely,"尖銳地,劇烈地"
adamant,"堅硬的東西,非常堅硬的"
adapted,"適應的,適宜的"
address,"地址,寫地址,致詞,演說,對,說話,引導,引見,調用地址,中有三種地址表示形式位址,或位址,以及硬體或位址"
adheres,遵守
adjourn,"延期,休會,換地方,使中止"
admires,欣賞
adopted,"被收茲的,被採用的"
adulate,"諂媚,奉承,過分地稱贊或恭維,類厭惡是過分不喜歡奉承是過分贊賞,不屑是強烈拒絕諂媚是強烈奉承"
adverse,"形容詞不利的,相反的,敵對的"
against,"對,對抗,反對,防備,預防,以,為背景,在,的襯托下,與,相比"
agility,"敏捷,灵活,机敏,敏捷快速的移動能力"
agitate,"攪動,鼓動,煽動,激動,使騷動,使焦慮"
aimless,"漫無目的的,沒有目的和方向"
alchemy,"煉金朮,魔力,記非,不,化學不是真的化學偽科學煉丹術,煉金術,煉丹術,中世紀的一種化學,聲稱可將一些金屬變為金子,發現萬靈藥及製備長生不老藥,參,化學,類,煉金術是假科學秘方是假藥物,占星術不是真正的天文學煉金術不是真正的化學"
alcohol,"酒精,含酒精之飲料"
alertly,NotFoundAnyMeanings
allergy,"敏感症,反感,厭惡"
already,"副詞,已經"
amateur,"形容詞,業餘的,外行的,名詞,業餘從事者,外行"
amazing,"形容詞,驚人的,令人吃驚的"
amenity,"環境,設備等的舒適,人性化,融洽,和諧"
amiable,"友好的,和藹可親的"
amnesia,"記不,非,記憶,病沒有記憶的病健忘症,健忘症,由休克,刺激,大腦損傷或疾病引起的記憶缺失,健忘症"
amnesty,"記不,非,記憶不記仇赦免,大赦,特赦,府對犯法行為,尤其是政治罪犯給予的普遍赦免行為,例,有幾個罪犯受到特赦,尤指對反政府政治犯的,特赦"
amounts,數量
amusing,"形容詞,好玩的,引人發笑的"
anagram,"記錯誤,分開,字母,寫,圖字母位置寫錯變位詞,變位詞,由顛倒字母順序而構成的字,字謎游戲,用隨意選出的一組字母組成單詞的游戲,例,是的變位詞,由顛倒字母順序而構成的字,片語"
analogy,"類似,相似類推,類推法"
analyze,"分析,解析"
anarchy,"無政府狀態,政治混亂"
ancient,"已往的,古代的,遠古的,舊式的"
angered,"怒,生氣"
anguish,"痛苦,苦惱,使極苦悶,使極痛苦,感到痛苦"
angular,"記一塊,拼骨,讀了就剩下一塊骨頭了消瘦的,有角的,指人,瘦骨嶙峋的,例,角速度,有角的"
animals,"動物,複數"
annoyed,"形容詞,惱怒的,氣惱的"
anomaly,"不一樣的事物,衍,源,就是,不一樣,例,植物學家,解,用,來來記不要翻成,異形,變態,是中性字眼,不一樣的事物,不帶有評價"
another,"另外的,再一,不同的另外一個,另一個人,同類的東西"
answers,NotFoundAnyMeanings
antenna,"名詞,觸角,觸鬚,天線"
antique,"古董,古物,舊式的,過時的"
anxiety,"掛念,憂慮,渴望,熱望"
appears,"出現,發生"
appease,"使平靜,安撫例,我道了歉才使他平息下來類難平息的無法平息難征服的無法征服反,激怒,使煩惱"
applaud,"動詞,向,鼓掌,稱讚"
applied,"應用的,實用的"
applies,適用於
appoint,"任命,指派,委派,分派,分配,給,提供設備"
apprise,"記學習學到告訴,通知,告訴,例,他得到了我們抵達的通知,區,評價,少一個,通知你一聲,類,通知傳達消息警告傳達警示,反,保留消息,通知"
approve,"批准,通過,贊成,稱許,贊成,稱許"
apropos,"適當地,恰好的,恰當的"
aquatic,"水生的,水產的,水棲的,水中的水上的,水中,進行,的"
aquifer,"記水,帶來帶來水的含水土層,含水土層,含有水的泥,砂礫或多孔石的地下河床或地層,類,頁岩中有含金屬礦脈井中有含水土層,含水土層,蓄水層"
arbiter,"權威人士,有權任意判決或命令的人,仲裁人例,時裝方面的權威,代理總裁判"
archive,"動詞,歸檔,名詞,檔案館,資料庫,檔案"
arduous,"艱巨的,艱苦的,費力的,困難的努力的,勤奮的陡峭的,難攀登的難克朋的"
arouses,惹人
arrange,"整理,分類,排列,籌備,佈置,安排,安排,商定"
arsenal,"記就是阿森納具有眾多球星的英超球隊總司令溫格,排雷手大衛希曼,坦克維埃拉,沖鋒隊博格坎普,卡努和亨利,還有一堆小牛人基翁,亞當斯,維瓦斯,永貝裡,帕洛爾,西爾維尼奧,格裡曼迪難道這還稱不上兵工廠么,軍械場,例,她用無數的甜言蜜語迷住了訪客,類,兵工廠,軍械庫"
artists,"藝術家,美術家尤指畫家"
aseptic,"無菌的,防腐劑例,無菌外科技術參,殺菌劑,類殺菌劑消毒麻醉劑麻醉反,被污染的"
aspires,NotFoundAnyMeanings
assault,"攻擊,突襲,襲擊,突襲,動武"
assuage,"緩和,減輕,沉重的或痛苦的事情,例,緩和她的悲痛參,溫和的,討好人的,類緩和減少痛苦使沮喪減少熱情蒙住減小"
assualt,攻擊
assumes,認為
assured,"確定的,有保證的,自信的,有把握的"
astound,"使驚駭,使大吃一驚"
asunder,"記正如,下正如掉在地上成為碎片,分離,化為碎片,分離,成碎片"
atrophy,"醫萎縮,萎縮症"
attempt,"企圖,尤指做難事,嘗試,尤指為完成難事而進行的,努力"
attract,"吸引,有吸引力,引起注意"
auction,"動詞,拍賣,名詞,拍賣"
audible,"聽得見的,根聽,能能聽的見的,類,程度類比聽得見的洪亮的可見的明顯的,聽得見的"
augment,"增加,增大,增加"
auspice,"預兆,吉兆,以飛鳥行動為根據的占卜,贊助,支持,主辦,預測的"
avarice,"貪財根渴求,渴望的,類,貪財貪錢財貪食貪食物反,慷慨,節製"
aver--0,"聲稱為真,態度強硬而明確地聲明"
average,"形容詞,平均的,動詞,算出,的平均數,使平衡,平均為,名詞,平均,平均數"
avoided,"口極力迴避,盡量躲開"
avow--0,"坦率承認,公開宣稱"
awkward,"笨拙的,不熟練的,使用不便的,尷尬的,難處理的"
backset,"記,倒退,挫折,倒退,渦流,逆流,反,遠足,增加,挫折,渦流,倒退,逆流"
balance,"平衡,差額,平衡,相等,稱,權衡,比較,使平衡,結算,抵消"
baleful,"記我終于查清了,那個大包裹是后勤部長扔的,裡邊都是廢紙,它報複我,它太邪惡了,邪惡的,不吉利的,惡意的,類,惡意的恐嚇熱切的關心,反,仁慈的,有益健康的,有害的,惡意的"
ballast,"記球,最后最后的球船最底層放了好多球壓艙物,壓艙物,放在船艙或熱氣球吊籃裡的重物,以增加穩定性,性格上的,穩定因素,類,壓艙物防止不穩定支點防止滑落,壓艙物有穩定作用橫梁有支撐作用,壓艙物,沙囊"
balloon,"迅速增加,指價格,解,與價格並用,也是,數量迅速增加,如核武擴散"
bandage,"動詞,用繃帶包紮,名詞,繃帶"
banquet,"動詞,宴請,名詞,盛宴"
bargain,"買賣合同,成交條件,交易,廉價貨,便宜貨,議價,成交"
baroque,"過分雕琢的,高度裝飾的,簡譜的,記法只巴洛克風格,一種強調雕琢和裝飾的藝術和建築風格"
barrage,"記酒吧,憤怒酒吧裡出現暴怒的場面一定是因為中國隊輸球了,遭遇了黑色分鐘什麼的只見酒吧裡酒瓶子亂飛,形成彈幕然后,酒越來越多,需要一個大壩攔住,不然,北京就成了威尼斯了,彈幕,本軍前方的密集火力網,用以掩護隊伍,堰,人工障礙物,用以增加水深並分流,例,接二連三地向演講者提出問題,類,攔河壩,堰,阻塞,敵軍前進的,彈幕射擊"
barrier,"柵欄,障礙,壁壘,關卡"
bauxite,"記,是法國地名,場所因產鋁而知名,讀寶庫,場所產鋁的寶庫,鋁土礦,鋁的基本礦石,礬土,鐵鋁氧石"
bearing,"軸承,關系,影響,意義,方面,方向,舉止,風度"
beatify,"使神聖化,祈福,賦予美德"
because,"連接詞,因為"
bedizen,"把,裝飾得過分華麗而俗氣,穿著俗麗,底部,基礎,根據地,基地,本部,基數,運動,出發點,以,作基礎,基于,卑鄙的,低級的"
begging,乞討
behaves,行為
behoove,"對,有此必要,不適合"
belabor,"古痛打,不斷辱罵和嘲弄,就,作過分的冗長的討論或分析等"
belated,"事做得太晚的,東西發出得太遲的例,一張遲到的生日卡片"
beliefs,"信念,相信,看法"
believe,"相信,認為,相信,信仰"
benefit,"好處,益處,有益於,對,有益,受益於"
benison,"記笨,兒子笨兒子有個笨兒子可不是壞事,那是福氣比如,你的兒子要是阿甘,億萬富翁,你就不用出國了,等著在家享福吧,賜福,祝福,祝福"
beseech,"記,尋求懇求,被動,看,讀吃天天被人看還有吃的那是佛爺天天被祈求,被懇求的對象比如北京的臥佛寺,被友們戲稱為寺,香火極盛,沒拿到的都去那裡祈求,懇求,據說很靈,祈求,懇求,熱切或急迫的要求,例,他們請我馬上就去,懇求,哀求"
besides,"副詞,並且,介系詞,除,之外"
besiege,"圍攻,圍困,包圍,圍住,煩擾,困擾"
bestial,"記,獸,畜牲,人面獸心的人,野獸般的,殘忍的,並且缺乏理智的,智利低于人類的,例,獸欲,下流言語,污言穢語,野獸的,獸性的,殘忍的"
betroth,"多用被動語態,指女子,同,訂婚,許配,例,那對男女經家裡同意訂了婚,根,誓言,訂婚就是一種誓言,太黃了自己想,賭博,肉賭肉一男和一女賭肉,無論誰輸誰贏,一方必然屬于另一方許配,許配"
betting,"賭博,賭注"
between,"在中間,介乎兩者之間"
bevy--0,"記讀包圍只有一群東西才能形成包圍之勢,一群鳥,尤指鵪鶉或雲雀,一群婦女,一堆東西,例,一群鵪鶉雲雀,一群年輕婦女,一群鳥,一群,少女或少婦,俗一堆東西,一群人"
bias--0,"動詞,使存偏見,名詞,偏見,成見,斜線"
bidding,"命令,邀請,出價"
bigotry,"盲從,頑固,靠著,以上帝之明義,不願做某事"
billowy,如波浪般翻滾的
binding,"形容詞,捆綁的,黏合的,有約束力的,名詞,書籍的,裝訂,捆綁,束縛"
biology,"生物學,生物,總稱"
bizarre,"奇異而古怪的,指態度,容貌,衣服款式等古怪的,不落俗套的,例,這個故事聽起來別有風味,奇裝異服"
bluster,"記,一陣突然風,咆哮,氣勢洶洶地,大聲的,傲慢的,充滿空洞的,威脅的說話,大聲的,猛烈的,風狂吹,例,狂風呼嘯著吹過房屋周圍,我咆哮著擠出人群,類,風狂吹,咆哮,嚇唬,怒號,嚇唬"
bombast,"浮誇的言論,源,原指墊在盔甲內防止身體摩擦受傷的棉花,後引申為,浮誇言詞,像棉絮,一樣不不實在,一吹就散了了,衍,例,在某事上賺到錢,徹底失敗"
bondage,"名詞,奴隸身分,奴役,束縛"
boredom,"厭煩,厭倦,令人厭煩的事物"
boulder,"卵石,大圓石,巨礫"
bouquet,"一束花,花束,捧花"
boycott,"联合抵制,联合排斥某国货物或与某国绝交"
bracing,"記雙臂,揮舞,令人振奮的,令人振奮的,振奮精神,令人奮發的,例,振奮人心的報告,反,索然無味的,支撐,支柱,褲吊帶,令人鼓舞的"
bravery,"勇敢,勇敢的行為"
bravura,"記勇敢,優秀的,和結尾的單詞多數是意大利語,表示音樂,華美的,炫耀技巧的,氣勢磅礡的演奏,勇敢的嘗試,例,這幅畫作風大膽,類,華美的表演燦爛的外表,大勝的嘗試,勇氣的舉動,顯示演奏家技藝的壯麗的樂段"
breadth,"寬度寬廣的程度,範圍寬容,寬宏大量"
brevity,"時間,短暫,講話,文章等,簡短"
briefer,"簡短的,短的,摘要,要旨,比較級"
briefly,"簡潔地,簡單地說,短暫地"
briskly,"活潑地,精神勃勃地"
brittle,"易碎的,脆弱的,易壞的,不熱心的,不真心的"
broadly,"副詞,寬廣地,概括地,明白地,明顯地"
brusque,"記,源于意大利語粗野的,粗魯的唐突魯莽的,讀不如死磕動不動就要與人死磕唐突魯莽的,野獸粗魯無禮的,態度,語言,粗魯無禮的,唐突魯莽的,例,無禮的行為,唐突的,直率的,粗暴的,無禮的"
buckets,水桶
buffoon,"記讀把風粗俗而愚蠢的人想當壞蛋都困難,只能干這種把風的工作,讀布馮曾經是意大利國家隊最年輕的守門員,雖然不像小丑,但是為了我們的前途,從現在開始,布馮就是小丑了,小丑,粗俗而愚蠢的人,類,丑角特點是可笑的放縱者特點是放縱的,小丑特點是幽默的新手的,小丑"
bumpkin,鄉巴佬
bureaus,的名詞複數
burning,"形容詞,燃燒的,著火的,發熱的,緊急的"
burnish,"記,閃耀的,擦亮,金屬,燒,把金屬燒得發亮磨光,擦亮,金屬,磨光,例,這種金屬容易擦亮,參,使,失去光澤,提供,裝修,類,使麻木是使沒有知覺的磨光是使有光澤的,磨光,擦亮,金屬"
burnout,"燒盡,燒壞,歇火"
cabinet,"櫃子,櫥子,箱子,內閣,內閣會議,內閣的,秘密的"
calcify,"記石頭,表動作石化鈣化,使變為石質,使硬化,鈣化,參,結石,反,使有延展性,變成石灰質,鈣化,使成石灰,使鈣化"
calcium,"化鈣,元素符號"
caldron,"記召喚,雄蜂,嗡嗡作聲,大鍋裡煮著香香的湯,招來雄蜂嗡嗡作聲,煮湯用的,大鍋,例,女巫攪拌著鍋裡的東西,大鍋,爐,大汽鍋"
calorie,"卡路里,熱量單位"
calumny,"惡意毀謗,衍,衍,記,在專欄毀謗別人"
canvass,"民意調查,拉選票,仔細檢查例,為爭取選票在選舉區游說類倡導者提倡民意測驗家調查民意,磨光,擦亮,金屬"
capable,"有能力的,有才能的,有技能的,能,的,可以,的"
capsule,"植物,蒴果,膠囊,瓶帽,太空艙"
caption,"標題,加上標題,加上說明標題,說明,字幕"
capture,"抓取,戰利品,捕獲之物,抓取,獲得,迷住"
careful,"仔細的,小心的,細致的,精心的"
carouse,"記汽車,覺醒,奮起開著汽車狂歡,連汽車都興奮了,有房有車值得狂歡,狂飲尋樂,喧嘩的,暢飲的,源源于日耳曼語,意為,是離開酒吧的時候了,表示所有的,表示出去接著又表示,喝光,干杯,和,打烊前的最后一杯,的意思英語中借用這個名詞,意為,坐著飲酒直至打烊的行為,也就是狂飲尋樂的行為,類,狂歡作樂"
carried,"被運的,入神的,忘我的"
carrion,"記肉腐肉,車,獅子車把獅子撞死了,過幾天就變成腐肉,腐肉,腐臭的尸體,死肉,腐肉,腐肉的,似腐肉的,吃腐肉的,腐朽的,令人作嘔的"
cascade,"記落落一落再落小瀑布,扔,無賴扔無賴應該從小瀑布上往下扔達到解恨的目的,還摔不死他,小瀑布,例,她長長的卷發像瀑布一樣披瀉在肩上,參,偶然的,頹廢的,小瀑布,噴流,成瀑布落下,層疊"
catalog,"目錄,型錄,大學概況手冊,編目錄"
catches,捕獲數
causing,"成為,的原因,導致,引起"
caution,"小心,慎重,警示,警告警告"
cavalry,"騎兵隊伍,武裝部隊,騎馬"
cede--0,"放棄,割讓給,有,的意思"
censore,刪減
centaur,"記,分幣,有的國家的分幣后面就是人頭馬,讀三頭一個人頭兩個拳頭三頭,人頭馬,人頭馬怪物,半人馬座,希神人首馬身的怪物,半人馬座"
central,"中心的,中央的,主要的,最重要的"
ceramic,"形容詞,陶器的,製陶藝術的"
certain,"肯定的,確信的,有把握的,一定的,必然的"
cession,"割讓,轉讓,走了割讓給別人了"
chalice,"記讀茶裡死要想茶裡死不太容易,需要一個巨大的茶杯,聖餐杯,大高腳酒杯,大茶杯,聖餐被設立在,最后的晚餐,那一天舉行,儀式上有面包和葡萄酒作為耶穌之死的紀念,杯,聖餐杯"
changed,"改變了,變化了的,不同往常的"
changes,改變
channel,"動詞,在,開水道,傳送,名詞,管道,頻道"
chaotic,"混亂的,毫無秩序的,房子裡現在有點混亂我們讓這麼些多餘的人住著而且還在進行裝修"
charade,"記是夏利的商標字謎游戲車,看手勢猜字謎游戲,如兩手伸平,形成,十,字,易識破的偽裝,類,字謎游戲不說話表示詞啞劇不說話表示故事,偽裝是一種假裝空洞是一種空,看手勢猜字謎游戲"
charged,承擔責任
charity,"慈悲,博愛,慈善團體,施捨"
charter,"動詞,發執照給,給特權,包租,名詞,憑照,特權,包租"
chasten,"記,貞節的,象山洞一老女子躲在山洞裡磨練童貞,這不是自己跟自己過不去嗎,這個是大陸人想的,怪怪的,磨練,斥責,通過懲罰和磨練而使壞習慣改正,磨煉"
chatter,"動詞,喋喋不休,吱吱叫,名詞,嘮叨,饒舌,吱吱聲"
cheated,"騙取,欺騙"
cherish,"珍藏,將,視為珍貴"
chic--0,"时髦,别致的款式,别致的,又做小妞高雅時尚的小妞"
choices,選擇
chorale,"讚美詩,合唱班,合唱團"
chuckle,"動詞,咯咯地笑,暗自發笑,名詞,咯咯聲,輕笑聲"
circuit,"名詞,環道,一圈,巡迴路線,電路"
cistern,"記姐妹,象一個沒有出口的蒙古包用這個東西把姐姐扣裡頭,她就會很痛苦,尤其是不能方便,只好挖一個蓄水池了,蓄水池,容納液體的,尤其是匯集和貯存雨水的水箱,放解剖用的死尸的,水池,類,水箱盛液體垃圾場盛垃圾,水塔,蓄水池"
clamber,"手腳並用費勁地,爬,攀登"
clarify,"釐清,闡明,淨化,使純淨"
clarion,"記清晰,獅子獅子發出的清晰聲音大聲且清晰的,嘹亮大聲且清晰的,尖音小號聲,能發出尖利,清晰的音,反,低聲難辨的,號角"
clarity,"清楚,透明,思想,文體等的清楚,明晰"
classes,"類別,種類"
clearly,"清晰地,明朗地,明白地"
cleaver,"切肉刀,切割者,突出的崖"
clement,"寬容的,善良的,氣候溫和的"
clipper,"大剪刀,快速帆船修剪者"
closely,"嚴密地,仔細地"
closing,"結束的,閉合的"
clothes,"衣服,作此義時恆用複數"
cloture,"記,關閉,使終止,討論終結,美國國會的一種結束辯論的程序對討論立即投票表決,類,投票是一種選舉投票終止是一種終止,討論終結,結束辯論"
cloying,"記源于,因過食油膩的甜的東西而發膩,讀可樂可樂喝多了,肯定會甜的發膩,因,甜的或油膩的東西,過量而厭煩的,倒胃口的,類,饒舌的是過分多話甜膩是過分甜,因過量而厭煩的,倒胃口的"
cluster,"動詞,使成簇,或群,叢生,名詞,串,簇,群"
coarsen,使某物變粗糙
coaxing,疲勞限漸增現象
cobbler,"記想象在修鞋的時候,把玉米棒子墊到鞋裡,補鞋匠,修理或製造鞋的人,參,修,鵝卵石,嬌養,溺愛,皮匠,補鞋匠,工匠"
cogency,"使人信服的力量,中肯"
cohabit,"記共同,居住同居,通常指未婚的雙方,同居,但是有性關系,參,動植物的生活環境,居民,類,同居是共同居住共謀是共同密謀,男女,同居,尤指未婚而同居者"
collage,"記,學院,是的一門課程,用報紙,布,火柴商標,車票,紙牌,壓平的花等碎片拼合而成的,拼貼畫,互不相干物件的,大雜燴,抽象拚貼畫,用報紙,布,壓平的花等碎片拼合而成的"
collate,"對照,核對,共同,放"
collect,"收集,聚集,集中,搜集,由收到者付款的,由收到者付款地"
coltish,"放蕩不羈的,似小馬的,沒有經驗的,類,無拘束的不會有紀律粗野的不會有優雅,輕佻的,不受拘束的,小馬似的"
combine,"使結合,使聯合,兼有,兼備,使化合,結合,聯合,化合集團,聯合企業"
combing,"梳毛,梳棄的毛,發"
comfort,"舒適,安逸,慰問,安慰,慰問,安慰"
comical,"好笑的,滑稽的,喜劇的"
command,"命令,指揮,統帥,指揮命令,指令,統帥,指揮,掌握,運用能力"
commend,"稱贊,表示贊同,例,我們應當表揚好人參,推荐,反複,表揚目的是推荐反,責難,嚴厲指責,表示悲痛"
commune,"懇談,自治體,工社,密談,沈思,內省"
commute,"減刑,通勤,解,死刑又叫,來來自,砍頭,無期徒刑又叫"
company,"公司,陪伴,同伴,賓客,客人,群,隊,夥,連,連隊"
compare,"比較,比喻,匹敵,相比比較"
compass,"動詞,圖謀,計劃,包圍,達到,理解,名詞,羅盤,指南針,圓規"
compete,"動詞,競爭,對抗"
compile,"動詞,匯編,收集,資料等,編譯,程式"
complex,"合成物,情結,復雜,復雜的,合成的"
compose,"組成,寫作,作曲,使平靜,創作,排字,編寫"
compost,"堆肥,混合,合成,施堆肥,把蔬菜等製成堆肥"
concave,"記共同,洞,洞的共同點是凹的,凹的,凹,凹面,參,凸出的,類,勺子的形狀是凹的刮刀的形狀是平的,凹的,凹入的,凹,凹面"
conceal,"隱藏,隱蔽,隱瞞,隱蔽"
concede,"承認某事屬實,合乎邏輯等,尤指勉強地讓與,讓步,允許"
conceit,"原義想法,意見,自負,幻想,狂妄"
concern,"涉及,關系到,使關心,掛念關系,關心,掛念"
concise,"簡明的,簡潔的,簡要的"
condign,"罪有應得的,嚴厲而適當的"
condole,"哀悼,致悼詞,慰問,吊唁"
conduct,"行為,品行,舉動,引導,帶領,處理,管理,指揮,傳導,指揮"
conduit,"記共同,拼渡,它大家一起渡過它,水溝,輸送液體,電線的,溝渠,水管,線管,管道,導管,溝渠,泉水,噴泉"
confide,"傾訴,委托,信賴"
confirm,"確認,批准,証實,使更堅固,使更堅定"
conform,"使一致,使遵守,使順從,符合,相似,適應環境,一致的,順從的"
confuse,"使混淆,使混亂,使迷惑"
congeal,"記一起,擱,把所有東西擱到一起,產生一種壓縮的感覺凝固,使凍結,凝固,根凍結,反,使融化,使分解,不能凝固,使,凍結,使,凝結"
congest,"使充滿,使擁塞,醫使充血,充塞,充血,擁擠"
conifer,"記,圓錐,松果,帶來帶來松果的樹一針葉樹,針葉樹,參,圓錐形的,會議,協商會,類,哺乳動物的表皮針葉植物的樹皮,植松類,針葉樹"
conjoin,"記,結合,參加,使,結合,使,連接,使,結合,使,連結,使,聯合"
connote,"暗示,含意,內涵"
conquer,"征服,戰勝,占領,克服,困難等,破,壞習慣等"
consent,"動詞,同意,贊成,名詞,同意,贊成"
console,"控制臺,控制臺,安慰,藉慰"
consult,"商討,商量,協商,會診,向,請教,查閱,考慮"
consume,"消耗,消費,消滅,消滅,毀滅"
contact,"互通資訊,交際,互通意見,接觸,接觸,會晤,交際,使接觸,有聯系的"
contain,"包含,包括,容納,遏制,抑制,克制"
contemn,"侮辱,蔑視"
contend,"競爭,爭鬥,聲稱,主張,認為"
content,"內容,滿足,意義,要旨,滿足的,滿意的,意義的,使,滿足"
context,"上下文文章中圍繞著某個詞,段落,句子並決定其含義的部分,事件發生的背景"
contort,"使扭曲,歪曲,記,扭曲"
control,"控制,管理,克制,控制器,調節裝置,控制,操縱,抑制"
convene,"為一個官方公開的目的,正式集會,正式召集,傳喚,上法庭,類解散后重新召集解職后重新複職"
convert,"轉換皈依者,改宗者,使改變信仰,兌換,倒置,皈依"
convict,"囚犯,罪犯,宣告有罪,使知罪"
cool--0,"涼爽,涼爽的空氣,涼爽的,冷淡的,冷靜的,冷卻,平息,使冷卻"
coroner,"法醫,驗屍官"
correct,"正確的,恰當的,端正的,糾正,修改,校正,矯正"
corrode,"使腐蝕,侵蝕,破壞,腐蝕,被侵蝕"
corrupt,"不道德的,墮落的,文章中的語言,文體等,有錯誤的參,腐敗,貪污,墮落,反,質朴的,純淨"
costume,"名詞,服裝,裝束"
