disperse--0,"分散,傳播,散開,分散,分散的"
pedagogical,"教學法上,教育學方面"
pedantic--0,"賣弄學問的,負面字,過份追求學問,衍,過度地,細節,學究"
pedestal--0,"雕像底座誇耀,基座,底座,在暴亂中,雕像被人從底座上推了下來"
pellucid--0,"文章思路,清晰的,清澈透明的根,通過,閃耀光可以閃耀的通過,透明的類可寬恕的錯能被原諒清晰的事能被理解反,黑暗模糊的"
pellucidity,"透明的,清澈"
penchant--0,"愛好,嗜好,厭惡,記法,掛,把螞蟻掛起來嗜好"
penetrating,"聲音響亮的,尖銳的,氣味刺激的,思想敏銳的,有洞察力"
penultimate,"記,差不多,最終的一倒數第二的,倒數第二的,倒數第二,參,半島,差不多是島,倒數第二音節,語尾倒數第二個的,倒數第二音節的"
perambulate,"記,向西面八方,走,向西面八方走,巡視,四處走動,巡視,四處走動,參,救護車,緩行,溜蹄,類,腳用來漫步眼用來觀察,巡行"
perceptible,"記,表面,拿,表面能拿住,感覺到的,能,被感官或感覺所,感覺到的,參,觀念,概念,規則,格言,類,關鍵的是十分相關的明顯的是十分可以感覺到的,反,下意識的,難以覺察的,可察覺的,顯而易見的,感覺得到的"
performance,"履行,執行,表演,演出,性能,特性"
persevering,"不屈不撓的,堅持的"
persistence,"名詞,堅持,固執,持續"
personality,"名詞,人格,品格"
perspective,"透視,眼界,視野,前途,希望,遠景畫法的,透視的,遠景"
perspicuity,"語言,文章,表達等的,明晰,清楚,反,不透明性,難懂,明白"
pessimistic,"悲觀的,悲觀主義的"
petulant--0,"性急易怒的參,讀,爛撕,易怒"
philatelist,"集郵家,類,集郵家收集郵票錢幣收藏家收集硬幣,集郵家"
pleasant--0,"令人愉快的,宜人的,親切友好的"
pleasurable,"形容詞,使人快樂的,令人心情舒暢的"
pleasurably,NotFoundAnyMeanings
plethora--0,"過量,過剩,多血症參,耗盡,不,滿反,缺乏"
poignant--0,"味道濃烈的,令人傷心的,令人充滿同情的"
polarize--0,"使兩極分化,使截然對立,辯論變得兩極化了,看起來沒有中間立場"
polyglot--0,"通數國語言,數國語言的通數國語文的人,用數國語文記載的書"
pontificate,"教皇,自大武斷地做,說類驕傲地說對說驕傲地走對走,夸大言辭武斷話是夸大自負的攻擊性演說是批評的胡說"
possessions,"財產,所有物"
potentially,"潛在的,可能的,的衍生的副詞"
practicable,"可實行的,實用,際,的,可使用的"
precipitant,"在思想,行動上,倉促的,使沉澱生成的,沉澱劑,根,掉下,反,溶劑,有償付能力的,倉促的"
precipitous,"陡峭的,倉促的反,漸漸平緩,同高的,平坦的,慢慢傾斜"
preclude--0,"預先排除,預防,阻止,妨礙"
predecessor,"前任,前輩,原先的東西"
predisposed,"先有傾向的,先有意向的"
predominate,"支配,統治,數量,力量等,佔優勢"
prehistoric,"史前的,文字記載以前的,不合時宜,過時的"
preliterate,文字發明以前的
prematurely,"過早地,貿然地"
premonition,"記,前,警告,提前的警告,不祥的預兆,不祥預感,前兆"
preparation,"准備,預備,配製,配置品,准備工作"
preposition,"名詞,介系詞,前置詞"
prerogative,"特權,記法,預先,要求,預先要求的權利,特權"
prestigious,"有威望的,有聲望的,受尊敬的"
presumption,"名詞,冒昧,放肆,自以為是,傲慢,未被邀請而去參加宴會是冒昧的,推測,假定,設想"
presumptive,"根據推定的,假定的,給與推定之根據的"
pretentious,"誇浮的,炫耀的,自命不凡的"
prevaricate,"支吾其詞,說謊,記法,預先,變化,預先想好變化"
pristine--0,"純潔的,未被文明腐蝕的,新鮮的,原始的類未被文明腐蝕的不會腐爛穩定的不會波動靜止的不會運動苛求的不容易滿意摻假的不容易純淨"
problematic,"成問題的,有疑問的,值得懷疑的,未知的,未解決的"
proclaim--0,"宣佈,公告,宣言,表明,贊揚"
procurement,"採購,獲得,向前,留意,過程"
prodigal--0,"極度揮霍浪費的,揮霍者類學監監督揮霍者揮霍愛抱怨的人抱怨揮霍的人花錢吝嗇的人節省吝嗇鬼很吝嗇揮霍者很"
profanation,"瀆神,亂用不敬的言語"
profound--0,"深度的,深切的,深遠的知識淵博的,見解深刻的,深奧的"
prohibition,"禁止,禁令,禁酒,禁酒運動"
prohibitive,"禁止使用或購買的,禁止性的,指價格等,高得買不起的禁止的"
propagation,"繁殖,反,消滅,毀滅,動植物,繁殖,聲波,電磁輻射等,傳播"
propinquity,"記,向前,拼,沖向前拼命,接近,接近,親戚,接近"
proportions,NotFoundAnyMeanings
proposition,"動詞,向,女性,求歡,名詞,事業,提議,主題,求歡"
prosecution,"進行,經營,檢舉,起訴"
prospect--0,"景色,希望,展望,勘探,尋找,勘探,有前途"
protagonist,"主演,主角,主唱者,主要人物,倡導者"
protects--0,保護
protract--0,"在時間上,延長,拖長類拖延使長度加長群聚使數量增多反,縮減,減短,刪節"
protrude--0,"凸出,伸出,吐出,使伸出,使突出"
protuberant,"記,前,塊莖,塊莖,突出,身體某部分,突出的,隆起的,反,沮喪的,降低的,凹的,突出,凹,突起的,凸出的,隆起的"
provocation,"挑釁,開頭,向前,大叫"
publication,"書報,刊物等的,出版,發行"
pulchritude,"美麗,出眾的身體美麗和吸引力,反,丑,朴素,丑陋,丑惡的"
puncture--0,"刺痕,穿刺,刺穿,刺,揭穿,被刺穿"
quarrelsome,"中愛爭吵的好口角的,記,爭吵,愛爭吵的"
questioning,審問
quixotic--0,"異想天開的,不切實際的,非主流"
rambling--0,"漫步的,閒聊的,蔓生的,雜亂的,散漫的"
rapscallion,"古惡棍,流氓"
rarefaction,"記源于,稀罕的,稀薄化,類,提純使稀薄,同義,反,濃縮,變稀薄,稀薄"
rational--0,"形容詞,理性的,明事理的,合理的"
ravenous--0,"餓極了的,貪婪的類無可爭議的無法被爭議不可守衛的無法被防衛十分貪婪的無法被滿足"
realization,"名詞,領悟,體現"
reassure--0,"使,安心,再保証,使,恢復信心,打消,的疑慮"
recantation,改變宗教信仰類叛教是脫離原來的信仰歸依是脫離原來的異教改變錯誤供認罪行
reciprocate,"互換,交換,報答,使往復運動,往復運動,互換,酬答"
reckless--0,"不注意的,大意的,鹵莽的,不顧後果的"
recognition,"贊譽,認得,承認,認可,認識,重視"
reconciling,協調
reconnoiter,"為收集軍事信息而,偵察,勘查類,偵察是偷偷找信息巡游是偷偷找獵物拉選票投票,推荐,介紹,勸告,使受歡迎,托付,使,受歡迎,使,可取"
redoubtable,"可怕的,記,反複,懷疑,面對對手懷疑自己的實力,因為對手是可敬畏的,可敬畏的,類,可敬畏的被敬畏可鄙的被鄙視,模范的值得效法該責備的值得責備"
refusing--0,拒絕
religiously,"篤信地,虔誠地"
reluctantly,"不情願地,勉為其難地"
remonstrate,"抗議參,抗議,類抗議為了勸止三段論為了反駁抗議者提出反對申請者提出請求"
repertorial,NotFoundAnyMeanings
replacement,"替換,代替,代替的人"
reportorial,"記源于,報道,屬實的,記者的,屬實的,反,想象的,虛構的,記者的"
represented,"表现,的过去式和过去分词,代表,体现,作为,的代表"
reproach--0,"譴責,責罵參,接近,方法,無可指責的,類強烈譴責是強烈責備溺愛是強烈喜歡反,下流卑鄙的,該責備的,無可指責的"
reproducing,再製造
reserved--0,"保留的,沉默寡言的類秘密的不是公開的炫耀的不是保留的反,易膨脹的,豪爽的"
resignation,"名詞,辭職,放棄"
resonant--0,"同,聲音洪亮的,響亮的,回響的,回聲的,深沉而洪亮的嗓音"
resonate--0,"發出回響,發出共鳴,迴盪,充滿,彌漫某種特質"
resourceful,"資源豐富的,富於機智的,有策略的"
respiration,"呼吸,一次呼吸,植物的,呼吸"
restitution,"賠償,歸還,將取走的,丟失的東西歸還其主人的行為,參,公共機構,製度,建立"
restiveness,"不安,難以駕御,反,滿意,倔強,難以駕御"
restrain--0,"克制,限制,抑制,約束,拘束,束縛"
restriction,"名詞,限制,約束,限定,限制規定"
resuming--0,"重新開始,繼續"
retaliating,"報復,回敬"
retaliation,"報復,報仇"
retrench--0,"緊縮,節約,減少,刪除,給,筑圍牆,緊縮,節省"
retribution,"報應,懲罰,報復"
reverberant,"回響的,迴盪的,記,再,言語,不斷的言語再耳邊,回響的,迴盪的"
reverberate,"回響,反響,反射,使反響,使回響,反射,回響的,反射的"
reverent--0,"恭敬的,虔誠的,類,崇拜者十分恭敬別人易上當者十分信賴別人,可仿效的值得模仿虔誠的值得尊重,反,放肆無禮的,輕蔑的,可鄙的,尊敬的,虔誠的"
rigorous--0,"嚴厲的,嚴酷的,嚴格的,苛刻的,嚴密的,精確的"
rotating--0,輪流的
rudimentary,"基本的,初步的,发育不完全的,未成熟的,退化的"
safekeeping,"安全保護,妥善保管"
salutary--0,"有益的,有益健康的,字根,健康,類"
satirically,"諷刺地,譏諷地"
satirize--0,"諷刺,以諷刺來挖苦或攻擊,類頌詞用來贊揚諷刺文章用來諷刺新聞報道是記者的事情諷刺是諷刺作家的事情"
scathing--0,"傷害的,損傷的,尖酸的,苛刻的"
scintillate,"閃爍,言談舉止中煥發才智"
screwdriver,"名,螺絲起子,螺絲釘打入的工具將螺絲釘打入的工具"
searchingly,NotFoundAnyMeanings
secretively,"隱祕地,分泌地"
sedative--0,"鎮靜劑,能使安靜的東西,使安靜的,使鎮靜的"
sedition--0,"煽動暴亂,騷亂,煽動性的言論,或行為"
self-denial,"禁欲苦行,禁欲的,禁慾的,美學的,祖宗,祖先,祖先的,古代的,簡樸的"
self-styled,"自稱的,未經檢驗的"
self-willed,NotFoundAnyMeanings
selfishness,"自我中心,利己主義,任性"
sensational,"引起轟動的,感覺的,知覺的"
sensible--0,NotFoundAnyMeanings
sensitivity,"敏感,靈敏,度,靈敏性"
sensuous--0,"感覺上的,依感官的,訴諸美感的"
sentimental,"情深的,情感,多愁善感的"
serendipity,"意外发现珍奇事物的才能,意外新发现,巧事,机缘凑巧"
seriousness,"記源于,嚴肅認真的,嚴重的,嚴肅,認真,嚴重性,類,緩和減少強度減輕減少嚴重,反,輕率,輕浮,無禮,輕率,嚴肅,認真"
serviceable,"有用的,可供使用的耐用的,適於日常穿戴的,我穿著耐穿的靴子古樂於助人的"
shamelessly,"沒有羞恥心地,無恥地"
short-lived,"活得很短的,短命的,不長的"
significant,"重要的,有含義的,暗示的,有效的,非偶然的"
silversmith,銀匠
singularity,"獨特,奇特,奇點,天文學上密度無窮大,體積無窮小的點"
skittish--0,"易受驚的,輕佻的,焦躁不安的"
slanting--0,傾斜的
slippery--0,"滑的,光滑的,靠不住的,圓滑的,不穩固的,含糊的"
sluggish--0,"行動緩慢的,沒有活力的,疲軟的,性能差的"
socializing,NotFoundAnyMeanings
solitary--0,"單獨的,唯一的,隱居的"
specialized,"專攻,專門從事,詳細說明,使專門化,使特殊化,限定"
specious--0,"外表美觀,華而不實的,徒有其表的,似是而非的,外表美觀的"
spectacular,"壯觀的,雄偉的,引人入勝的"
speculation,"思考,思索推斷,推測,猜測投機活動投機買賣,投機生意"
spendthrift,"揮金如土的人,揮霍的,類,狂熱者熱情浪費者浪費,英雄不是怯懦的揮霍者不是吝嗇的,吝嗇鬼是吝嗇的揮霍者是揮霍的"
spiritually,"精神上地,心靈上地"
spontaneity,"自發,自發性類簡潔不是多余的自發不是故意的"
spontaneous,"自然的,自發的,未經琢磨的"
sporadic--0,"偶爾發生的,零星發生的,分散的"
stalwart--0,"堅決的,健壯的,史督華單身許久仍堅決,健壯"
standardize,"使標準化,使合於標準,用標準檢驗"
stethoscope,"記,胸,用于看的器具,用于看胸部的器具,聽診器,聽診器,聽診器,用聽診器診斷"
stimulating,"刺激的,有刺激性的,激勵人的"
stipulation,"契約規定,契約條款"
storyteller,"名詞,講故事的人,說謊者"
stratify--0,"記,層次,層化,使,液體,層化,使,分成各種等級,層次,參,同溫層,最上層,最高階段,地層,社會階層,反,使均勻,使,成層"
subservient,"奉承的,卑屈的,出當下手的,記法下面服務在下面服務次要的"
subsistence,"生存,最低限度的,生活,生計"
substantial,"重要部分,本質,實質上的,物質的,有內容的,結實的"
substantive,"獨立存在的,真實的,有實質的,大量的,巨額的,語實詞,名詞,獨立存在的實體"
succinct--0,"簡明的,以簡短的言詞表達清晰準確的意思的,類,多話的不簡潔靈巧的不笨拙反,愛說話的,詳細冗長的,喋喋不休,簡潔地表達"
suffrage--0,"投票,選舉權,參政權,代禱"
suitability,"適合,適當,適合與否"
superficial,"表面,外表,表面的,膚淺的,面積的"
superfluity,"記,流,流得過多,多余,多余,過剩,類,相關的相關多余的多余,同義,反,缺乏,額外,奢侈品"
superimpose,"記,強加,在上面強加,把,某物,放在另一物的上面,參,主管,監督,最高的,天上的,超自然的,超自然的,類,從上面強加從中間插入,添加,雙重"
superintend,"監督,管理,主管,指揮"
supplant--0,"排擠,通過陰謀或不光彩的計謀篡奪,的位置,在下面密謀"
supposed--0,"假定的,想像上的,被信以為真的"
supposition,"猜測,推測,假定,沒有確切證據地"
suppress--0,"鎮壓,使止住,禁止,抑制,查禁"
suppression,"壓制,鎮壓,禁止,抑制,阻止,忍住,隱瞞"
surmount--0,"克服,戰勝,記法,超越,山"
surrounding,"環境,周圍的事物"
susceptible,"易受影響的,易動感情的過敏的,易受,感染的能經受的"
symmetry--0,"對稱,均衡,記法,共同,測量"
sympathetic,"有同情心的,合意的,贊成的,解交感神經,容易感受的人"
synchronous,"記,時間,同時間的,同步的,同時發生的,同步的,反,不同步的,不同時發生的,不同時代的,同時的,物同步的"
synergic--0,"記,能量,共同發揮能量的,協同合作的,協同合用的,反,反對的,協作的,合作的"
synopsis--0,"記,看,看同樣簡要的部分,摘要,某項課目或寫作作品的簡要,概要,類,概要是濃縮的附錄是補充的,概要簡明蒸餾物純淨,縮寫是簡要句子大綱是簡要敘述,大綱"
synoptic--0,"概要的,記,共同,眼睛,共同的,概要大綱,參,摘要"
syntactical,"依照句法,字源,安排,整理將單字有系統地排列句法,同源,分類系統,分類學"
taciturn--0,"沉默寡言的,習慣性不善言談的,類,沉默寡言的不會喋喋不休心胸寬廣的不會妒忌,反,多話的,羅嗦的,口齒伶俐的,愛說話的,易膨脹的,豪爽的"
taciturnity,"沉默寡言,反,饒舌,流利,饒舌之人,沉默寡言"
tactless--0,"不機智的,笨拙的,不圓滑的,不策略的"
temperament,"名詞,氣質,性情"
temperature,"溫度,氣溫,體溫"
tempestuous,"狂暴的,有暴風雨的反,平靜的,太平的"
temporal--0,"當時的,暫時的,現世的,世俗的,太陽穴的世間萬物,教會財產"
tenacity--0,"固執,堅持,頑強,不屈不撓"
termination,"終止,結束,終點,詞尾"
terminology,"術語學,術語,用于特定領域的詞匯,類術語是一種特定語言製服是一種特定服裝"
testator--0,"記源于,証明,作証,立遺囑需要見証,立遺囑的人,參,遺囑,類,傳家寶是祖先留下遺產是立囑人留下,律,立遺囑之人"
theoretical,"形容詞,理論的,非應用的,假設的"
therapeutic,"治療的,治療學的,治療劑,治療學家"
tightfisted,"記,緊的,吝嗇的,拳頭,抓牢,勒緊褲腰帶,抓牢錢包,吝嗇的,吝嗇的,參,吝嗇鬼,類,吝嗇的淘氣的,同義,吝嗇的"
timorous--0,"膽小的,充滿恐懼的,參,恐嚇,反,無畏的,愛打架的,堅定的"
tolerate--0,"動詞,忍受,寬恕,容許"
topsy-turvy,"顛倒地,相反地,亂七八糟地,顛倒的,相反的,亂七八糟的顛倒,混亂,使顛倒,使混亂"
tortuous--0,"扭曲的,彎曲的,羅唆的,欺騙的"
traditional,"傳統的,守舊的"
tranquility,"寧靜,安靜類放縱不會抑製寧靜不會騷動反,騷動,發酵,動亂,騷亂"
transaction,"交易,辦理,執行,報告書,學報,和解"
transferred,"轉移的,調動的"
transfigure,"記,改變,形象,使變形,使變得崇高或更美,參,轉換,使變形,灌輸,輸血,類,使變形改變樣子轉移改變位置使呆住注意力,使變形,美化,理想化"
transformer,"名詞,促使變化的,人物,變壓器"
translucent,"記,穿過,明晰的,透光的,光線能穿過,半,透明的,半,透明的,能透過光但引起散射,不能看清的影像,參,半透明,傳輸,傳播,改變,改變,類,松弛沒有緊張不透明沒有透明,半透明的,透明的"
transported,運輸
treatise--0,"學術,論文,專著"
trespassing,擅入
trustworthy,"值得信賴的,可信的,可靠的"
unawareness,NotFoundAnyMeanings
uncertainty,"名,不確定性,不確定的性質,名詞不能確定的性質不確定性"
uncivilized,"未開化的,不文明的"
uncommitted,"不受約束的,不承擔責任的"
unconcerned,"不在意的,漠不關心的"
unconscious,"失去知覺的,不省人事的,無意識的,不知不覺的"
uncorrupted,NotFoundAnyMeanings
unctuous--0,"油質的,假殷勤的,過分做作或假意熱心的,參,油膏,類安慰劑是不刺激人的油藥膏是油的假裝虔誠的是假虔誠的假殷勤的是假熱心的"
underhanded,"秘密的,卑劣的,人手不足的"
undesirable,"不合需要的,不受歡迎的,令人不快的"
undeveloped,"未充分發育的,未發展的"
unequivocal,"清楚又直接的,明確的,直率的"
unexpressed,NotFoundAnyMeanings
unfavorable,"不適宜的,不利的,不討人喜歡的"
unhappiness,不快樂
unification,"名詞,統一,一致,聯合"
unimportant,"不重要的,无意义"
uninitiated,"記,不,啟動,傳授,缺乏經驗的,外行的,缺乏經驗的"
universally,"在各種情況下,普遍地"
unjustified,"未被證明為正當的,無法解釋的"
unmarred--0,NotFoundAnyMeanings
unmitigated,"未緩和的,未減輕的,全然的"
unnaturally,"不自然地,故意地"
unnecessary,"不需要的,不必要的,多餘的"
unorganized,無結構的
unpalatable,"事實或想法令人不快的,讓人難以接受的"
unreasoning,NotFoundAnyMeanings
unregulated,"未受管制的,缺乏規範的"
unrelenting,"不寬恕的,無情的,堅定的,不退讓的"
unrepentant,"難以矯正的,不悔恨的,不悔悟的"
unseemly--0,"不體面的,不適宜的,不恰當的,不體面地"
untouchable,"不能許,觸摸的"
unwholesome,"不適合健康的,有害身體的,腐敗的"
unwieldy--0,"笨拙的,不實用的,難處理的,難使用的,笨重的"
valedictory,"告別的,離別的,記,力量,說,很有力量的說話,就是在對別人,告別"
validate--0,"使有效,使生效,承認,為正當,確認,證實"
vanquish--0,"征服,擊敗,克服,抑制"
variegation,"雜色,色彩斑駁,記,變化"
veracity--0,"說真實話,老實,誠實,感覺,衡量等,准確性,精確性"
verisimilar,"好像是真的,有道理的,記,真實,相似的,好像是真的"
vestment--0,"官服,禮服,記穿上衣服,象徵某種權力地位,這種衣服稱為,官服禮服"
vicissitude,"變化,變遷,榮枯,盛衰"
vigorous--0,"活力充沛的,精力旺盛的,強而有力的"
volatile--0,"飛行的,揮發性的,可變的,不穩定的,輕快的,爆炸性的,現罕有翅的動物,揮發物"
well-around,NotFoundAnyMeanings
well-chosen,NotFoundAnyMeanings
well-suited,"適當的,便利的"
willfulness,"任性,固執,故意,存心"
willingness,"自願,情願"
willy-nilly,"不管願意不願意,不容分辨的,猶豫不決的,不幹"
wrongheaded,"堅持錯誤己見,騾,固執的人,抓住不改變"
abhorrent--0,"令人憎恨的,可惡的,厭惡的,相反的,不一致的"
absorbing--0,"很吸引人興趣的,很吸人注意的"
abstinent--0,"飲食有度的,有節制的,不,抓住"
abstruseness,深奧難懂
accidentally,"意外地,偶然地"
accompanying,"陪伴的,附隨的"
accomplished,"完成的,實現的,善社交的,有造詣的"
accretion--0,"增加,律添加物,附加物,地沖積層"
accumulation,"積聚,累積,積聚物"
acquaintance,"認識,瞭解,相識的人,熟人"
acquiesce--0,"勉強同意,默認,含有不情願,但又不敢反抗的味道,例,你只得默認他們的計劃參,不動的,靜止的,安靜,類"
acquittal--0,"宣告無罪,由陪審團或法官宣告被告沒有所控罪行,無罪,被証明無罪的狀態,參,報答,酬謝,無處不在的,宣告有罪,宣告無罪"
adaptable--0,"能適應的,適應能力很強的,可修改的"
adornment--0,"同義字詞,裝飾,裝飾品"
advantageous,"記,優勢,利益,有利的,有益的,例,這對我們極為有利,有利的"
adventitious,"記源於基督降臨偶然的,這是基督的一個偶然的想法,他要成為人的樣式,以無罪的身體降臨人世,擔當人的罪孽,完成救贖大功被釘十架,埋葬,複活,升天,偶然的,偶然的,外來的"
adversary--0,"對手,敵手,的"
aesthetic--0,"美學的,有審美感的,感覺"
aggravate--0,"使,病情,惡化,加重使,局勢等,更嚴重"
aggregate--0,"合計,總計,集合體,合計的,集合的,聚合的,聚集,集合,合計"
aggressively,"積極地,有侵略性地"
agreement--0,"同意,答應,商定,一致,協定,協議"
alleviate--0,"緩和,減輕,使痛苦等更易于忍受,例,熱常常能減緩疼痛參,輕率,舉起,升高"
alphabetical,"按字母表順序的,例,按字母順序,源希臘語第一個字母阿爾法,希臘語第二個字母貝塔按字母表順序的,類,字典按照字母順序編編年史按照年代順序編,依字母順序的,字母的"
amenity     ,NotFoundAnyMeanings
amiable     ,NotFoundAnyMeanings
amorphous--0,"不定形的,無確定形態的,沒有明確結晶結構的,例,我弄不懂你那些亂七八糟的想法參,變形,變質,形態學"
analogous--0,"相似的,可比擬的同功的"
ancillary--0,"補助的,輔助的,類"
anhydrous--0,"記無,非,水,形容詞后綴無水的,無水的,尤指無結晶水的,例,無水化合物,參,使脫水,碳水化合物,反,濕的,無水的"
animate     ,NotFoundAnyMeanings
animosity--0,"憎恨,仇恨,記法,動物,城市,動物恨城市"
anomalous--0,"異於平常的,不規則的"
anonymity--0,"匿名,作者不詳,記法,無,名稱,名字"
antedated--0,"比,早發生的,先於日期的"
anthology--0,"選集,名詩選集,名言集,文選"
anticipatory,"預期的,期望著的,提前發生的,反,回顧的,與期望相反的,預料的,預想的"
antipathy--0,"厭惡,反感例,我討厭貓參,冷漠,同情,反,友愛,仁愛心,善行,堅定的喜愛"
apathetic--0,"漠不關心的,源,漠不關心就是,沒有感覺"
appall      ,NotFoundAnyMeanings
appealing   ,NotFoundAnyMeanings
appraisal--0,"評價,鑑定,評定,估價"
appreciation,"欣賞,鑑賞,賞識"
apprehend--0,"理解,憂慮,逮捕,理解,手,手銬"
apprehending,NotFoundAnyMeanings
apprehension,"擔心,憂慮,對未來充滿恐懼或焦慮,逮捕,了解例,他恐懼地檢查房間的四周,她是一個理解力很低的女孩類,擔憂過分是恐懼喜歡過分是愛慕"
approachable,"可接近的,易交談的,易親近的"
apropos     ,NotFoundAnyMeanings
arbitrary--0,"任意的,恣意的,專制的,武斷的"
archaic     ,NotFoundAnyMeanings
architecture,"建築學,建築術,建築物,組織,結構"
arduous     ,NotFoundAnyMeanings
arresting   ,NotFoundAnyMeanings
arrest      ,NotFoundAnyMeanings
ascetic     ,NotFoundAnyMeanings
aspersion--0,"誹謗,中傷例,不要對我的誠實誹謗中傷根散開散布壞話誹謗,中傷參,散布,點綴,使分散,類理論解釋是一種解釋誹謗是一種侮辱反,吹捧"
assertion--0,"斷言,聲明,權利等的主張"
assertive--0,"斷定的,過分自信的,肯定的"
assertive   ,NotFoundAnyMeanings
assiduous--0,"勤勉的,專心的例,一個勤奮的工人參,勤勉,主持,陰險的"
astonishment,"驚異,驚愕,使人驚異的事物"
astronomical,"天文學的,天文數字的,龐大的"
asylum      ,NotFoundAnyMeanings
attenuate--0,"變細,變弱,例,解,另一個動詞,也是,逐漸變細,的意,思,形容詞,如,補"
attribute--0,"屬性,把,歸因於,把,歸咎於,認為,是某人所有,認為,是某人創造"
authenticity,"確實性,真實性,真實性,真實的,可信賴的性質或狀態,類,真實不會是欺騙的誠摯不會是偽善的,真的具有真實性誠實的具有可信性完整的具有完整性"
autocracy--0,"同,獨裁統治,獨裁政體,獨裁,專制"
auxiliary--0,"幫助者,輔助物,助動詞,附加的,輔助的"
bad-tempered,脾氣不好的
befuddlement,"記使,成為,灌醉,狂飲,爛醉讀發抖喝得爛醉如泥就會發抖,使醉,醉了以後就會迷惑,迷惑不解,因喝酒,暈迷,迷惘,暈迷,失常"
beleaguer--0,"使煩惱,受折磨,圍攻例,我被許多困難所困擾反,使高興,平息,俗麗地穿著或裝飾"
bellicose--0,"記原指公鹿在追求母鹿的戰斗中角碰角的聲音,後來引申為鈴聲,作詞根講是戰爭的意思,形容詞後綴好鬥的,在行為或性格上,好戰的,好斗的,例,我很想和人吵架,參,好鬥,反叛,叛亂,好戰的,好斗的"
belligerence,"交戰,好戰性,爭鬥性"
blandishment,"用甜言蜜語,討好的方式,哄騙,勸誘類甜言蜜語是為了哄騙獎章是為了給予榮譽恐嚇是為了脅迫障礙物是為了阻礙支吾搪塞是為了欺騙"
bourgeois--0,"中産階級的,追求物質享受的,世俗的,參加高爾夫球俱樂部有點庸俗,不是嗎"
broad-minded,"包容的,反義"
cacophony--0,"刺耳的音調,不協和音,雜音,壞聲音"
carbohydrate,"碳水化合物,醣,含大量碳水化合物的食物"
cardiologist,"心臟病學家,心臟病科醫師"
carelessness,不小心
cartographer,"記紙,圖,寫,人製圖師,畫卡通地圖繪製地圖者,繪製地圖者,類,繪製地圖者製作地圖裁縫製作衣服詞典編纂者製作字典,地圖制作者,制圖師"
cataclysm--0,"大災難,重大的,動亂,破壞,衍,例,解,通常指天然的巨大災難如地震,海嘯等若若是淹大水這種災難,最適合用此字"
causality--0,"緣由,因果關系"
certitude--0,"記,確定的,表狀態確定的狀態必然,發生或結局的,必然性,確定無疑,反,陰暗,含糊,確實,確信"
championship,"冠軍頭銜,冠軍賽,錦標賽"
characterize,"動詞,描繪,的特性,具有,的特徵"
chastisement,"懲戒,責罰,斥責"
chauvinistic,"盲目愛國的,類,愛國的過分是盲目愛國的相信的過分是輕信的,盲目的愛國心的,沙文主義的"
choreography,"舞蹈編排,設計並且編排舞蹈或芭蕾動作,舞蹈,根有伴唱的舞蹈,寫編舞術類,編舞安排舞蹈情節安排故事舞蹈指導設計舞蹈動作建築師設計建築雕塑家建造雕像"
circumscribe,"在,周圍畫線,限制,環繞寫限制"
close-minded,"思想封閉,或保守,的,對,報有成見的"
cognitive--0,"認知的,認識的,有認識力的,感知"
cold-blooded,"無情的,殘酷的,冷血的,例,蛇是冷血動物,我是一個冷血殺手,冷漠"
commencement,"開始,著手,畢業典禮,授獎典禮"
commonplaces,NotFoundAnyMeanings
commonwealth,"名詞,共和國,全體國民,團體"
compensation,"補償賠償物,補償賠償金"
compensatory,"賠償的,補償的,補充的"
complaisance,"彬彬有禮,殷勤,柔順,例,他說話彬彬有禮,類,柔順的不是難處理的熟練不是笨拙的,反,粗野,固執,彬彬有禮,殷勤,柔順"
complimented,"讚美的話,恭維,敬意"
comprehended,"理解,了解,領會"
concentrated,"集中的,濃縮的,全神貫注的,全力以赴的"
condemnation,"譴責,定罪,反,認可,提升,贊美,頌詞,譴責,指責,定罪"
conducive--0,"有助的,有益的,促成的"
confident--0,"確信的,自信的,有信心的,有把握的"
confidential,"機密的,獲他人信賴的,易於信任他人的"
congenial--0,"意氣相投的,性情好的,好相處的氣質,合適"
conglomerate,"密集而固結的,礫岩性的集成物,集塊,礫岩,使,凝聚成團"
congruent--0,"全等的,將圖形重合時完全相等的,與連用,一致的參,一致的,符合的,適合的,類全等的是大小相同同時代的是時代相同不協調的使一致反抗的遵守,反義"
consequences,"結果,後果,重大,重要,性,自大,神氣活現,邏輯上的必然結果,推論"
conservative,"保守的,支持傳統觀點和社會準則,反對變革,守舊的,在風格上傳統或拘謹,類,頑固的人不接受建議保守的人不接受改變頑固的不相信權威,反動的死板的,保守的不相信改變創新"
conservatory,"記,保存,保藏,表示地方保存蔬菜和藝術家的地方,溫室,植物園中將植物擺放得很美觀以供觀賞的暖房,音樂學院,音樂或戲劇藝術的學校,類,神學院培養神學家音樂學院培養藝術家,天文台研究天文學,溫室,音樂學校"
considerable,"形容詞,相當大的,相當多的"
consonant--0,"調和的,一致的,記法共同聲音同聲的一致的"
constituting,構成
constitution,"憲法,構造,體質,體格,國體,章程,慣例"
constrain--0,"強迫,迫使,繩子,綑綁,束縛"
contemporary,"同時代的人,同時代的,同時,屬於同一時期的"
contemptible,"可鄙的,表示作出的事情令人可鄙,類笑聲表示歡鬧的貶損表示可鄙的反,可敬的,可估計的"
continuation,"繼續,連續,持續延長部分"
