an,"冠詞,一個,一種"
cold,"感冒,寒冷,寒冷的,冷淡的,冷靜的,完全地"
coma,"昏迷狀態,因受傷,疾病或中毒引起的很深的,持續的失去知覺的狀態,不能感覺外界刺激或對內部需求沒有反應,例,她已經昏迷兩個星期了參,昏睡的,昏睡狀態的,類"
come,"過來,來,到達,出現,開始"
cone,"圓錐體,毬果,使成錐形"
conf,NotFoundAnyMeanings
cont,NotFoundAnyMeanings
cook,"廚子,廚師,烹調,煮飯,加熱,在煮著"
coop,"記把中間兩個大聲的念出來,像不像關在籠子裡的雞的哀鳴,關家禽或小動物用的,如雞,籠子,監禁,類,馬養在蓄欄裡雞養在籠子裡,小屋,雞,兔,籠,拘留所,俗監獄,關進,雞舍等,拘禁"
copy,"復制,謄寫抄本,副本,拷貝,本,冊,復製品"
cord,"帶子,繩索,電線,韌帶"
core,"核心,果心,爭論的核心,挖,的核"
coup,"砰然而有效的一擊,妙計,出乎意料的行動,政變"
crab,"螃蟹,類似螃蟹的動物,脾氣乖戾的人,吹毛求疵,捕蟹,偏航,發牢騷,使偏航,發脾氣,破壞"
cram,"塞滿,填滿,猛吃,貪吃塞滿"
crow,"動詞,得意洋洋,幸災樂禍,名詞,鴉,烏鴉"
crux,"關鍵點,症結所在,疑難反,外圍要素"
curb,"動詞,控制,遏止,勒住,名詞,人行道旁的水泥,或石,邊,抑制"
cure,"治療,治癒,治療法,怪人,治療,治癒,改正,醃制,加工處理"
curt,"言詞,行為,簡略的,草率的根跑說話象跑簡略的,草率的切把沒用的詞語切掉簡略的,草率的類簡潔的節省詞語吝嗇的節省資源"
daft,"記讀打福特,一種比較牛的汽車品牌,你說你沒事兒打什么福特呀不僅車牛,裡頭的人更牛,你不是招抽呢嗎傻,愚蠢的,遲鈍的,類,愚蠢的不是聖人,反,明智的,愚蠢的"
dais,"記拼待,死待死當演講者很不容易,當你站在前慷慨激昂的講話時,也有潛在的危險,比如你講的很差,就會遭到雞蛋和西紅柿的光顧,更有甚者用石頭,所以站在前就是待死的過程,講台,一般在演講廳裡,為演講者和貴客準備的,特點是高,台,講台"
damn,"動詞,罵,該死,咒罵,名詞,詛咒"
damp,"形容詞,有濕氣的,潮濕的,動詞,使潮濕,使沮喪,抑制,名詞,濕氣,潮濕"
dank,"令人不快的,陰濕的,比如地窖和山洞,類,陰濕的潮濕"
dark,"黑暗的,顏色,隱藏的,悲觀的,陰鬱的黑暗,暗處,愚昧,無知"
dart,"動詞,投擲,標槍等,投射,狂奔,名詞,標槍,鏢,飛奔"
data,"名詞,資料,數據"
date,"日期,年代,確定,的日期,從,開始,追溯至,約會,和,約會"
dead,"死的,死亡的,無生命的,不活躍的,麻木的,筋疲力竭的,過時的"
deal,"給予,分給,做買賣,經營,對付,處理,論述,涉及交易,買賣,待遇"
debt,"名詞,債,借款"
deed,"行為,事實,功績,實行,契約,立契轉讓,舊產等"
deep,"深的,深切的,深厚的,深刻的,專心的,調子低沈的,深,遲"
deft,"靈巧的,迅速而熟練的,參,愚蠢的,打福特汽車類怯懦的對可敬的靈巧的對笨拙的不靈巧的對靈巧的多話的對簡潔的反,笨手笨腳的"
dent,"凹,凹痕,齒輪的,齒,弱點,使凹下,凹進,削弱"
deny,"否定,否認,拒絕相信,拒絕接受,拒絕給予,否定,拒絕"
died,"死亡,消逝"
dike,"堤垻,水垻,水溝,水渠"
dirt,"名詞,污物,爛泥,灰塵"
disk,"名詞,圓盤,電腦,磁盤"
diva,"記讀帝王在歌劇中的首席女主角都是演帝王的老婆,總是,的唱歌,迪娃歌劇中的首席女主角,源原指意大利著名歌手迪娃,歌劇中的首席女主角"
doct,NotFoundAnyMeanings
does,"的第三人稱,單數,直敘法,現在式"
doff,"記與一起記,脫,穿,脫掉,脫帽致敬,反,穿上,脫,廢除,丟棄"
dolt,"記讀逗他,聯想悟空逗八戒,傻瓜,參,愚蠢的,呆笨的,類,愛說笑的人特點是幽默的傻瓜特點是笨的,呆子,傻瓜,笨蛋"
dome,"動詞,成圓頂狀,名詞,圓屋頂,穹窿,半球形物"
done,"完成的,完蛋的,筋疲力竭的,煮熟的"
dose,"劑量,一劑藥,一次,一頓,一番,服藥,配藥,攙入,懲罰,教訓"
dote,"記讀逗他,聯想老人逗孫子,過分溺愛,下一代,老年昏聵,區,悟空用逗八戒,傻子中間有象金箍棒,類,譴責是嚴厲責備溺愛是過分喜愛,昏聵,溺愛"
down,"向下,向南,在下在,下,沿著,下降,放下,打倒,砍倒潦倒"
doze,"動詞,打瞌睡,打盹,名詞,瞌睡,假寐"
drab,"黃褐色,邋遢女人,娼妓"
draw,"拉,拖,拔劍,拖拉,挨近,領取,打成平局,引來,抽簽決定,畫,描寫,制訂"
dual,"形容詞,雙的,雙倍的,雙重的"
duct,"管道,傳送電纜,分泌物,液體或氣體的封閉通道,根本身就是詞根引導,參,易延展的,易教導的,柔軟的,就職,入伍,類,夾板用來固定管道用來運輸,管,輸送管,排泄管,通過管道輸送"
duel,"決斗,為解決關系到榮譽的某件事預先安排的兩人間的正式格斗,類,小戰斗的特點是不重要決斗的特點是正式,決斗,決斗"
duet,"二重唱,二重奏,區,決斗,用的是劍,用的是小提琴,二重奏"
dull,"鈍的,無趣的,呆滯的,陰暗的,使遲鈍,使陰暗,緩和,變遲鈍,減少"
dune,"記如果玩過的同學應該對沙丘有印象,一種類似紅警的即時戰略游戲,由風吹積而成的小山狀,沙丘,類,河流流過形成峽谷風吹過形成沙丘,沙組成沙丘詞語組成句子,由風吹積而成的,沙丘"
dupe,"容易上當者,被人當工具利用的人,欺騙類易上當者的特點是輕信鑒賞家特點是有鑒別力易上當者是輕信的魯鈍的人是感覺遲鈍的,懦夫是懦弱的易上當者是輕信的"
duty,"義務,職責,勤務,稅務,關稅"
each,"各,各自的,每,各,各自,每個,每人,每件"
ease,"安樂,安逸,悠閑,使安樂,使安心,減輕,放鬆,減輕,放鬆,靈活地移動"
easy,"容易的,緩緩的,舒適的,從容的,寬容的,流暢的,隨便的,自然而然的,疲軟的"
eddy,"記讀愛低,漩渦都是向下的愛低,渦流,漩渦,與主流向相反的以圓周運動方式流動的水流或氣流,逆流,與傳統,歷史主流相反的傾向,觀點,類,旋渦與溪流方向相反異常與趨勢方向相反,旋轉,漩渦,使,起漩渦"
edge,"邊緣,尖銳,刀刃,優勢,使銳利,擠進,鑲邊,開刃,緩緩移動"
eggs,"很多,蛋"
else,"別的,其他的,別的,另外的,否則,不然"
emit,"發出,放射,吐露,散發,發行"
ence,名詞
epic,"形容詞,史詩的,敘事詩的,英雄的,名詞,史詩,敘事詩"
espy,"看到,遠處,模糊或掩蔽之物,根看,間諜,看到"
etch,"記酸,讀愛吃,金屬和玻璃,蝕刻,用酸蝕刻玻璃,金屬表面,銘記,銘刻,區,發痒,渴望,蝕刻版畫,蝕刻術,類,用腐蝕劑蝕刻用粘合劑粘貼,反,擦掉,蝕刻"
even,"甚至,即使,均勻的,平坦的,平等的,偶數的,雙數的,使平坦,使平均"
evil,"邪惡,不幸,罪惡,邪惡的,不幸的,有害的,誹謗的"
ewer,"記讀誘餌大口水罐裡有頂級五糧液誘惑你,大口水罐,裝飾性的水罐,有橢圓形的罐體和突出的壺嘴,大口水罐"
exit,"動詞,出去,離去,退去,名詞,出口"
face,"臉,面貌,面容,表情,正面,表面,面對著,朝,面向,向,朝"
fact,"事實,實情,論據"
fade,"褪色,消失,凋謝,使褪色淡入,淡出,平淡的"
fail,"失敗,衰退,減弱,衰弱,不,未能,缺乏,不足,停止作用,評為不及格"
fair,"公平的,公正的,正大光明的,金色的,白晰的,晴朗的,清楚的廟會,交易會"
fake,"假貨,欺蹣一卷繩索,假的,假造,仿造卷繩索,偽裝"
fall,"秋天,落下,瀑布,採伐量,下降,落差,降低,墮落,倒下,落下,來臨,失守"
fame,"名聲,名望,著名,聞名"
fang,"犬,狼等的,尖牙,犬牙,毒蛇的,毒牙,牙根,尖端,灌水引動,水泵"
fast,"緊的,牢的,忠實的,快速的,耐久的,緊的,牢固地,很快地,緊緊地,徹底地,禁食,絕食,齋戒,絕食,齋戒"
faze,"使不安,始擔憂,打扰,折磨,使狼狈,使担忧,混乱,狼狈,忧虑"
fear,"害怕,畏懼,害怕,畏懼,害怕,感到顧慮"
feat,"功績引人注意的勇敢的行為,手藝,本領"
fell,"的過去式,擊倒,打倒,疾病等,致于,死地,砍伐,一季所伐的木材,獸皮,羊毛,凶猛的,可怕的"
felt,"動,詞,感覺,摸,觸,試探,的過去式與過去分詞,毛氈"
fern,"蕨,類,複葉是蕨類植物的葉子針葉是松樹植物的葉子,植蕨類植物"
fiat,"記,對,開火命令,發布的人一般都很,比如的肚子就非常,任意發布的,命令,法令,授權,批準,命令,法令,許可,批准"
file,"文件,卷宗,銼刀,列隊行進,用銼刀做,歸檔,申請,檔案,公文箱,文件夾"
fill,"填充,彌漫,供給,滿足,供應,充滿滿足,裝滿,充分,填方,填充,裝滿"
find,"找到,發現,發覺,覺得發現,發現物"
fire,"火,火災,閃光,炮火,熱情,點燃,燒制,使發光,激動,放槍,解雇,開槍"
firm,"公司,商號,堅定的,堅強的,牢固的,結實的,堅硬的,堅挺的,嚴格的"
flak,"記用人工降雪,薄片,雪花,高射炮,過分的抨擊的批評,高射炮火"
flat,"平坦的,扁平的,平地,斷然的,直截了當的,沒精打采的,呆滯的,蕭條的"
flaw,"缺點,裂紋,瑕疵,一陣狂風,使破裂,使有缺陷,使無效,生裂縫,變的有缺陷"
flax,"記容易,彎曲,穿上就會,亞麻,可用來製紡織纖維,類,瓷器由黏土製造亞麻布由亞麻製造,亞麻,麻布,亞麻織品,亞麻制的"
flip,"擲,彈,輕擊,用鞭等,抽打,空翻,用指輕彈,抽打,翻動書頁,或紙張,蹦跳,拋,彈,筋斗,無禮的,冒失的,輕率的"
flow,"流程,流動,漲潮,流量,洋溢,泛濫,流動,流泄,暢流,川流不息,飄揚"
flux,"漲潮,變化未定,物流量,通量,熔化,流出,使熔融,用焊劑處理"
fold,"折層,折,羊欄,折痕,信徒,折疊,包,籠罩,交叉,折疊起來,徹底失敗"
fond,"形容詞,喜歡的,愛好的"
food,"食物,食品,糧食"
fool,"愚人,受騙者,奶油拌水果,愚弄,欺騙,浪費,幹傻事,開玩笑"
foot,"腳,步調,英尺,底部,末尾,步兵,走在,上,給,換底,結算,跳舞"
ford,"記后到達,堡壘,可涉水而過的地方,涉水而過,淺灘,通過步行或騎動物或用交通工具可涉水而過的河等水體的淺處,源福特美國汽車製造商,他改進了汽油為燃料的汽車,並大量生產最早的大眾擔負得起且廣泛使用的型車,這種車成為第一輛可以涉水而過的車如果注意廣告就會發現涉水的鏡頭,參,可涉水而過的,類,淺灘,徒涉"
fork,"叉,耙,叉形物,餐叉,分岔,岔口,分歧,分叉,叉,叉起,耙"
form,"表單形狀,表格,形式,形成,排列,使,組成"
foul,"汙穢的,邪惡的,惡臭的,骯臟的,惡劣的,淤塞的,弄臟,妨害,污蔑,犯規"
free,"空閑,自由的,免費的,豐富的,釋放,解放,使自由,自由地,免費"
from,"表示时间从,表示原因因为,表示来源来自,表示分离与,分离隔开"
full,"全部,充滿的,完全的,豐富的,完美的,豐滿的,詳盡的,完全地,整整"
fume,"濃烈或難聞的,煙,氣體,一陣憤怒,或不安,用煙熏,冒煙,發怒"
fury,"名詞,狂怒,狂暴,猛烈"
fuse,"把保險絲接入,電路,熔接,裝引信"
fuss,"大驚小怪,小題大作,忙亂,無事自擾,焦急,焦燥,忙亂,使激動,使煩燥"
gain,"增益,獲得,利潤,收獲,增加,腰槽,得到,增進,賺到,開腰槽於,獲利"
gait,"記拼改他改變他的步伐,因為他的步伐象豬一樣,步法,移動腳步的一種特定的方式或樣子,步伐,類,步法是走路的方法說法是說話的方法,步態,步法,訓練,的步法"
gall,"使,十分厭煩,膽汁,膽量,深仇大恨,惱怒參,憔悴的,割掉姑奶奶的肉,膽汁,憤怒,英勇的,華麗的,對婦女獻殷勤的,有膽汁的螞蟻,古代認為膽汁是壯膽的,勇敢,殷勤,反,使平靜,牛蠅,形似蒼蠅,討厭的人"
gape,"由於驚奇等而張口結舌,目瞪口呆,該表演使我們驚訝得張口結舌張開,裂開,地震後地上開裂了"
gash,"記讀蓋世,太保,經常出沒于黑社會,所以身上有,有了,血就會,噴涌而出,滔滔不絕,讀故事,深長的肌肉傷口,類,裂口對深坑切口對深傷口,砍得很深的傷口,很深的裂縫,使,負深傷,划開,砍入很深"
gaze,"動詞,凝視,注視,盯,名詞,凝視,注視"
gear,"齒輪,工具,以齒輪連起,開動,配搭活動,安排,連接上,適合"
gene,"記外來語,基因,決定有機體組織的特殊特征,能發生變異,遺傳因子,遺傳基因"
germ,"微生物,細菌,幼芽,胚芽,芽胞"
gibe,"記也寫作,嘲笑,與,一致,嘲笑,嘲笑,多一個意思,與,一致,要記住,該詞巨好記,但是只可意會,不可言傳,嘲弄,講奚落和挖苦人的話,類,道歉表達后悔嘲笑表達嘲笑哀悼表達同情笑聲表達愉快,嘲笑,嘲笑"
gild,"記源于,黃金,金色,虛飾,給人一種不可靠的欺騙性的吸引力或較好的外表,鍍金,反,精確地表達,鍍金"
gist,"要點,要旨反,離題點,不重要的點"
give,"彈性,適應性,給,授予,供給,產生,發表,捐助,付出,獻出,引起"
glow,"發光,發熱,發熱,發紅,容光煥發,顯示出強烈濃厚的顏色光輝,激情"
glue,"動詞,黏住,緊附,名詞,膠,膠水"
glum,"悶悶不樂的,憂鬱的,陰沈的,淒涼的"
gnaw,"咬,啃,消耗,折磨,侵蝕"
goad,"趕牛棒,一端尖的長木棍,用來驅趕牲畜,刺激物,刺激,激勵類力勸是過分建議激勵是過分指導進攻目的是使被征服刺激目的是使被激起命令是強迫的懇求刺激是強迫的誘惑,暴食,貪食"
goal,"目標,終點,得分,球門,守門員,得分"
goes,"去,走,的第三人稱單數現在式,輪到的機會,嘗試,的複數"
gong,"鑼,用裹著布的木槌敲擊時能發生,的洪亮的聲音,銅鑼,盤形鐘,打鑼作為停車信號"
good,"善行,好處,利益,好的,優良的,上等的,愉快的,有益的,好心的,慈善的"
gray,"灰色,暗淡,灰色的,灰白的,老的,老練的,陰沈的,使,變灰色"
grim,"冷酷的,殘忍的,可怕的,討厭的,堅強的"
grin,"動詞,露齒而笑,名詞,露齒的笑"
grit,"砂礫,砂岩,膽量,咬緊,牙,咬牙切齒地說,發出刺耳摩擦聲"
grow,"生長,成長,漸漸變得,種植,栽培"
gull,"鷗,易受騙之人,鄉下佬,欺詐,騙"
gulp,"動詞,狼吞虎嚥,大口地吸,氣,哽住,名詞,吞嚥,一,大,口,哽塞,聲"
guru,"古魯,印度的宗教領袖,在精神和哲學問題上的老師和引導者,受尊敬的,教師,權威,倡導者,印度教,個人的,宗教老師,或指導,受下屬崇敬的,領袖,頭頭"
gush,"記拼故事需要滔滔不絕的講,回憶蓋世太保,砍得很深的傷口,水,眼淚或熱情,涌出,過分流露感情,滔滔不絕地說或稱贊,參,噴油井,說話滔滔不絕的人,類,感情奔放和感情奔放的大怒和大怒的,滴對噴涌溫暖對灼燒,大風對微風涌出對滴流,涌出"
gust,"動詞,吹強風,名詞,一陣強風"
hack,"以不規則的方式,亂劈,亂砍,僱佣文人,受僱寫一些公文或商業文章的作者,陳腐平庸的,有公文或商業文章特點的,類,亂砍不是雕刻鑿不是雕刻"
hail,"冰雹,致敬,招呼,向,歡呼,致敬,招呼,使象下雹樣落下,招呼"
hair,"頭髮,毛髮,毛,茸毛"
hale,"老人,健壯的,矍鑠的反,不堅固的,柔弱的,已枯竭的,衰老的,毀滅的,貧血的,蒼白的"
halo,"記源于,把,視為神聖,崇敬,連都了,日,月,等的,暈,繞著太陽或月亮等發光體的一圈有色光暈,是由于散布在大氣層中的冰物質使光線發生反射或折射而引起的,天使或神像之光環,在宗教繪圖中環繞在神聖者的身上或頭上的光圈,日月周圍的暈輪,光環,榮光,使有暈輪,圍以光環,成暈輪"
hand,"手,掌握,協助,指針,人手,手藝,手跡,支配,插手,支援,攙扶,交給"
hang,"懸掛,訣竅,意義,懸掛,附著,裝飾,垂下,躊躇,絞死,使懸而未決,懸著"
hard,"難的,艱苦的,堅硬的,硬的,堅固的,猛烈的,艱難的,結實的,困難的"
hark,傾聽
harm,"動詞,損害,傷害,危害,名詞,損傷,傷害,危害"
hast,"的第二人稱,單數,現在式"
hate,"憎恨,恨,不願,不喜歡憎惡,憎恨"
have,"有,必須,不得不,吃,喝,經歷,遭受,使,讓,進行,從事,拿,得到,取得"
hawk,"鹰,掠夺他人的人,鹰派成员,放鹰,像鹰一般地袭击,清嗓,咳嗽,捕捉,咳出,兜售,沿街,叫卖,散播"
head,"頭,頭腦,領袖,腦袋,最前的部分,為首,朝向,前進,用頭頂,成頭狀物"
heal,"痊愈,使復原,使和解,治癒"
hear,"聽到,聽說,聽見,審理,聽見,聽"
heat,"熱,熱度,高潮,加熱,激昂,發熱,把,加熱,使激動"
heir,"名詞,繼承人,嗣子"
held,"握住,抓住,保持的,保留的"
hell,"地獄,苦境,陰間,毀壞,訓斥,狂飲,飛馳"
help,"幫助,幫忙,接濟,治療,款待,有用,救命幫忙,幫助者,補救辦法,助手"
hide,"隱藏獸皮,跡象,躲藏處,藏,隱瞞,遮避,剝,的皮,躲藏"
high,"高,高度,高處,高的,高級的,主要的,高尚的,高原的,高音的,昂貴的,傲慢的"
hike,"徒步旅行,遠足,漲價,提高,健行,徒步旅行,揚起,使高漲,拉起"
hing,NotFoundAnyMeanings
hint,"動詞,暗示,示意,名詞,暗示"
hiss,"動詞,發出嘶嘶聲,發出噓聲,名詞,嘶嘶聲,噓聲"
hive,"蜂房,鬧區,蜜蜂群,進入蜂房,儲藏蜜於蜂房,如蜂般群居,使進蜂房"
hoax,"欺騙,哄騙,愚弄愚弄人,惡作劇"
hods,NotFoundAnyMeanings
hold,"抓住,拿著,握住,保持,容納,控制,抑制,舉行,掌握,佔有,認為"
hole,"孔,洞,穴,漏洞,挖洞,掘坑,進洞,鑿洞"
holy,"神聖的,聖潔的,至善的神聖的東西"
home,"家,家鄉,本國,療養所,養育院,收容所,在家,回家,回國,深入地,家庭的"
hoof,"記讀胡夫睡在金字塔裡的哥們兒,原來是暴君經常踢人,馬,牛或鹿等的,蹄,踢,區,帽兜,鉤,吊鉤,蹄,踢"
hoop,"圍在桶上的金屬或木製,環帶,箍,投籃的籃圈,讀護打仗的時候可以用保護,箍,鐵環,戒指,籃,加箍于,環繞"
hope,"希望,期望,希望,期待希望,期望"
horn,"角,角質,喇叭,角制的,用角觸,長角於"
hrow,NotFoundAnyMeanings
huge,"巨大的,龐大的,極大的"
hulk,"笨重,舊的,難以操縱的,廢船,龐大,笨拙或不靈便的人或物體,讀好客一般來說大笨人都比較好客,笨重的船,廢船"
hull,"動詞,去殼,或蒂,打穿船殼,名詞,殼,莢,船殼,殼體"
hunt,"追獵,獵取,在,中狩獵,驅使,行獵,捕捉,追逐,打獵,獵食"
hurl,"用力的投擲,用力投擲,憤慨地說出,丟下,猛投,猛擲"
hurt,"刺痛,傷害,使痛心,使傷感情,刺痛,傷痛,危害,損害傷痛,傷害"
hush,"肅靜,安靜,沈默,使,肅靜,使,安靜,使,緘默"
husk,"外殼,皮,無價值之物,剝,的殼,削皮"
hymn,"動詞,唱聖歌,唱讚美詩,名詞,讚美詩,聖歌"
icon,"圖標像標,聖像,畫像,肖像,偶像"
idea,"思想,意見,主意,想象,模糊的想法"
idle,"空閑的,閑著的,懶散的,無所事事的,無效的虛度,空想,使空閑,懶散,空轉"
idly,"懶惰地,無所事事地"
idol,"偶像,崇拜物,幻象,謬論"
ills,NotFoundAnyMeanings
inch,"英寸,寸,身高,身材,使緩慢移動,緩慢地移動"
inof,NotFoundAnyMeanings
into,"進入,之內,深入,之中,成為,狀況"
iota,"記,阿爾法貝塔艾歐塔,把這句話念,遍,對艾歐塔形成希臘字母的感覺,然后第九個字母引申為極小量,艾歐塔,希臘字母表中的第九個字母,相當于英語的,極小量,例,他說的那番話一點兒道理也沒有,希臘語字母第,位,極微小"
item,"項,條款,項目,一條,一則,又,同上,條"
jade,"玉,翡翠,老馬,綠色的,玉制的,使,疲倦"
jamb,"記原指馬的后腿,像兩根柱子,讀戰敗,古代戰敗的人要從兩個馬腿中鑽過,馬腿,側柱,側柱,組成門,窗或壁爐等的兩側的一對豎直的柱子中的一個,起支撐和裝飾作用,礦柱,旁柱"
jape,"記,拼音扎破,開玩笑可以扎破緊張的氣氛,開玩笑,笑話,反,尊敬,開玩笑,開玩笑,笑話"
jazz,"世紀產生于美國的一種舞曲性音樂,爵士樂,喧鬧,爵士樂的,喧吵的,顏色過于艷麗的,奏爵士樂,跳爵士舞,游蕩,奏爵士樂,使活潑"
jeer,"大聲,嘲笑,譏諷,譏笑的言語類嘲笑的動作表示嘲笑譴責的語言表示譴責"
jerk,"動詞,把,猛地一拉,顛簸,痙攣,名詞,猛然地一拉,顛簸,痙攣,怪人"
jest,"笑柄,笑話,講笑話,嘲笑,開玩笑,嘲笑"
jibe,"與,一致,符合,嘲笑例,他的言行不一類歡呼就是鼓舞嘲笑就是嘲笑反,斗爭,沖突"
join,"連接,參加,鄰接,毗連,聯合,參加,加入,鄰接,毗連連接,接連處"
jolt,"震搖,搖動,顛簸,顛簸而行,震搖,使顛簸,使慌張,猛擊"
jury,"陪審團,評判委員會,陪審員,應急的"
just,"正義的,應得的,合理的,正確的,精確的,合法的,正好,恰好,僅僅,只是"
keen,"敏銳的,銳利的,鋒利的,厲害的,激烈的,強烈的,渴望的,熱心的,喜歡的"
keep,"生計,維持,保持,保持,保存,遵守,看守,整理,維持,履行,瞻養,經營,拘留"
kill,"殺死,弄死,扼殺,毀掉,使終止,消磨,殺,殺死,被弄死殺,殺傷,獵獲物"
kind,"種類,性質,方式,親切的,仁慈的,和藹的"
knit,"編結,編織,使,緊密地結合"
know,"知道,瞭解,懂得,認識,熟悉,識別,認出,分辨,體驗,經歷,知道"
lace,"帶子,系帶,花邊,飾帶,交織,攙和,鞭打,鞭韃,鞭笞,結帶子,系緊"
lack,"缺乏,不足,缺乏,短少,沒有缺乏,短少,沒有,需要"
laid,NotFoundAnyMeanings
lair,"獸穴,獸窩,泥潭,進入獸穴,在泥中打滾,放於穴中,使陷入泥潭"
land,"陸地,地面,土地,田地,國土,國家,地帶,境界,地皮,使上岸,使登陸"
lank,"記讀爛磕因為非常的瘦弱,所以才會到處爛磕,人,瘦弱的,樹等,細長的,草等,稀疏的,頭發,平直的,反,堅定的,瘦的,樹等細長的,草等稀疏的,頭發平直的"
lark,"記源于,百靈鳥,喜歡嬉戲的鳥,源于在湖邊嬉戲,玩笑,嬉耍,善意的惡作劇,云雀,百靈鳥,灰黃色,詩人,嬉戲,玩樂,嬉耍,戲弄,騎馬玩樂,愚弄"
lash,"鞭子,鞭打,睫毛,責罵,諷刺,鞭打,擺動,扎捆,衝擊,煽動,諷刺,猛擊,急速甩動"
late,"遲的,晚的,晚期的,新近的,前任的,不久前才卸任的,已故的,遲,晚"
laud,"稱贊類推荐是一種稱贊批準是一種鼓勵忠告給予建議贊美給予敬意反,惡罵,誹謗,痛打,嚴責"
lava,"火山噴發的,熔岩,熔岩冷凝後的,火山岩"
lave,"洗浴,慢慢衝刷"
laws,公婆
lazy,"懶惰的,懶散的,悠閑的,令人懶散的,慢吞吞的,懶惰,懶散"
lead,"領導,率領,領先,引導,帶領,攙,牽,致使,誘使,影響,過,使某人過,領導"
leak,"動詞,洩漏,祕密等,名詞,水,瓦斯等的,漏出,漏電"
lean,"傾斜,屈身,倚,靠,依賴,使傾斜,把,靠在某種東西上傾斜,傾向"
leap,"跳躍,跳過,猛然行動,迅速行動,躍過,使躍過跳躍,飛躍,躍進"
leer,NotFoundAnyMeanings
left,"左,左面,左邊的,左傾的,左側的,左派的,在左面"
less,"更少的,更小的,更少地,更小地更少,較少"
levy,"征稅,召集,課征,征稅,課稅,徵收,發動,召集"
lien,"記,躺,東西躺在,裡面,把東西扣押一扣押權,扣押權,留置權,控製,持有或出賣債務人財產,作為債務或義務清償保証的權利,類,扣押權是一種權利傳票是一種命令,留置權,抵押品所產生的利息"
lies,"謊言,躺臥,說謊"
life,"生活,生命,人生,世事,活體模型,生物,壽命,一生,生命力,靈魂,無期徒刑"
lift,"提起,舉起,提高,提升,鼓舞,被提起,被舉起,升起,消散,聳立舉起"
like,"喜歡,希望,想要,願意,適合於,喜歡,願意,希望,相似的,同樣的,就要"
limb,"四肢,枝幹,翼,邊緣,切斷,之手足"
limn,"描述,繪畫,參,面部輪廓,直系的,正統的,直線的,類,發音發出詞語描繪畫出線條,贊美,稱贊,頌歌,贊美,稱贊"
limp,"柔軟的,鬆散的,軟弱的,沒有精神的,跛行,艱難地行走"
line,"行,列,排,線,電線,繩,交通線,鐵路線,航線,路線,方針,行業,短信,魚絲"
lint,"記源于,亞麻,保護傷口的軟布,類,保護傷口的軟布是一種覆蓋物油布雨衣是一種衣服,舊時作繃帶用軟麻布"
list,"目錄,名單,明細表,布條,條紋,列出,列於表上,記入名單內,裝布條"
live,"活的,生動的,精力充沛的,實況轉播的,活,生存,居住,過著,度過"
load,"裝載,裝填,使擔負,負荷,擔子,重擔,裝載量,負載,工作量,裝貨,上客"
loaf,"一條麵包,一隻麵包,遊蕩,閑逛,懶散地工作"
loan,"貸款,借出,債權人,借,供應貨款,借給"
lobe,"圓形突出部尤指耳垂,植圓裂片耳垂,肺,肝等的葉"
lode,"記讀露的,從兩層岩石中露出來的礦脈,位于層次分明的兩層岩石之間的,礦藏,參,頁岩中間是礦脈源泉中間是含水土層,礦脈,斜成礦,復成礦"
logs,"圓木,木料,原木"
loll,"記源于,使平靜,懶洋洋地或放松地,移動,站立或斜倚,參,閑逛,長沙發,閑蕩,懶洋洋地躺臥,反,充滿活力地走動,懶洋洋地倚靠"
long,"長的,長久的,冗長的,做多頭的,渴望,熱望,極想,長久"
look,"看,望,瞧,注意,留神,顯得,好像,瞧,打量,留心,注意看,望,視,臉色"
loom,"織布機,若隱若現的景象,朦朧地出現,隱約可見,可怖地出現"
loon,"懶人,潛鳥,笨蛋"
loop,"循環環,圈,彎曲部分,使成環,以圈結,以環連結,打環,翻筋斗"
lope,"記先記住,私奔,出,讀落魄,一出去就落魄了,所以不要私奔,再記住,有走的意思,所以,是慢跑,大步的慢跑,區,耳垂,類,慢跑和跑慢說和說,使,大步慢跑,大步慢跑"
lose,"失,丟失,喪失,迷路,輸去,負,錯過,失蹤,死去,使喪失,受損失,賠錢"
loss,"損失,喪失,遺失,輸,未獲得,未保住,減少,浪費,未能利用,損失物"
lost,"失去的,遺失的,迷惑的,的過去式和過去分詞"
loud,"大聲的,響亮的,吵鬧的,喧囂的,俗艷的,過分花哨的"
love,"愛,戀愛,愛情,愛好,性愛,零,愛,愛好,愛慕,愛"
luck,"運氣,命運,好運,幸運,僥倖,帶來好運的東西,吉祥物"
lump,"塊,瘤,很多,腫塊,笨人,使成塊狀,混在一起,忍耐,笨重地移動,結塊"
lure,"動詞,誘惑,以誘餌吸引,名詞,誘惑物,魅力,誘餌"
lurk,"記讀樂渴,特別有樂趣,還特別渴的事情就是潛伏,潛伏,埋伏,類,潛伏是偷偷地等隱藏潛逃是偷偷地走隱藏是偷偷地藏盜竊是,偷偷挪用,潛伏就是潛藏嫁娶就是結婚,潛伏,埋伏,潛藏,潛伏,埋伏"
lush,"蒼翠繁茂的,多青草的,豐富的酒,醉醺醺,飲"
lust,"活力,繁殖力,強烈的性欲,強烈欲望,渴望,引起性沖動"
made,"已製成的,成功的,創造的,的過去式和過去分詞"
make,"製造,安排,創造,構成,變成,使得,獲得,產生,造成,使成為,使適合,整理"
many,"形容詞,很多的,代名詞,許多"
mare,"母馬,母驢,月球或火星等表面陰暗區"
