irritated,"形,被激怒的,惱火的,刺激唄,的,形容詞被刺激而導致憤怒的"
salacious,"好色的,淫蕩的,淫穢的"
sanctions,國際制裁
sanctuary,"聖所,耶路撒冷的神殿,避難所"
sandpaper,砂紙
sanity--0,"神智健全,頭腦清楚,健全"
sarcastic,"諷刺的,譏諷的,辛辣的"
satirical,"愛挖苦人的,寫諷刺文章的"
satisfied,"感到滿意的,令人滿意的,滿足的"
saturated,"滲透的,濕透的,飽和的,深顏色的"
saturnine,"憂郁的,天氣陰沉的類沮喪的憂郁的熟練的,同義,反,親切的"
savage--0,"野蠻的,未開化的,凶猛的,殘忍的,用暴力對付,原始的人,粗魯的人"
scattered,"散播的,散落的,零星的,分散的"
schism--0,"組織分裂,教派分裂參,分裂的,分裂者,類分裂缺乏一致意見中斷缺乏連續性反,一致,符合"
scholarly,"博學的,學者風範的,學究氣的"
scintilla,"中極少量,一丁點,記,智慧,一開始都是,極少量,的,衍,有智慧的少量的"
scripture,"聖經,聖經的一節,聖經的一句,手稿"
scrutable,"可以閱讀的,可以理解的"
searching,"搜索的,遍尋的,徹底的搜索,檢查"
seasoning,"名詞,調味料,佐料"
secondary,"次要的,二級的,中級的,第二的,繼發性的,第二期的"
secretive,"遮遮掩掩的,守口如瓶的,關於他的新女朋友他總是遮遮掩掩的"
sedentary,"坐著的,指工作等,坐著幹的,桇頭的,指人,不愛活動的"
seduce--0,"慫恿,瞞騙,引誘,誘奸"
seemingly,"表面上,外觀上,看起來"
seemly--0,"得體的,適宜的,禮貌的類下流的不是適宜的迷宮似的不是直接的反,不合禮節的,笨拙的,粗俗的,下流的"
segregate,"分離的,被隔離的,分離,隔離,分凝,使分離,使隔離"
selecting,選擇
semblance,"近似,相似,假像,昨晚的慶典過後,這座城市似乎恢復了平日的樣子"
semisolid,NotFoundAnyMeanings
sensation,"感覺,感受知覺激動,轟動"
sensitive,"敏感的,靈敏的,過敏的,感光的"
sentences,判決
separated,"形容詞,分離的,分隔的,分居的"
sequester,"記,跟隨,跟隨到東方的古國隱居源于,扣,押,沒收,隱居,使,隱退,使隔離,扣押,沒收,類,使引退進入隱居使危及進入危險,反,使混合,幽靜的,隱蔽的,使隱退,使隔絕,扣押,沒收"
seriously,"副詞,嚴肅地,認真地,當真地,嚴重地"
servitude,"奴隸狀態,懲役,地役權"
shameless,"無恥的,不要臉的,傷風敗俗的"
shapeless,"沒有形狀的,不成樣子的"
sharpness,"銳利,嚴厲,疾速"
shattered,"事物,想法,希望,粉碎的,破壞的"
shepherds,NotFoundAnyMeanings
shiftless,"記,轉移,總不轉變想法,沒有目標的,懶散的,沒有志氣或目標的,類,沒有目標的沒有雄心真誠的沒有詭計,想不出辦法的,偷懶的,無能的"
shipshape,"記,船,形狀,船的形狀,井然有序的,井然有序的,有秩序和清潔的,參,造船工人,建造者,類,整齊的不是雜亂骯臟的不是干淨,井然有序的"
shortness,"短小,簡略,不足"
shoulders,上背部
showiness,NotFoundAnyMeanings
shriveled,"使枯萎,使乾枯,使皺縮"
similarly,"同樣地,相似地"
simpleton,"笨蛋,在判斷力或智力上有缺陷的人,類,蠻勇的人不會謹慎傻瓜不會聰明背叛者不會堅定粗人不會敏感"
situation,"形勢,局面,位置,地點,職位,職務"
slaughter,"殘殺,屠殺,大量殺戮,殘殺,屠殺,虧本出售"
snowdrift,"記,漂流物,吹積物,風吹積而成的,雪堆,記,漂流物,吹積物,被風刮在一起的雪堆,隨風飄飛的雪"
so-called,"所謂的,號稱的,含貶義"
solemn--0,"鄭重的,莊嚴的,表情嚴肅的"
solemnity,"莊嚴,嚴肅,常用莊重的儀式"
somber--0,"記讀三本家家有本難念的經,你們家有三本難念的經,憂郁的,情緒,憂郁的,天氣,陰暗的,氣氛嚴肅的,反,天使一般可愛的,好笑的,陰森的,昏暗的,陰天的,憂郁的"
something,"某人,某事,重要的人,或事物"
sometimes,"有時,時常,往往"
sonnet--0,"記,聲音,網,古代的網有橫,豎,組成,行聲音的詩,傳統的押韻的,十四行詩,參,洪亮的,類,書法不是胡寫十四行詩不是打油詩,詩人寫十四行詩作曲家寫交響樂,十四行詩,商籟體"
sparingly,"保守地,謹慎地,節儉地"
sparkling,"閃爍的,閃亮的,酒起泡沫的"
sparse--0,"稀少的,稀疏的,間隔很大地生長或種植,反,普遍的,很多的,豐富的"
spearhead,"矛尖,突擊隊的先遣隊,攻擊的最前線,做先鋒,在前面帶頭做先鋒"
specifics,"記源于,細節,詳細精確的,的複數形式,細節,特別聲明,參,詳細說明"
spectator,"觀眾,目擊者,旁觀者"
spineless,"人,沒骨氣的,懦弱的,動物,無脊椎的"
spiritual,"精神上的,神聖的,崇高的,高尚的,鬼的,招魂論的有關教會的事"
splenetic,"壞脾氣的,易怒的,壞心眼的"
sprawling,"植物不規則地生長的,城市建築物,無計畫地擴展的"
sprightly,"記明快的春天,我們會愉快活潑的,愉快活潑的,類,蹣跚是不穩定的跳躍是活潑的,反,卑躬屈膝的,輕快的"
square--0,"正方形,廣場,平方,二次冪,豐富的,充足的,光明正大的,挺,使一致"
squeamish,"過分講究的,吹毛求疵的,神經質的,易嘔吐的"
squeezing,"擠法,擠壓"
stability,"安定,穩定性,堅實,鞏固,堅定"
stabilize,"使安定,使堅固,穩定,安定"
stalemate,"記,陳腐的,陳舊的,配偶,對手,原指在下國際象棋中使對手陳腐,也就是其它棋子不能移動而只有把王移到被將軍位置的局面,僵局,僵局,下一步行動受阻的情形,使陷入,僵局,類,阻塞阻止排水僵局阻止談判,僵局,成為僵局"
stance--0,"運動員的,始發姿勢,站姿,被放置的姿勢看法,立場,觀點"
stanch--0,"使止血,止,止流,止血,不透水的,堅強的,忠實的"
standards,標準
statement,"聲明,陳述,闡明,發言人,財務報告書"
static--0,"不變化的,不發展的,靜止的,靜態的靜電的"
statutory,"法令的,法規的,記,法令,法規"
steadfast,"忠實堅定的,穩定不變的反,反複無常的"
sterilize,"使不育,殺菌消毒類鎮靜劑使人平靜殺菌劑殺菌殺菌殺死微生物砍伐森林殺死樹木反,污染"
stimulant,"興奮劑,刺激物,暫時刺激加快人的生理或心理活動的藥劑,反,催眠的,催眠劑,刺激物"
stimulate,"動詞,刺激,激勵,使興奮,促使"
stratagem,"精心設計,用以蒙蔽他人,的謀略,策略"
strategic,"戰略,性,的,策略,上,的"
strenuous,"奮發的,熱心的,熱烈的,緊張的"
structure,"動詞,構造,組織,建造,名詞,結構,構造,建築物"
stupidity,"愚蠢,糊塗事"
stymie--0,"高爾夫妨礙球,從中作梗,完全妨礙"
subdue--0,"使服從,壓制,減弱,抑制,克制"
subjected,NotFoundAnyMeanings
subjugate,"使屈服,征服,使服從,克制,抑制"
submerged,"在水中的,淹沒的,水下的,水下運動的埋沒的,隱匿的貧苦的"
substance,"物質,東西,基本內容,實質,財富"
subtle--0,"微妙的,敏感的,精細的,稀薄的,精巧的,不能解成小"
suffering,"名詞,身體,精神上的,痛苦,苦惱"
suffocate,"通過阻斷空氣或氧氣使,窒息而死,類,窒息缺乏氧氣飢餓缺乏營養物"
summarily,"記,概括的,概括地,倉促草率地,反,長時間考慮的,概要地,概略地,立刻,草率地"
summarize,"動詞,總結,概述,概括"
summation,"總結,概要,總數,合計"
sumptuous,"豪華奢侈的反,冷靜的,有節製的,清醒,節製,詞性不符,節約的,苦行的,節儉的"
supernova,"記,新星,極為明亮而存在時間極短的,超新星,參,新手,天超新星"
supervise,"監督,管理,指導"
supple--0,"身体柔软的,灵活的,易弯曲的,顺从的,巴结的,使柔软,使柔顺,使顺从,驯马,变柔软,变柔和"
suppliant,"懇求的,哀求的,哀求性的懇求者,哀求者"
supplying,供應
supporter,NotFoundAnyMeanings
surcharge,"裝載過多,超載,追加罰款,額外費,使裝載過多,追加罰款"
surrender,"交出,放棄,使投降,聽任,投降,自首,交出,放棄,投降,投降算了"
suspended,"暫停的,緩期的,宣判,懸浮的"
suspicion,"名詞,懷疑,疑心,猜疑"
sustained,"持久的,經久不衰的"
sybaritic,"驕奢淫逸的,貪圖享樂的"
syllogism,"記,同樣,說,說出差不多的話,三段論,三段論法,如人會死,李洪志是人,李洪志會死,為了反對的,詭辯,參,共生現象,互利關系,生物,類,抗議是為了反對三段論是為了反駁,邏三段論法,推論法,演繹"
synthetic,"形容詞,綜合,性,的,合成的,人造的,名詞,合成物,合成纖維"
tackiness,"記,大頭針,可以把兩個東西,在一起,黏著,類,黏合劑黏著手術刀鋒利"
talkative,"喜歡說話的,饒舌的,多嘴的"
tantalize,"激起,挑逗,引誘"
tarpaulin,"記讀它破淋,它破了你就會被淋著,防水布,涂油防水布,用來覆蓋物體防止潮氣進入其中的材料,類,皮棉油氈是一種覆蓋物油布雨衣是一種衣服,防水油布是一種覆蓋物雨衣是一種衣服,防水油布"
tautology,"同義反覆,冗詞,贅述"
tearfully,淚眼汪汪地
tediously,沉悶地
tedium--0,"演講限制因為怕無聊,冗長乏味"
teenagers,NotFoundAnyMeanings
temper--0,"鋼等,韌度,回火,性情,脾氣,情緒,心情,調劑,趨向,冶金,回火,鍛煉,調和,調節"
temporary,"臨時的,暫時的,時間,時代"
temporize,"記,時間,拖延時間,為了節約時間,避免爭吵或拖延決定而,拖延,敷衍,見風駛舵"
tenure--0,"土地等的,使用和占有,官职等的,保有,任期,土地,使用期限"
terminate,"有結尾的,有限的,結束,終止,滿期,使停止,使結束,使終止"
testament,"名詞,證據,信仰,大寫,聖經舊約或新約"
testiness,"記,考試,總是考試,易怒,易怒,不耐煩,反,耐性,忍耐,沉著,冷靜,易怒,暴躁"
theocracy,"記,神,統治神權政治,指獨一無二的東西,原指上帝,神,神權政治,由宗教權威統治的政府,參,有神論,無神論,獨裁統治,類,是神詛咒,是神統治國家,神權政治,神政,神治國"
therefore,"因此,因而,所以"
thorny--0,"有刺的,多刺的,多障礙的,引起爭議的"
threshold,"名詞,門檻,開端,起點"
throwback,"記,扔,回,返祖現象,恢複到從前的類型或祖先的特征,擲回,挫折,阻止,大倒退,生返祖"
thrusting,"自作主張的,盛氣淩人的"
timely--0,"及時的,無拖延的,恰到好處的,合乎時宜的"
tiredness,"疲勞,疲倦"
tombstone,"記,墓,石頭,墓碑,墓石,類,墓志銘刻在墓碑上題銘刻在盾牌上,墓石,墓碑"
tonsorial,"記,頭,理發的,理發師的,理發的,類,理發師理頭發裁縫縫衣服,理發師的,理發的"
torpor--0,"遲鈍,不活潑,懶散,冬眠,反熱心,熱情"
torrid--0,"記讀特熱的,酷熱的,酷熱的,積極熱情的,反,北極的,熱帶的"
traceable,"記,痕跡,追蹤,可追蹤的,參,軌跡,跟蹤,追蹤,可追蹤的,起源于"
transform,"轉換,改變,改造,使,變形,改變,轉化,變換"
translate,"意思是,使轉換為,翻譯"
transport,"傳送器,運輸,運輸機,激動,狂喜,流放犯,傳送,運輸,流放"
transpose,"轉置,調換,顛倒順序,移項,進行變換"
traveling,"旅行的,旅行用的,同行的"
treatment,"對待,待遇,治療法"
trembling,"發抖,發抖的"
tremor--0,"名詞,震顫,顫抖"
troupe--0,"一團,一班,劇團,巡迴演出"
tundra--0,"多數位於北枀圈的,凍土帶,苔原,凍原,寒漠"
turbulent,"導致騷亂的,難控製的,洶涌的類大旋渦是洶涌的海市蜃樓是虛幻的反,和平的"
turpitude,"記,打擾,打擾別人的行為,卑鄙行為,邪惡卑鄙,的行為,反,正直,高尚的行為,奸惡,卑鄙"
turquoise,"礦綠寶石,綠松石色,青綠色,綠松色的"
unadorned,"未經裝飾的,原來的,樸素的"
uncertain,"不確定的,無常的,不確信的,不可預測的"
undergird,"及物動詞,從底層支持,加強,變化形,動變"
undergoes,經歷
underling,"部下,下僚,下屬,走卒"
undermine,"漸漸破壞,挖掘地基,暗地裏破壞"
underrate,"低估,輕視,對,評價過低"
undertake,"從事,保証,承擔,同意,接受"
unearthly,"神祕的,鬼怪的,可怕的,非,塵世的,超自然的"
unfailing,"經久不衰的,無窮盡的,可靠的"
unfeeling,"无情的,冷酷的,无感觉的"
unfeigned,"不虛偽的,真實的,誠實的"
unhealthy,"不健康的,对健康有害的"
unnatural,"不自然的,反常的,不近人情的"
unnoticed,"不引人注意的,被忽視的"
unplanted,NotFoundAnyMeanings
unrefined,未精鏈的
unscathed,"沒有受傷的,未受傷的,未受傷的,傷,沒受傷"
unscented,"無氣味的,不芳香的,反,芬芳的"
unselfish,"無私的,不謀私利的,慷慨的"
unsettled,"未處理的,未決定的"
unspoiled,"未損壞的,未寵壞的,反,受寵的"
unspotted,"清白的,無污點的"
untouched,"未觸及的,未改變的,不受感動的"
untutored,"未受教育的,粗野的,幼稚的,與教育無關的"
unvarying,不變的
unwilling,"不情願的,不樂意的,勉強的,不得已只得幫忙的人"
unwitting,"不知道的,未觉察的,无意的,使精神错乱,的形式,使丧失智能"
usable--0,"可用的,能用的合用的,便於使用的"
vaccinate,"進行預防接種,被接種牛痘者"
valuables,"貴重物品,財產"
vandalism,故意破壞公物的行為
vandalize,故意破壞他人財物
vanquishe,征服
variation,"變動,變化,變異,變種"
variegate,"使多樣化,使豐富色彩,使斑駁,記,變化"
vehemence,"熱烈,猛烈,表達有力或感情,說服力強烈,充滿活力或能量,類抨擊的特點是猛烈懇求的特點是急切"
venerable,"德高望重的,令人尊敬的,崇高神聖的,備受推崇的傳統久負盛名的公司德高望重的家族"
vengeance,"報仇,報復,字根,報仇"
ventilate,"使空氣流通,使通風,宣佈,公開"
veracious,"誠實的,真實的,字根,真實,誠實,真實"
verbosity,"嘮叨,冗長類過多詞語是羅嗦過多裝飾是花哨反,簡潔,簡潔,轉向,風向,順,時針,轉,使轉向,放出,錨,轉向,方向的轉變"
verdigris,"銅綠,長期放置于空氣或海水中的銅上形成的綠鏽"
veritable,"名副其實的,真正的,確實的"
versatile,"多才多藝的,多功能的,善變的"
versed--0,"熟練的,精通的,造詣深的"
vestigial,"留有痕跡的,殘餘的,退化的"
viability,"生存能力,存活力,記,路,有走路的能力生存能力"
vicarious,"代理的,替代的,代替他人忍受或工作的,反,直接的,第一手的"
victimize,"動詞,使犧牲,使痛苦"
viewpoint,"名詞,觀察位置,視角,觀點"
vigilance,"正警觉,警惕,警戒,医失眠症"
vindicate,"為,平反,用有支持力的論點或論據澄清指控,指責或懷疑,証明,正確,報仇區,報複性的,反,中傷,打擊,駁斥"
violating,違反
violation,"名詞,違反,違背"
violently,"猛烈的,激烈的,極端的"
virulence,"惡意,狠毒,毒性"
vitriolic,"硫酸的,象硫酸的,刻薄的,諷刺的"
vocalists,NotFoundAnyMeanings
vouchsafe,"賜予,允許,恩准"
vulgarity,"粗俗,低級參,俗物,俗人,類上流社會不會低級無畏的不會畏懼"
wander--0,"漫步,徘徊,迷路,迷失方向,偏離正題,胡扯"
wandering,"流浪,精神錯亂,徘徊的,蜿蜒的,流浪的"
warehouse,"動詞,把,存入倉庫,名詞,倉庫,批發店"
warmonger,"記,戰爭,商人,販子,戰爭販子,好戰者,大肆宣傳鼓動戰爭的人,反,和平主義者,鴿子,和平,好戰者,主戰論者"
warranted,"記,授權,正當理由,保証,使有正當理由,有正當理由的,反,無理由的"
watershed,"轉捩點,開啟新發展的關鍵"
weariness,"疲倦,厭倦,疲勞"
wearisome,"使人疲倦的,令人厭煩的,無聊的"
welter--0,"雜亂無章,記法,轉,混亂,雜亂"
whimsical,"反複無常的,異想天開的類,秘密的秘密易變的易變敏銳的敏銳不滿的不滿有洞察力的洞察力易變的情緒無常的行為"
whirlpool,"記,旋轉,池塘,漩渦,急速旋轉的水流,漩渦,類,龍卷風是空氣旋轉旋渦是水旋轉,漩渦,渦流,混亂,紛亂"
whitewash,"白色塗料,白粉膠泥水,塗脂抹粉"
wholesome,"促進健康的,衛生的,反,被污染的,有害的,有害的,病的,有害的,骯臟的"
willingly,"願意地,樂意地"
windstorm,風暴
witticism,"記,機智的,詼諧的,俏皮話,詼諧的言語,俏皮話,妙語,俏皮話"
worldview,世界觀
worldwide,"世界範圍的,全世界的"
worthless,"無價值的,無用的,不重要的"
xenophobe,"記,外國人,恐懼,懼外者,對陌生人或外國人特別恐懼或憎恨的人,參,外國迷,類,恨人類的人討厭人類排外者討厭外來人,仇外,懼外者"
xerophyte,"記,干燥,植物,旱生植物,干燥地帶植物"
zenith--0,"最高點,英文最後一個字母,衍,反義字,最低點,諧音,那低兒"
zestfully,NotFoundAnyMeanings
abandoning,放棄
abbreviate,"縮寫,縮短,簡化,簡寫成,縮寫為"
aberration,"偏離常軌,偏差行為,精神異常"
abnormally,"同義字詞,反常地,異常地"
abolish--0,"廢除,制度,法律等"
aboveboard,"記在上面,板子站在板子上面,不耍花樣,光明正大君子,光明正大的,地,不搞欺騙或詐欺的,地,源在上面,木板在板上原為賭博術語,當賭徒的手放在木板,賭博桌,上面時就無法出老千,比如在桌子下面換牌,反,詭計,狡詐,秘密的,光明正大的"
abscission,"記離開,剪刀有將物,分開,之功能,切之意,脫離,葉子,花朵或果實的自然脫落,切除,截去的行為,根離開,切,割切除,脫離,參,剪刀,反,嫁接,切斷,除去"
absolve--0,"宣告,無罪,赦免,免除"
abstain--0,"禁絕,放棄,記法,不,抓著,不抓住放棄"
abstaining,"戒,避免,避開"
abstention,"棄權,投票,戒除,藥,酒,維持,抓住,棄權票,三兄弟"
abstinence,"戒絕,戒除,最有效的避孕方法是完全禁慾"
abundantly,"大量的,充足的,豐富的,的衍生的副詞"
accelerate,"加速,加快,促進,速度增加"
accentuate,"強調,以重音讀出,加重音符號於,記法,加強,唱,說"
acceptable,"形容詞,可以接受的,令人滿意的"
acceptance,"名詞,接受,領受,票據等的,承兌,認付"
accidental,"意外的,偶然的非本質屬性"
accomplice,"同謀者,幫凶,不管是充當主犯還是從犯,根共同,重疊一起做同謀參,口是心非,複雜的"
accomplish,"動詞,完成,實現,達到"
account--0,"帳目,報告,估計,原因,利潤,算賬,記錄,解釋,認為,占,解決,得分"
accounting,"会计,会计学,帐单,解释的形式,叙述"
accumulate,"積累,積聚,積累,堆積"
accusation,"指責,譴責,指控,控訴,罪名"
accustomed,"形容詞,慣常的,適應了的"
acerbic--0,"尖刻的,辛辣的,信的字裡行間流露着派克的辛辣諧趣,這一點讓人們對他既欣賞又懼怕"
acquainted,"對某事物熟悉的,對某人認識的"
acrophobia,"記高,憎恨,病憎恨高的病,恐高症,對於高處的一種不正常的恐懼,醫恐高症"
activities,"活動,活動力"
adjunct--0,"附屬物,附件,修飾語,附屬的"
admiration,"贊賞,欽佩,贊賞的對象"
admonition,"告诫,劝告,轻责,温和的责备"
adolescent,"形容詞,青少年的,未成熟的,名詞,青少年"
adroitness,靈巧
adulterate,"摻假,加入外來的,不當的或低等的成分使變得不純,通奸的區,諂媚,奉承"
advance--0,"前進,進步,進步的例子,前進,增加,上漲,促進,提出,提高,預付"
adventures,"冒险活动,的名词复数,冒险经历,奇遇"
affability,"和藹,殷勤,親切"
affable--0,"人,易于交談的,和藹的,溫柔的和親切的,例,笑容可掬參,無法表達的,像傳說一樣的"
affections,NotFoundAnyMeanings
afflict--0,"動詞,使痛苦,使苦惱,折磨"
affordable,"負擔得起的,買得起的"
affront--0,"記朝向,前面,臉朝向別人的臉當眾冒犯,有意地,公開地當眾,侮辱,冒犯,例,當眾侮辱某人,這種行為是對社會的蔑視,參,厚顏無恥,使面臨,對抗,公開侮辱,輕蔑,公開侮辱,冒犯,面對"
aggressive,"形容詞,好鬥的,挑釁的,有進取精神的"
agonize--0,"感到極度痛苦,十分煩惱,苦鬥,掙扎,使極度痛苦,折磨"
alimentary,"記,與,小病,一起記,因為沒有營養的食品,人就會得小病區,營養,讀哎喲,小病,與,基本的,初步的,一起記,因為營養是人類生存的基本條件,飲食的,可提供營養的,例,資助金,食物的,營養的"
altruistic,"利他的,无私心的,為他人無私慷慨,有關"
amalgam--0,"記前後兩個結合混合,混合物,汞合金,采礦汞合金,汞齊"
amalgamate,"合並,混合例,那所學校將和另一所學校合並反,分離,隔離,使分解,分派,分配"
amateurish,"記,業余愛好者,愛,表示人有愛好的人業餘愛好者,業余愛好的,不熟練的,參,多情的,傾心的,被迷住的,業余的,非職業的,不熟練的"
amity     ,NotFoundAnyMeanings
amplify--0,"動詞,放大,聲音等,擴大"
anesthetic,"止痛劑,無感覺的,麻木的"
animate--0,"形容詞,有生命的,活潑的,有活力的,動詞,賦予生命,繪製,卡通影片"
animous--0,"名詞,敵意,惡意,法庭判他意圖遺棄,基本態度,主導精神,律意圖"
annexation,"記一個,下一個一個接著一個的吞併吞並是侵略者所為,侵略者的本質就決定了它們的擴張政策,它們從沒有滿足過,比如小日本一個接一個的吞並我國的大部分城市,並吞,把一個地區並入國家或城市,附加,從屬于一個更大或更有意義的事物,例,德國並吞捷克斯洛伐克,根連接使國土連接吞並,合并"
annoy     ,NotFoundAnyMeanings
annul     ,NotFoundAnyMeanings
anodyne--0,"止痛的,安慰的,無刺激力的,平淡乏味的"
antagonism,"敵對,敵對的,相反的,不相容的,使對立,使為敵"
antagonize,"敵對,與,對抗,參,對抗,敵對,類懦弱因為被脅迫憤怒因為被敵對反,安撫,勸解"
antibiotic,"形容詞,抗生的,抗菌的,名詞,抗生素,抗菌素"
anticipate,"預期,期望,過早使用,先人一著,占先,預訂,預見,可以預料"
anticlimax,"記反,高潮反高潮虎頭蛇尾,急轉而下,與先前的上升相比呈出令人失望的下降,虎頭蛇尾,在一系列重要事件後以微不足道或平淡結尾,突降法,突減,虎頭蛇尾"
antic     ,NotFoundAnyMeanings
antiquated,"過時的,舊式的,古老的"
antiseptic,"防腐的,殺菌的,消過毒的,防腐劑,殺菌劑"
antithesis,"相反的事物,反,衍,例,解,兩個互相對立的事物,此字出現在填空表示轉折,要選相反字"
anxious--0,"憂慮的,焦急的,渴望的,急要的"
apocryphal,"原意指聖經的偽經,眾所皆知但不一定為真的事"
apoplectic,"記一首,流行歌曲,讓一首流行歌曲讓人中風,因為中風者一般是老一輩的人們,他們接受新事物的能力較弱,如果天天叫他們聽一些,之類的勁歌,第一反應應是極度憤怒至臉紅,然後頭部血管爆裂導致中風,極度憤怒至臉紅的中風的,由于腦部或其他部位的血管爆裂導致神經功能的突然損害,以至於突然失去行動,感覺,思考的能力,患中風者,中風的,易患中風的"
apostle--0,"信仰或政治運動的宣導者,鼓吹者,先驅,世界和平自由的宣導者"
apostrophe,"記遠離,轉把單詞中的字母轉遠了撇號,撇號,在字母上方的符號,表示省略,表示所有格,表示複數,表示年代,讀作,世紀年代,表示一單詞中的某一音不發,省略符號,呼語"
apothecary,"記,他特別關心一個,裝藥的,罐子藥劑師,遠離,遠離那輛車,因為我是藥劑師,知道汽車尾氣的危害,遠離,神,關心神從來不得病,所以不關心吃藥,不需要藥劑師,藥劑師,製藥並銷售藥材及內服藥的人,類,藥劑師管理藥屠夫管理肉,藥劑師,藥師"
apotheosis,"記,變更,神變更為神神化,一個,小瓶子裝著可以滿足你三個愿望的神神話,神化,尊為神,使宗教地位升高發展的行為,典范,尊崇頌揚的典型,例,他領導人是勇敢的典范,參,神學,無神論,神化,尊為神,神化,頌揚,崇拜,典范"
apparel--0,"衣服,服裝,外觀,衣著,使穿衣,裝飾"
appearance,"出現,顯露,來到,露面,外貌"
appetizing,"開胃的,促進食欲的,美味可口的,促進食欲的"
applause  ,NotFoundAnyMeanings
applicable,"能應用的,可適用的,適當的,合適的"
appreciate,"欣賞,鑒賞,正確評價,鑒別,感謝,感激"
apprentice,"學徒,徒弟,見習生,當學徒,使做學徒"
archaic--0,"古老的,古體的,過時的,類"
archetype ,NotFoundAnyMeanings
ardor     ,NotFoundAnyMeanings
arrestment,NotFoundAnyMeanings
arrhythmic,"記無,非,節奏,形容詞后綴無節奏的,無節奏的,不規則的,缺乏節奏或規則的節奏,類,無節奏的無規則冷漠的無關心,反,規則的,展現規則的,無節奏的"
arrogantly,"傲慢地,自大地"
articulate,"有關節的,發音清晰的,以關節連接,接合,明白地說"
artificial,"人工的,人造的,矯揉造作的,不自然的"
artless--0,"僕實的,沒有狡詐,狡猾或欺詐的,自然的,不矯揉造作的,例,純朴的村姑類暇疵的反面是無暇疵狡詐的反面是朴實偏見的反"
ascetic--0,"禁欲的,尤指為精神上的完善,苦行者,放棄物質享受,過著嚴格自律並隱居生活的人,尤指虔誠的宗教行為"
ascribe--0,"把,歸因,於,把,歸屬,於"
aspersions,"毀謗,中傷"
asphyxiate,"記無,非,搏動脈搏不再跳動窒息,使,窒息而死,例,那些困在礦井中的人因瓦斯中毒窒息死亡,窒息,使窒息"
aspiration,"企圖,抱負"
assessment,"估價,估計,評定,核定"
associated,"聯合的,組合的,關聯的"
assumption,"假定,假設,認為,採取,呈現"
astringent,"止血的,收縮的,有助于收縮有機組織的,收縮劑,止血劑,如明礬,可以收縮機體組織,從而阻止血液或其它分泌物流出體外,類,收縮劑造成收縮火花造成點燃麻醉劑造成麻木"
asymmetric,"記非,無,同,測量測量不同不對稱的,不對稱的,參,對稱,勻稱,類,圓的不是不對稱的變化多端的不是僵化的,不均勻的,不對稱的"
atmosphere,"大氣,空氣,氣氛,大氣層,大氣圈"
atone     ,NotFoundAnyMeanings
attempting,企圖
attracting,吸引
attraction,"吸引,吸引人的事物,吸引力"
attractive,"有吸引力的,引起注意的,引起興趣的,有迷惑力的"
attuned--0,"理解的,通達的,音感好的,耳感靈敏的"
auditorium,"禮堂,會議廳,聽眾"
austere--0,"嚴峻的,嚴厲的,操行上一絲不苟的,簡朴的"
authorized,"經授權的,公認的,經批准的,經認可的"
backhanded,"反手擊的,間接的,拐彎抹角的,反,直接的,反手拍擊的,間接的"
beforehand,"副詞,事先,提前地"
believable,"經引誘,使人相信的,可信的,反,難以置信的,可信的"
belittling,NotFoundAnyMeanings
bellwether,"記原指脖子上掛著鈴的被閹割過的公羊,它是一群羊的首領,鈴當,被閹割過的公羊,首領,對未來趨勢作出指示的人,先兆,對未來趨勢作出指示的事,類,領導者對領導階層顧問對顧問,系鈴的公羊,前導,領導者,群眾的首領"
benefactor,"恩人,捐助者,贈送者,贊助人"
beneficial,"有益的,有利的,有幫助的"
benevolent,"仁慈的,慈善的,他是個仁慈的老人,連一隻蒼蠅都不願傷害"
bequest--0,"記表被動,要求,或讀快死他,死后被要求留下東西遺贈物,遺產,遺贈物,例,他留下一些錢遺贈給他的朋友,類,傳家寶是祖先留下的遺產是立遺矚人留下的,遺產,遺贈"
bewitching,"施魔法的,迷人的,使人著迷的,使銷魂的"
blatant--0,"顯眼的,炫耀的,讓人討厭地惹人注目,喧嘩的,令人不愉快地發出高聲或嘈雜的,例,明顯的謊言,風暴的怒吼"
blemish--0,"損害,玷污,聲譽等,瑕疵,缺點例,一次不良的行為可損害好的名聲類反常不是"
blunder--0,"大錯,大失策,失策,絆倒,犯錯,做錯"
blustering,"狂風大作的,狂暴的"
boastfully,NotFoundAnyMeanings
boisterous,"風,海水,行動,言詞等,狂暴的,洶涌的,人或其行動興高采烈的,喧鬧的,吵吵嚷嚷的根,粗魯的,粗暴的,喧鬧,多喧鬧的,狂暴的參,荒謬的,反,安靜的"
bolster--0,"支持,鼓勵,增強,長枕"
boorish--0,"粗野的例,這個魯頓的客人搞砸了宴會類無禮的缺乏禮貌魯鈍的缺乏敏感"
boundaries,"分,界線,範圍,邊界,復數"
bracket--0,"托架,小括號例,把一個字置于括弧內區,球拍,類扶壁用來支撐牆壁支架用來支撐書架"
bravado--0,"故作勇敢,虛張聲勢,喝采聲作作出來的喝采聲虛張聲勢"
bricklayer,"記,磚,層,把磚用一層水泥壘上磚匠,磚匠,在建造中有砌磚技能的人,磚匠"
brightness,"光亮,明亮,聰明"
brilliance,"卓越的,才華,才智"
bristle--0,"剛毛,豬鬃,毛發等,豎起,發怒,音讀不爽"
