aerie,"鷹巢,高處的房子,高處的城堡"
feast,"宴會,酒席,節會,款待,享樂,請客,參加宴會,享受"
feels,"感覺,觸覺"
feint,"偽裝,假裝,假託,佯攻,裝作,假裝,佯攻,假的,虛飾的"
felon,"記犯了重罪的人頭就會被到地上,在罪惡之上的人重罪犯,重罪犯,參,重罪謀殺,強奸等,重罪人,蛇頭,瘭疽,古凶惡的,邪惡的,殘忍的"
feral,"記的人令人,皮毛,全身都是毛凶猛的,凶猛的,未馴服的,野獸般的,反,耕耘的,有教養的,馴化的,野生的,未馴服的,凶猛的,野獸的"
fetid,"記腳,讀一滴從腳上流出一滴惡臭的水,惡臭的,類,惡臭的氣味刺耳的聲音丑陋的外貌,反,有好味道的,有惡臭的"
fetus,"記原指胎兒,因為胎兒的頭先出來,只有當出來是才是真正的,胎兒在媽媽肚子裡的時候總是用踢,從開始懷孕的第八個星期到出生時期的,胎兒,參,胎兒學,非法墮胎,胎兒"
fiber,"纖維,纖維,構造,纖維製品"
field,"域,使上場,擔任場外隊員,田間的,野生的,領域,田地,場地,戰場,場"
fight,"與,打仗,與,搏鬥,與,鬥爭戰鬥,搏鬥"
filly,"記讀非禮小母馬,小姑娘,小母馬,未滿四歲,活潑可愛且勇敢的小姑娘,類,小母馬是小母馬小母雞是小母雞,小雌馬,通常未滿四歲,俚活潑的小姑娘,俚活潑的"
filth,"記,偷,的東西雖然不值錢,但也不至于去偷撿破爛的都不要的,裝滿,死,人或蟑螂,的麻袋骯臟物,垃圾,骯臟物,垃圾,語言或印刷物,下流,猥褻,參,不潔的,污穢丑惡的,污穢,污物,不潔,猥褻"
final,"最終的,決定性的期終考試,最後一次考試,決賽"
first,"第一,第一個,第一名,優等,開始,開始時間"
fists,拳頭
fixed,"形容詞,固定的,確定的,不變的"
flail,"連枷,一種打谷工具由一個長木棒和安在棒端上稍短的能自由搖動的棍棒組成,用力打擊,鞭打區,脆弱的,中的象朵花中的象根棍子,小病飛起來的小鳥得了小病,因為被,熱情,熱烈,熾熱"
flare,"使闪耀,使张开,用发光信号发出,使外倾,闪耀,闪光,燃烧,突然发怒,加剧,恶化,底部展开,鼻孔张开的意思,闪光,闪耀,耀斑,爆发,照明弹"
flask,"記裡是用來燒,閃光,的東西的,聯想神話故事中有一個神仙可以從海裡漂浮的瓶子中飛出來,然后你在提出三個要求,他可以滿足你,細頸瓶,燒瓶,瓶,長頸瓶,細頸瓶,燒瓶,小水瓶"
fleet,"艦隊,港灣,小河,隊,快速的,敏捷的,淺的,淺,疾馳,飛逝"
fling,"動詞,用力地,扔,擲,名詞,扔,擲,手,腳等的,揮動"
flint,"記,是的縮寫滿世界飛,需要,萬一掉到一個原始森林裡還能生存,用鋼撞擊能發出火星的堅硬的,火石,燧石,源弗林特,美國密歇根州中部城市,盛產,世紀初成為一個汽車製造中心,參,堅硬的,冷酷的,投擲,猛沖,猛投,猛沖,打火石,極硬的東西,燧石"
flirt,"賣弄風騷的人,調情的人,忽然彈出,揮動,調情,玩弄,擺動,輕率地對待"
float,"浮動,飄動,散播,搖擺,動搖,漂流物,浮舟,漂浮,浮萍,彩車"
flock,"動詞,聚集,成群地去,或來,名詞,飛禽,牲畜等的,群,人群,群眾"
flood,"洪水,水災,漲潮,漲水,一大陣,大量,淹沒,湧進,充滿,發大水,泛濫"
flora,"某一特定國家,地區或時間內的,植物群,植物群目錄,源芙羅拉花神植物群,參,動物群,福納斯畜牧農林神,開花期,全盛期,羅神花神"
fluke,"僥幸成功,意外受挫,錨爪,意外的挫折,僥幸,倒霉"
flush,"流溢,面紅,旺盛,發燒,驚飛的鳥,一手同花的五張牌,豐足的,齊平的"
focus,"焦點,焦距,聚焦,注視,使聚焦,調焦,集中焦點"
folds,NotFoundAnyMeanings
force,"力量,武力,勢力,影響力,軍隊,力,效力,強迫,強奪,推動,加壓力,提高"
forms,"形狀,外形"
forte,"特長,擅長,強音,音樂,強音的源原指劍身最強的部分即劍身中部到劍柄的部分"
forth,"副詞,向前,向前方,向外"
forum,"公會所,座談會,公會用的廣場,法庭,討論會"
fosse,"記石頭,像石頭一樣堅固護城河,裡邊有石頭,壕溝,護城河,參,化石,陳腐的,使變成化石,使成化石,使陳腐,壕,坑,城河,地海淵"
found,"動詞,建立,建造,鑄造,熔化,找到,的過去式及過去分詞"
foyer,"記讀爺,爺,為了讓爺爺休息一下門廳,戲院或旅館的,門廳,休息室,休息室,大廳"
frail,"虛弱的,脆弱的,意志,薄弱的,美俚少女,少婦,燈心草簍"
frame,"框架,結構,體格,構成,設計,制定,使適合,陷害,框架,是指在數據鏈路層中,將網絡層數據包加上開始與結尾資訊包組成一個框架"
fraud,"騙子,欺騙,欺詐,詭計"
fresh,"新的,新近的,新鮮的,淡的,清新的,涼爽的,鮮艷的,精神飽滿的"
frond,"記是長在,前面,的,蕨類植物的葉子,棕櫚樹龐大的葉子,類,複葉是厥類植物的葉子針葉是松樹的葉子,厥類的葉是一種葉子大圓石是一種石頭,葉,植物體"
front,"前面,開頭,前線,陣線,外表,態度,面對,朝向,對付,朝向"
fruit,"水果,果實,成果,效果"
fully,"副詞,完全地,徹底地"
funds,"資金,基金,專款,銀行,存款"
funny,"好笑的,有趣的,滑稽的滑稽人物"
furor,"轟動,騷動,狂怒,狂熱參,狂怒,狂暴,源于三個長有翅膀和蛇發的可怕的複仇女神,毛,外外面全是毛野人狂怒,狂暴類興奮是特別富有情緒狂怒是特別惱火反,平靜"
fussy,"過分挑剔的,難以滿足的,嬰孩,難以取悅的,過分裝飾的,過於繁瑣的"
fusty,"發霉味的,腐朽的,反,新鮮的,舊式的,霉臭的,陳腐的,古板的"
gaffe,"社交上令人不快的,笨拙的錯誤,比如不檢點的話或行為,失言,失態,錯誤判斷類詞語誤用是言辭的錯誤社交失禮是社交的錯誤幻覺是喪失感覺錯誤判斷是喪失判斷力"
gaily,"記讀蓋了,帽了,太牛了歡快地,華麗地,歡快地,喜氣洋洋地,華麗地,帶有鮮艷色彩或裝飾物華麗地,參,歡迎的,快樂的,男性同性者,歡樂的精神,氣氛,華麗地,歡樂地"
gains,NotFoundAnyMeanings
games,遊戲
gaudy,"記源于,華麗而俗氣的飾物,讀高的裙子特別高俗麗的,服裝,俗麗的,無品味而庸俗地,炫耀的,參,炫耀的,過分裝飾的,類,俗麗的衣服俘夸的語言,華而不實的"
gavel,"記給,從上到下的一下在空中畫出的曲線,敲小木槌,法官,拍賣人所用的,小木槌,以吸引注意或確認一筆交易,參,做作而慢慢地說,拉的很長,撕裂皮肉,貓的一抓,類,法官用小木槌裁判用哨子,槌"
gawky,"高而笨手笨腳的,又高又笨拙的"
germs,細菌
giddy,"記讀極低極為低級,想象,輕浮而不嚴肅的,輕浮而不嚴肅的,頭暈的,眼花繚亂的,反,嚴重的,嚴肅的,嚴肅認真的,嚴重的,眼花繚亂的,頭暈的,輕率的,使,眼花,使,眩暈"
gifts,禮物
girth,"腰身,周長,肚帶,圍繞,包圍,圍長為"
given,"形容詞,規定的,假設的,作為前提的,介系詞,如果有,假如,考慮到"
giver,"给予者,赠与者,捐助机构"
gives,"给予,赠送,的第三人称单数,与名词连用描述某一动作,意义与该名词相应的动词相同,供给,交给"
glade,"記源于,高興的,樂意的,在林中迷路了,發現就會,古羅馬公開表演的格斗者,在中決斗,林中的空地,區,刀片,類,空地被森林包圍綠洲被沙漠包圍群島被海洋包圍,林間空地,一片表面有草的沼澤低地"
gland,"解剖腺,機械密封管"
glare,"閃耀光,刺眼,發眩光,瞪視,瞪眼表示"
glass,"玻璃,玻璃器皿,玻璃杯,鏡子,透鏡,眼鏡,望遠鏡"
glaze,"釉,燒製陶器前附在陶器表面上的一層著色的或透明的材料,光滑表面,裝玻璃于,上釉,使光滑,形成薄膜類在瓷器上上釉在木頭上上清漆在家具上上飾面反,弄皺,為本黨利益改划選舉區分,不公正操縱,欺騙,改變選舉區,欺騙"
glide,"滑動,滑過,流水,滑動,滑翔,溜走,使滑動"
gloat,"幸災樂禍地看,表達極為強烈的,通常是帶有惡意的愉悅或自我滿足,幸災樂禍區,漂浮,類,打扮表示虛榮幸災樂禍表示沾沾自喜"
gloom,"憂沈,幽暗,變憂沈,變黑暗,使黑暗,使憂鬱"
glory,"光榮,榮譽,壯麗,輝煌自豪,得意,狂喜"
goals,目標
going,"形容詞,進行中的,營業中的,現行的,名詞,去,離去,進展"
goods,"名詞,商品,貨物,利益,好處,優點,的複數"
gorge,"咽喉,胃,暴食,山峽,峽谷,障礙物,狼吞虎咽,塞飽"
gouge,"半圆凿,用利器或手从物体表面,挖出,骗钱,敲竹杠"
grace,"優雅,風度,慈悲,恩惠,體面,赦免,恩典,感恩禱告,使優美"
graft,"記讀格拉夫,前網壇女王,嫁接給了阿加西,她爸曾逃稅,嫁接,將嫩枝或芽體與一個生長的植物通過緊密接合的方法聯結成一體,移植,用外科手術移植活組織到軀體的一部分來替換損傷的部分或修補缺陷,貪污,受賄,反,切斷,除去,剪除,嫁接,嫁接,接技用的,嫩枝,皮膚等的,移植,贖職,嫁接,接技,移植,皮膚等,贖職"
grain,"穀物,糧食,顆,粒,些微,一點兒,紋理,脾氣,特性"
grand,NotFoundAnyMeanings
grant,"給予,提供,許可,答應,承認,姑且承認,假定補助金,資助"
grasp,"把握,抓緊,抓,柄,控制,理解,抓住,緊握,領會,抓"
grass,"草,青草,牧草,草地,禾本科植物"
grate,"動詞,裝爐柵於,裝格柵於,名詞,爐柵,爐格,壁爐"
grave,"墓穴,墳墓,雕刻工,抑音,莊重的,嚴肅的,重大的,低沈的,雕刻"
graze,"吃草,放牧,擦傷,輕擦,使,吃草,放牧,輕擦,擦傷"
great,"大的,非常的,主要的,重大的,崇高的,大寫的,強烈的,偉大的,順利地"
greed,"貪心,貪吃"
green,"綠的,青的,未熟的,嫩的,新鮮的,新近的,無經驗的,幼稚的綠色,蔬菜"
grief,"由于失去親人等而導致的精神上的極度,憂傷,悲傷參,委屈,冤情,不平,類譴責表示不贊成哀悼表示悲哀,減弱聲音使聲音降低撫慰使悲傷減少歡樂歌表達歡樂贊美詩表達贊美挽歌表達悲哀"
grill,"動詞,用烤架,烤,魚,肉等,拷問,名詞,烤架,燒烤的肉類食物"
grind,"磨,碾,苦差,書呆子,磨擦,磨碎,磨光,折磨,壓榨,灌輸,磨,磨碎,苦幹"
groan,"呻吟,嘆息,呻吟,受折磨,受壓迫發出嘎吱聲,呻吟著說"
groom,"馬夫,新郎,男仆,喂馬,整飾,推薦,修飾"
grope,"動詞,觸摸,暗中摸,探索,名詞,觸摸,探索"
group,"小組,團體,群體,一夥人,聚集,成群結隊,歸類,新聞組,即"
grove,"記,只長五棵樹小樹林,缺乏茂密下層樹叢的,小樹林,果樹林,參,唱片等的凹槽,聯想中間的個,奴顏婢膝,一起記,類,小樹林由樹木組成群島由島嶼組成,小樹林"
guard,"守衛者,警戒,護衛隊,防護裝置,保衛,看守,當心,防止,警惕,警衛"
guess,"推測,以為,想猜測,推測,猜測"
guide,"輔助線引導者,指南,路標,指導,支配,管理,帶領,操縱,任向導"
guile,"狡詐,狡猾,奸詐"
guilt,"罪行,內疚,罪惡感"
guise,"尤指為了欺騙而裝出的外表,表現形式,偽裝,以毒販身份到來的人實際上是臥底員警"
gully,"長期的大雨沖擊地面之后形成的深的,溝壑或溝渠,類,侵蝕形成峽谷摩擦形成老繭,沖溝,溪谷,集水溝,雨水口,檐槽,在,上開溝,或槽,水流沖成,溝渠"
habit,"習慣,我出於習慣總是買同一個牌子的牙膏"
hairs,頭髮
hands,"手,複數"
happy,"快樂的,幸福的,愉快的,恰當的"
hardy,"難的,艱苦的,堅硬的,勇敢的,努力地,辛苦地,堅硬地"
harry,"不斷煩擾,騷擾,反覆地襲擊,搶奪"
harsh,"粗糙的,荒蕪的,苛刻的,刺耳的,刺目的"
hasty,"匆匆的,輕率的,急忙的"
hatch,"孵化,艙口,孵,孵出,策劃,孵化"
hated,"討厭,過去式"
hater,懷恨者
hates,NotFoundAnyMeanings
haven,"港口,避難所,安息所,安置,於港中,庇護,入港"
havoc,"混亂無序,大破壞,浩劫反,平靜"
heart,"心,心臟,中心,內心,感情,精神,心情,寶貝兒,把,放在中心"
heavy,"重的,巨大的,沈重的,笨重的,陰沈的,沈重地重物,嚴肅角色"
heory,NotFoundAnyMeanings
hides,獸皮
high-,"高,高度,高處,高的,高級的,主要的,高尚的,高原的,高音的,昂貴的,傲慢的"
hinge,"鉸鏈,用于連接或轉動的裝置,關鍵,轉折點,發展過程所依賴的某種事物,鼓勵,激勵,振奮"
hired,"雇用,租用,雇用,租用"
hoard,"為準備將來使用而,貯藏,秘藏,區,灰白的,類,潛伏是偷偷等待隱藏是偷偷儲存,吝嗇鬼儲藏花花公子打扮馬屁精奉承批評家評價,反,浪費"
hoary,"記人一旦,就會,因年老而頭發,灰白的,古老的,因年老而引起尊敬或崇拜的,類,古老的是特別老的歡鬧的是特別有趣的,灰白的,因年邁而頭發灰白的,古代的,久遠的"
hoist,"憑機械裝置,吊高,升起,起重機類墊子起到支撐作用升降索起到拉升作用,門,蓋等的鉸鏈,樞紐,關鍵,裝鉸鏈,裝以絞鏈,依,而轉移"
holds,NotFoundAnyMeanings
honor,"榮譽,頭銜,信用,尊敬,名譽,閣下,勛章,尊敬,授予榮譽,承兌,實踐"
hotly,"副,詞,激烈地,熱心地,熱情地,憤怒地"
hovel,"簡陋而不適于居住的,小屋,雜物間,家畜小屋,記讀好味兒又臭又臟的小屋,簡陋而不適于居住的,小屋,類,富麗堂皇的對簡陋小屋鄉村的對城市"
hover,"徘徊,猶豫,盤旋,飛翔,徘徊,飛翔"
human,"人,人類,人類的,人性的,有同情心的"
humid,"潮濕的,濕潤的,多濕氣的"
humor,"幽默,詼諧,心情,迎合,牽就,順應"
husky,"記,水果或種子的無價值,外殼或莢,粗糙的,聲音沙啞的,有殼的,參,谷物種子的外殼橘子的外皮,反,精密的,外殼,果核,谷的,像谷的,聲音,沙啞的,嘶啞的"
ideal,"理想,觀念,思想,最後目標,理想的,完美的,空想的,觀念的,唯心論的"
ideas,"主意,打算,計畫"
idiom,"慣用語,成語,個體的,獨特的"
idyll,"記,重新組合成,和,地都,了,因為大家都在過著無憂無慮的田園生活,整天不干活,地都病了,田園生活,自由自在的生活,田園詩,描寫農村或畜牧風光的短詩或散文,使用理想化的語言,類,田園生活是無憂無慮的磨難是困難的,反,充滿緊張的經歷,田園詩,牧歌"
image,"圖象,形象,翻版,作,的像,反映,想象,象徵圖象,影像,肖像,想像"
imply,"含有,的意思,暗指,暗示,意指"
inane,"無意義的,無內容的,空洞的參,無意義,空虛,愚蠢,類迷住的就是吸引的輕率的就是喜歡冒險的反,意味深長的,有意義的,懷孕的,實體的"
inner,"內部的,思想的,精神的內部,裏面"
inter,"在,之間,之中,在,中間"
irate,勃然大怒的類感情奔放和感情奔放的憤怒和憤怒的
irony,"名詞,反語,諷刺,出乎意料的結果"
issue,"流出,放出,發行,問題,使流出,放出,發行,發布,發給,配給,出"
items,"名目,項目,款項"
ivory,"象牙,乳白色,象牙制的,乳白色的"
jaded,"工作,過度勞累的,因過飽或過多,厭膩的類過分暴露導致厭倦的接種疫苗導致免疫反,鋒利的,敏捷的"
jaunt,"遠足,徒步旅遊,遠足,徒步旅遊"
jelly,"果凍,果凍甜食,膠狀物,使,結凍,使,成膠狀"
jerky,"動作急促的,不平穩的,顛簸的,愚蠢的"
jesus,耶穌基督
joint,"接合,關節,連接的,接合的,聯合的,共同的,合辦的,連接,結合,切斷"
jokes,"玩笑,戲謔"
jolly,"愉快的,高興的,宜人的,恭維,使高興,戲弄,開玩笑,非常,極為"
judge,"法官,審判官,推事,審理,鑒定,判斷,判決,裁定,下判斷,作評價"
kinds,種類
knack,"熟練技術,巧妙的手法,訣竅"
knave,"記,不,天真的,不天真的人,流氓,流氓,狡猾的人,類,賢人會判斷狡猾的人會行騙,流氓"
knead,"揉,面等,成團,捏製,面包,陶器等,按摩類可鍛的可以捏製可滲透的可以穿透"
knell,"喪鐘聲,哀傷的聲音,凶兆,鳴喪鐘"
knife,"小刀,匕首,用刀切割,傷害,切,戳,劈開,穿過"
known,"已知的,有名的,的過去分詞"
knows,"知道,了解,懂得"
kudos,"名望,聲譽,記苦,作,苦苦的做事是為了名望和聲譽,作出很的系統贏得榮譽"
laity,"別於神職人員的俗人,普通信徒,門外漢,外行人"
lance,"記讀爛撕,用長矛把魚撕爛,魚叉,長矛,一種投擲武器,魚叉,標槍,長矛,矛狀器具,捕鯨槍,切開"
lapse,"名詞,小錯,記錯,走神,行為失檢,對,的違反,墮入罪孽,一時的失足,時間間隔,半年的間隔,期滿終止,不及物動詞,背棄,降低,背離,衰退,消失,陷入,染上惡習,說起方言"
large,"大的,大量的,寬大的,廣博的,大大地,誇大地大"
larva,"記,一詞指昆虫在變形前剛孵化出來的幼虫,來源于拉丁詞,意為,邪惡的精靈,鬼怪,惡魔,這個拉丁詞語還用于指一種令人恐懼的面具,后來,在形容昆虫成熟之前被隱藏或遮蓋的這一段時期的時候,成為一個適合的名稱,讀拉味兒,昆虫拉出來的有味道的東西,幼虫,昆虫的,幼虫,沒有翅膀,象蛆般的形狀,幼虫"
lasso,"記讀拉鎖,用來套住牛馬,套索,捕捉牛,馬用,套捕牛,馬等用的,套索,以套索捕,拉攏,籠絡"
later,"以後的,更後的,較晚的,過後,後來"
lathe,"記讀累死讓你累死得工作,車床,車床,通過壓緊一種固定的切割或打磨工具並迅速沿軸線轉動的辦法來塑造一件木頭或金屬的機器,用車床加工,類,車床用來成型夾子用來夾緊,車床,紡走梭板,用車床加工"
laugh,"笑,發笑,呈現歡欣景象,以笑表示,笑得使,笑,笑聲"
layer,"層,階層,鋪設者,敷設機,瞄準手,生蛋的雞,通過將通信工作分成不同層次,使各種機器不同的傳輸媒介能夠綜合在同一個網絡上,彼此能夠互相溝通"
leads,線索
lease,"租約,契約,租賃契約,租借,租用"
leave,"離開,脫離,留下,剩下,忘帶,聽任,讓,交付,委託,使,處於,離去,動身"
leery,"留神的,猜疑的,机敏的,机警的"
legal,"法律的,合法的,法定的,正當的"
levee,"記,是,升起,的詞根,防止河流泛濫而建造的,防洪堤,堤岸,參,杠杆,控製杆,抬起,杠杆作用,使輕輕浮起,類,堡壘防止入侵河堤防止洪水警戒線阻擋人群填塞物防止損傷,防洪堤,碼頭,大堤,筑防洪堤于"
level,"級別,水平的,公平的,變平,夷平,弄平,平地,水平,標準,高度,級,等級"
lever,"動詞,用槓桿,撬起,用控制桿操縱,名詞,槓桿,控制桿,手段"
libel,"文字诽谤,诋毁,中伤,诽谤罪,对,进行诽谤,发表文字诽谤"
light,"光,光線,光明,光亮,燈,燈塔,眼光,見解,輕的,輕淡的,輕松的,輕便的"
liken,"把,比作,例,人生常被喻為一場夢,類,有相似性才可以相比有差別才可以區分,把,比作"
limit,"界限,邊界,限度,極限,限制,限制,限定,減少"
linen,"亞麻布,亞麻線,亞麻製品,亞麻布制的,亞麻的"
lines,隊伍
lithe,"指人,身體,柔軟的,敏捷的區,愉快的,高興的,類柔軟的柔軟的反,難使用的,笨拙的,無彈性的"
lives,"生命,的复数,生物,活物,生活,的名词复数,生命,一生,生活方"
livid,"記由于太,活潑的,所以,由于瘀傷而,青灰色的,臉色,蒼白的,鉛色的,被打得青紫色的"
loath,"不情願的,不樂意的,勉強的,厭惡的,不喜歡的"
lobby,"大廳,休息室,遊說議員者,遊說議員,經常出入休息室,遊說"
local,"局部,地方性的,當地的,局部的,鄉土的當地居民,本地新聞本地的"
lofty,"高的,高超的,傲慢的,崇高的,高級的,玄虛的"
logic,"邏輯,邏輯學,邏輯性,條理性,推理,必然的聯系"
loose,"解放,放任,放縱,寬松的,不精確的,不牢固的,散漫的,自由的,釋放,放槍,開船,變松,開火,松散地"
loves,愛
lower,"較低的,地位較低的,低等的,低年級的,下游的,放下,降下,放低,減低"
loyal,"忠贞的,忠诚的,忠心的"
lucky,"幸運的,僥幸的,碰巧的,吉祥的"
lumen,"記音譯詞,作為詞根是光的意思,流明,光通量單位等于一燭光的均勻點光源在單位主體角內發出的光通量,參,發光的,類,分貝是聲音的單位流明是光的單位伏特是電的單位瓦特是功率,的單位,流明光通量單位,解內腔"
lunar,"陰歷的,月的,微亮的,指光"
lurch,"突然傾斜,挫折,舉步蹣跚,徘徊,困境,慘敗,傾斜,徘徊,擊敗"
lying,"躺,臥,的現在分詞,其過去式為"
lyric,"形容詞,抒情的,適於歌唱的,名詞,抒情作品,歌詞"
magic,"神奇的,魔術的,魔術般的,不可思議的魔術,巫術,戲法,魅力"
maize,"玉米,印第安人,音樂性,爆玉米花"
major,"較大的,較重要的,主要的,主修的專業,專業學生,陸軍少校,主修,專攻"
mangy,"獸,疥癬的,污穢的"
maple,"楓樹,楓樹是加拿大的國樹"
marks,"記號,標記"
marry,"娶,嫁,和,結婚,使成婚,結婚,結合"
marsh,"沼澤,青草覆蓋的濕軟的低地,常形成水區和陸區之間的過渡地帶,類沼澤是濕的沙漠是干燥的反,干旱的,沼澤般的"
mason,"泥瓦匠,共濟會會員,用磚瓦砌成"
mauve,"淡紫色染料的一種,淡紫色,淡紫色的"
maven,"美口專家,內行"
maxim,"格言,基本原理,行為準則"
means,"手段,方法,工具,財產,資力,收入"
medal,"獎章,勛章,紀念章,授予,獎章"
melon,"瓜,甜瓜,紅利,贓物"
merge,"合併,漸漸消失,合併,使合併,使消失,吞沒"
merit,"優點,功績,價值,功過,真相,值得,應受"
merry,"愉快的,興高采烈的,歡樂的"
metal,"金屬,金屬製品,合金,本質,質料,金屬制的,以金屬覆蓋"
might,"可能,的過去式,助動詞,的過去式,名詞,力量,威力"
mimic,"模仿的,假裝的,擬態的效顰者,模仿者,小丑,仿製品,模仿,摹擬"
mince,NotFoundAnyMeanings
minor,"形容詞,較小的,較次要的,動詞,副修,兼修,名詞,未成年者,副科"
mired,"微度,邁爾德"
misty,"霧的,有霧的,霧氣覆蓋的"
mixed,"混合的,形形色色的,弄糊塗的混合的"
model,"模型,模範,模特兒,模範的,作模型用的,做模型,做模特兒,使模仿"
mogul,"蒙古人,顯要人物,蒸汽機車"
molar,"磨碎的,臼齿的,物质量上的,化摩尔的,臼齿,磨牙"
moldy,"發霉的,陳腐的,乏味的"
money,"貨幣,錢,金錢,財富,財產,特種貨幣,金額"
monks,僧侶
moods,情緒
moral,"道德,品行,寓意,道德的,品性端正的,良心的"
mores,"風俗,習慣,行為方式"
motif,"文藝作品等的,主題,中心思想,基本模式基本圖桇,基本色彩"
motto,"座右銘,格言,題詞,箋言"
mourn,"對死者感到,憂傷,哀悼"
moved,令人感動的
moves,移動
muddy,"泥濘的,汙的,骯臟的,使汙濁,使沾上泥汙"
mural,"壁的,壁上的,壁似的壁畫"
music,"音樂,樂曲,樂譜"
muted,"声音减弱的,变得轻柔的,尤指感情的表达缓和的,温和的"
nadir,"最低點,天底,天球上,在觀測者垂直向下的一點,反,最高點,最高點,頂點,頂點"
naive,"天真幼稚的,缺乏俗氣的,不敏感的,沒有經驗的,易輕信的,類易變的沒有恆定純真的沒有世故狡猾的缺乏天真的遲緩的缺乏迅速的反,世間的"
named,名叫過去式
natty,"記,干淨,整潔漂亮的,反,濺污的,懶散的,不修邊幅的,整潔的"
naïve,"天真的,輕信的,愚直的"
needs,"必需,一定,務必"
needy,"貧窮的,貧困的,生活艱苦的"
nerve,"神經,神經過敏,神經緊張,膽量,勇氣,自信心"
never,"永不,從來沒有,不,沒有"
newly,"副詞,新近,最近,重新"
nexus,"連結,核心,最重要的地帶"
night,"夜,夜晚,晚上,黑暗,死亡"
noble,"貴族,高貴的,高尚的,貴族的,輝煌的"
noise,"噪音,雜訊,響聲,喧鬧,謠傳,喧鬧"
noisy,"嘈雜的,形容詞"
nomad,"遊牧部落中的一員,索馬利沙漠裡的遊牧部落"
notes,"筆記,注意"
nudge,"用肘推以引起注意,說服某人做某事"
oasis,"繁忙,逆境中的,宜人之處"
obese,"肥胖的,臃肿的"
occur,"發生,出現,存在,被發現,被想起,被想到,浮現"
odium,"憎惡,反感,反,渴望,愚蠢,沉迷,尊敬,尊重,憎惡,討厭"
odors,的名詞複數
offer,"出價,提議,意圖,報價,提供,出價,奉獻,企圖,使出現,演出,出現,獻祭"
often,"經常,常常,往往"
older,年長的
one's,其中之一個
one’s,NotFoundAnyMeanings
onset,"攻擊,進攻,起始,開始"
opera,"名,歌劇,工作名詞表演工作"
opine,"記源于,意見,認為,發表,意見,參,固執己見的,類,占卜家預測博學者發表重犯複發,想,以為"
order,"順序,階數次序,規則,命令,命令,定貨,整理,命令,定購"
ormed,NotFoundAnyMeanings
other,"別的,其他的,其他的,另外的,別人,其他人,其餘的人或物"
ought,"助動詞,應當,應該"
outer,"形容詞,外面的,外表的"
overf,NotFoundAnyMeanings
overt,"公開的,非秘密的,不被掩藏,遮蓋的,參,趕上,類秘密的事是秘密地公開的事是公開地反,有陰影的"
owing,"未付的,虧欠的,歸因於,的"
owned,擁有
ozone,"新鮮的空氣,臭氧"
paean,"贊美歌,頌歌,記原指古代希臘感恩節對太陽神祈禱的一種贊美詩源於,和平,後,對歸來的英雄唱"
pagan,"沒有宗教信仰的人,異教徒,指不信猶太教,基督教,伊斯蘭教惡人"
painf,NotFoundAnyMeanings
palmy,"記,手掌,引申為手掌一般的棕櫚葉,繁茂的,繁榮的,類,繁榮的和繁榮嚴峻的和嚴峻,多棕櫚的,繁榮的,棕櫚狀的"
panel,"嵌板,儀表板,座談小組,全體陪審員,嵌鑲板"
panic,"恐慌,驚惶,驚慌的,沒有理由的,恐慌的,使驚慌,使狂熱,驚慌"
parch,"炒,烤,烘,使幹透,烤幹,焦幹"
parka,"防水,防風,有帽子的,大衣"
parry,"記,怕,容易害怕所以躲避,避開,武器,問題等,類,逃避責任逃避問題,躲避"
parse,"記讀怕死,語法分析需要背的東西太多,怕死了,對,作語法分析,把句子分解成各個組成詞類,並從形式,功能和各部分的句法關系上加以說明,類,是對韻律的分析,是對語法的分析,解剖分析物種語法分析句子,解析,分列"
parts,"名,詞,片段,部分,零件,的複數"
party,"黨派,政黨,集會,聚會,經過,穿過,超過,及格,合格,傳遞穿過,經過"
patch,"補丁,補片,補塊,小塊土地,碎片,碎屑,補,修補"
peace,"和平,和約,和睦,治安,秩序,平靜,安詳,寧靜"
pecan,"美洲薄殼胡桃,樹"
pedal,"踏板,腳的,踏腳的,用腳踏動,踩踏板"
peeve,"使,氣惱或惱怒類過分傷感的是過分多愁善感的使怒是過分使苦惱死板的是特別保守的氣惱的是特別苦惱的易傷感的是特別多愁善感的屈尊俯就的是特,解釋,解釋"
peril,"動詞,使有危險,危及,名詞,嚴重的,危險,危險的事物"
perky,"記,所有,有了所有開,題庫的鑰匙,洋洋得意的,神氣活潑的,洋洋得意的,自信的,得意洋洋的"
petal,"昆蟲落腳處,花瓣"
petty,"小的,不重要的,小規模的,小型的,細微的,小器的,卑鄙的"
phase,"階段,狀態,方面,相位,周相,逐步採用,分階段引進"
piano,"音樂,輕柔的"
piece,"碎片,斷片,部分,一張,一片,一塊,一支,一件,一條,一首,拼湊,聯接"
pilot,"飛行員,領航員,航船者,響導,領導人,領航,駕駛,引導,引導的,控制的"
pinch,"捏,撮,收縮,壓力,匱乏,緊急關頭,掐,夾痛,修剪,使困苦,使萎縮"
pique,"使,自尊受損而,生氣反,平息,撫慰,古刑具頸手枷,示眾,上頸手枷,使惹人嘲笑"
pitch,"程度,坡度,前傾,傾斜,投擲,音高,樹脂,瀝青,投,擲,向前傾跌,紮營"
place,"放置,使,處於某位置,任命,地方,地點,名,地位,職位,住所,寓所"
plait,"記讀,有禮貌的,因為編了辮子,如果披頭散發,何成體統,發辮,編,成辮,類,用紗線編織用頭發編辮,辮子,把,打成辮"
