betrayal,"背叛,告密,泄密,出賣,辜負,暴露"
filigree,"記絲,顆粒絲和顆粒組成的工藝品金銀絲工藝品,非禮,女王,因為她穿著一件金銀絲工藝品,露的太多了,忍不住了,回憶,細絲,燈絲,金銀絲工藝品,用金銀細絲作的精致複雜的裝飾品,類,細絲工藝品用金屬細製成花邊用線製成,金銀絲細工,易損之物,飾有金銀絲細工的"
fineness,"優良,精致,細微,敏銳"
firmness,"堅定,堅實,稳固"
flagging,"鋪砌石板,鋪石材料,石板路,下垂的,衰弱的,委頓的"
flagrant,"惡名昭彰的,源,大火熊熊燒起連很遠的地方都能看到,就像做壞事眾人皆知,解,當動詞時是,衰退,的意思"
flair--0,"銳利的眼力,第六感,才能"
flatters,"阿諛的,奉承的"
flattery,"諂媚,阿諛,巴結,奉承,捧場話,恭維話,諂媚的舉動"
flexible,"海盜,盜印者,侵犯專利權者,盜印,掠奪,翻印,做海盜"
floating,"不固定的,流動的,浮動的"
flounder,"掙紮,躊躇,笨拙而錯亂地說或做,錯亂的行動,比目魚,鰈"
flourish,"繁榮,茂盛,活躍,手舞足蹈,揮舞,誇耀茂盛,興旺,華飾"
flout--0,"輕視,嘲笑,愚弄,表示輕蔑,侮辱,嘲笑,愚弄,輕視"
fluid--0,"流體,液體,流動的,流體的,不固定的,易變的,流利的,流暢的"
fluky--0,"僥倖的,偶然的"
folklore,"民間傳說,民俗,廣為流傳的故事或看法"
followed,"在,之後"
follower,"名詞,追隨者,信徒"
folly--0,"愚蠢,荒唐事,輕松歌舞劇,諷刺劇,傻念頭,傻話,耗費巨大而又無益的事,古放蕩"
forceful,"強而有力,有說服力,有影響力"
forebear,"記,以前的,在前面,前部,在前,熊,忍受,從前的熊祖先,祖宗,祖先,反,子孫后代,祖先,祖宗"
forecast,"趨勢預測預想,預測,預報,預想,預測,預報"
forestry,"森林學,研究耕種,養護和發展森林,森林地帶,類,森林學研究樹木園藝學研究花,林產,森林地,林學"
foreword,"前言,序言,非作者所寫的書的序言或介紹性部分,類,前言介紹性的命名任命,因為是機經,所以對應不好,前言,序"
forge--0,"熔爐,鐵工廠,打制,鍛煉,偽造,鍛造,偽造"
forgo--0,"放棄,摒絕令人愉悅之物"
formally,"正式地,正規地拘泤形式地,形式上"
formerly,"先前地,之前地"
forswear,"記,發誓,發誓拋棄,發誓堅決拋棄,否認,作偽証,參,公開發誓放棄,幸運"
fortress,"城堡,要塞,築要塞,以要塞防守"
fraction,"名詞,小部分,片段,碎片"
fracture,"破裂,骨折,使,破碎,使,破裂"
fragrant,"芬香的,馥鬱的,愉快的"
frenetic,"記記憶,心靈,參,狂亂的,瘋狂的,狂亂的,發狂的,非常興奮或激動,參,精神錯亂的,狂熱的,是的變體,類,十分有文化的是博學的十分不安的是狂亂的,發狂的,狂熱的,發狂者"
frequent,"時常發生的,頻繁的,快速的,時常來訪,常常聚集,常與,交往"
friction,"摩擦,摩擦力,不和,沖突"
friendly,"友好的,親切的,互助的,友善地,溫和地"
frighten,"使驚恐,嚇唬,驚恐,害怕"
fruitful,"形容詞,富有成效的,肥沃的,多產的"
fruition,"結果,成就,實現,完成"
fumigate,"為滅虫或消毒殺菌而,熏煙,熏制,使發香"
function,"功能,函數,活動,運行,行使職責功能,函數"
fungi--0,"真菌類,的複數,參,殺真菌劑,類生態學家研究菌類心理學家研究動機"
gardenia,"記,花園,梔子花,有光澤的常青葉和白色的芳香大花,植梔子,梔子花"
gargoyle,"記源于,漱口,讀高歌呦,聯想屋檐頂上的怪獸昂首高歌的樣子,沒事去故宮看看,雕刻成怪獸狀的一般在屋頂上的,滴水嘴,面貌古怪的人,有古怪的或可笑的外表的人,建怪獸狀滴水嘴,突出的,怪獸飾"
gauge--0,"標準尺寸,標準規格,測量"
generate,"發生,產生,生殖,生育,引起,導致"
generous,"有雅量的,量大的,大量的,豐富的,慷慨的"
genetics,"基因學,遺傳學"
genre--0,"文藝作品之類型,風格"
genus--0,"動植物的,屬類,種,型"
germance,適當的
gestures,"姿勢,手勢"
gingerly,"小心翼翼地,謹慎的,極為小心地,慎重地,慎重的,謹慎的"
glaciers,冰河
gladness,"歡樂,歡喜,喜悅"
glean--0,"撿落穗,撿收割者落在田裡的谷物,點點滴滴地,收集參,拾穗的人,拾得的落穗,搜集到的情報或新聞,裝玻璃,上釉,使表面光滑,釉料,釉面,光滑面,上釉,上光"
globally,"世界上,全世界"
gloss--0,"記源于,發光,發熱,光澤使文章變得光澤注解,源于,玻璃,光澤使文章變得光澤注解,注解,關於較難的,技術性的表達詞句,一般插在備注欄,課文或稿件的行間,光澤,掩蓋,假象,虛飾,表面或虛假的吸引人的形象,區,總的,總額,使全神貫注,獨占,類,光澤的表面,光彩,欺人的表面,假象,注釋,使有光彩,掩飾,上光于,注釋,曲解,發光,作注釋"
glossary,"記,注釋,術語表,對在你的腦中丟失的詞匯進行解釋難詞表,難詞表,術語表,具有解釋,置于書后面部分,參,舌的,注釋寫作,類,教科書后附難字表地圖后附圖例,朮語表"
goodwill,"善意,親切,友好關系,商業企業與顧客之間的或國家與國家間的友好關系,反,深仇,怨恨,壞脾氣,善意,親切"
gourmand,"貪吃者,美食家"
governed,統治
graceful,"形容詞,優美的,雅緻的"
gracious,"親切的,和藹的,殷勤的"
grade--0,"等級,年級,成績,程度,坡度,斜坡,分等,分級,評分,屬於某等級"
grafting,"移植,移植術,室內嫁接"
grandeur,"壯,華,麗,莊嚴,雄偉,壯觀"
graphite,"記根寫用鉛筆用石墨,圖表,曲線圖,用鉛筆用石墨,石墨,碳的同素異構體,用于鉛筆,滑潤劑,顏料和涂層,石墨"
grasping,"記,抓住,領會,貪心的,貪財的,過分渴求物質的,抓的,貪婪的,握的"
grateful,"感謝的,感激的,受歡迎的"
gratuity,"名,退休時的,慰勞金,高興物品,名詞讓勞資雙方好聚好散的物品"
greatest,"最好的,最偉大的"
greedily,"貪心地,貪婪地"
greeting,"問候,迎接,招呼,賀詞,問候語"
grievous,"痛苦的,嚴重的,充滿悲傷的"
grinding,"磨的,磨擦的,碾的"
gripe--0,"緊握,柄,把手,苦惱,控制,抓緊,抱住,使苦惱,激怒,使腸痛,腸痛,抱怨"
gripping,"引人入勝的,扣人心弦的,激動人心的,我覺得這本書太吸引人了,一看就難以釋手"
gross--0,"總數,總量,總共的,未打折扣的,重大的,粗野的,總共賺得"
grounded,"有理由的,有基礎的,根深蒂固的,在地面上地,反,不穩定的,不確定的,在高處地,在空中地,計,接,好,地的"
grueling,"使精疲力盡的,對生理或心理上的要求達到極限的,參,因害怕或寒冷發抖,戰栗,反,不費"
gruesome,"記,因害怕或寒冷發抖,戰栗,鬼,規則,一些有一天你回家發現,有個鬼在你們家上夜班,製定打麻將的規則毛骨悚然的,令人吃驚的,可憎的,毛骨悚然的,惡心的,可怕的,可憎的,令人厭惡的"
guerilla,"遊擊隊,非正規軍隊"
gullible,"易受騙的參,易受騙,輕信,類愛國過分為盲目愛國的接受過分為輕信的服從過分是奴性的信任過分易受騙的懦夫的特點是懦弱易受騙者的特點是輕信的"
habitual,"習慣的,慣常的,平常的"
hallowed,"神聖化的,神聖的"
handling,"處理,操作,搬運"
happened,"發生,的過去式"
hardened,"久經鍛鍊的,老練的"
hardship,"受苦,吃苦,苦難,困苦"
harmless,"形容詞,無害的,無惡意的,損傷,傷害,危害,的衍生的形容詞"
harridan,"記原指難騎的老馬,后引申為老巫婆,蛋再不就被老巫婆變成蛋了,刻薄惡毒的老婦人,老巫婆,形容枯槁,或脾氣暴躁,的老婦人,名聲不好的老潑婦"
haunt--0,"常到的地方,生息地,常到,出沒於,縈繞於,出沒,作祟"
headlong,"記頭,長是因為輕率魯莽的,地,頭沖前的,地,輕率魯莽的,地,飛快迅猛的,地,反,深思熟慮的,頭向前地,輕率地"
heartily,"衷心地,熱心地,痛快地"
hedge--0,"樹籬,障礙,套頭交易,用樹籬圍,妨礙,兩面下注以免,的風險,築樹籬"
hedonism,"快樂論,快樂主義"
hegemony,"記,一,二戰中的取得了對若干國家的統治權,他有了錢才能有統治權,霸權,統治權,對于他國的支配權力,反,缺乏權威,霸權"
heirloom,"記,繼承人,女性繼承人,傳家寶,家庭內部代代相傳的有價值之物,類,祖先留下傳家寶立遺囑之人留下遺產,傳家寶,相傳動產"
hemostat,"記血,站止血劑,止血鉗,化學止血劑,止血鉗,手術中用于壓迫血管減少或阻止流血,止血鉗子,止血劑"
hermetic,"密封的,與秘術相關,神秘的"
hesitant,"形,遲疑的,黏,性質的,形容詞,他,坐,螞蟻,要他坐在螞蟻堆上"
hesitate,"猶豫,遲疑,躊躇,支吾"
highbrow,"記高,額,眉毛,眉毛翹得高自以為是有高深學問或文化素養的人,自以為是,有高深學問或文化素養的人,參,學識平凡的人,教養淺薄的人,美口自以為有高度文化修養的人,知識分子,賣弄知識的人,自炫博學的,知識分子的,不切實際的"
hitch--0,"猛拉,急止,蹣跚,故障,猛拉,系住,蹣跚,被鉤住"
holdings,持有
homesick,"想家的,害思鄉病的"
hoodwink,"記原指用,帽兜,蒙住眼睛,眨眼,欺騙,帽兜,眨眼眨眼之間從帽兜中變出欺騙,使上當,欺騙,反,解惑,使省悟,遮眼,欺騙,蒙蔽"
horrific,"極其可怕的,令人震驚的,極其可怕的意外事故駭人的罪行"
huckster,"記背,人背東西賣的人小販,在街上叫賣的小販,強行推銷員,使用夸張,賣弄,不正當的手段推銷商品的人,小販,叫賣"
humanity,"人類,人性,仁慈,人文學科"
humidity,"湿气,潮湿,湿度美沼泽中的肥沃高地"
humorous,"富幽默感的,滑稽的,詼諧的"
hunch--0,"肉峰,預感,大塊,彎腰駝背,弓起背部,聳肩,向前移動,隆起"
identify,"識別,認明,鑒定,使等同於,一致,變成一致"
idolater,"記,神像,偶像,圖標,偶像,盲目崇拜者,過分地羨慕或喜歡別人的人,類,偶像崇拜者是恭敬的易受騙者是相信的,偶像崇拜者,崇拜者,皈依者,追星族"
idolatry,"偶像崇拜,邪神崇拜,盲目的崇拜"
igniting,點燃
ignominy,"記,不,名聲,名聲不好,恥辱,侮辱,對個人名譽的重大損壞,無恥行為,反,榮譽,光榮,尊敬,尊敬,尊重,尊敬,敬重,恥辱"
ignorant,"不知道,無知的,未受教育的"
ignoring,忽略
ill-bred,"沒有教養的,沒有禮貌的"
illusion,"假象,錯覺,玩,遊戲,扮演"
illusive,"幻覺的,夢幻似的,類,似是而非的不真實虛幻的不現實,幻影的,錯覺的,迷惑人的,虛假的,不牢靠的"
imbue--0,"浸染,浸透,使充滿,灌輸,激發"
imitated,"仿效的,仿造的,假冒的"
imitates,NotFoundAnyMeanings
immanent,"記,進入,人,在人之內的,內在的,原指上帝存在于宇宙萬物之中的,無所不在的,內在的,固有的,主觀的,反,外在的,直率的,外在的,外來的,內在的,固有的,宗,上帝,無所不在的"
immature,"記,成熟的,到期的,不成熟的,生長或發展不完全的,類,不成熟的還沒有完全發展開始的還沒有完全實現,不成熟的,未完全發展的"
immersed,"浸入的,沉入的,沉思的"
immolate,"記,不,摸,晚了,這只雞再不摸就晚了,因為它要變成祭品了一犧牲,焚祭,犧牲,焚祭,為祭神而用火燒死,犧牲,獻出,獻祭"
immunity,"醫學上的免疫,免疫性,免除"
immunize,"用接種的方法,使有免疫力,類,施肥使生長免疫使抵抗,使免疫,賦予免疫性,使成為無害"
impel--0,"推進,推動,激勵,驅使,迫使"
impelled,NotFoundAnyMeanings
implicit,"暗示的,盲從的,含蓄的,固有的,不懷疑的,絕對的"
implying,"暗指,暗示,意味著"
impolite,"不禮貌的,無禮的"
improper,"不適當的,不合適的,錯誤的,錯誤的藥方"
impudent,"魯莽冒失的,放肆無禮的,厚顏無恥的,區,只有輕率的,不謹慎的意思,但是,主要是不恭敬,沒有禮貌的意思,因為,比,少了一朵花,對小姐不敬"
impunity,"無罪,相安無事,不受懲罰"
inaction,"不活動,無為,怠惰,遲鈍"
inactive,"不活動的,不活躍的,懶散的不再工作的,不再運行的參加活動不踴躍的"
inasmuch,"因,之故,因為"
incision,"外科手術時的,切口,切割,參,切割,雕刻,切,簡明的,簡練的,反,縫合,切割,切開,切口"
inciting,"激勵,激起,煽動"
inclined,"倾斜的,倾向的,使倾斜,的过去式和过去分词,使偏向"
includes,包含
increase,"增加,增進,利益,增加,加大,增加,繁殖"
incur--0,"招致,惹起,帶來,遭受"
indebted,"受惠的,感激的,負債的"
indecent,"形容詞,下流的,猥褻的,粗鄙的"
indicate,"顯示,象徵,指示,指出"
inducing,"感應,引導"
indurate,"鐵石心腸的,冷酷無情的,使變硬,使習慣於,如艱苦或尷尬之境況"
inept--0,"不適當的,無能的,笨拙的"
inequity,"記,公平,公正,相等的,不公正,不公平,類,教育消除文盲重新分配消除不公平,不公平,不公正"
inert--0,"惰性的,遲鈍的,無活力的,呆滯的"
infamous,"聲名狼藉的,臭名昭著的,罪大惡極的"
infantry,"記,嬰兒,試圖在大腦中呈現出日本步兵用刺刀試圖挑出我國女人腹中嬰兒的場景,步兵,步兵,步兵部隊,集合名稱,步兵,步兵團"
infer--0,"推論,推斷,意味著,作出推論,能由,推導出的"
inferior,"次等的,較低的,下方的,下級的低下的人,次品,下附文字"
infinity,"無限的空間,時間或數量,反,有限空間,無限,無窮大"
inflamed,"發炎的,被激怒的"
inflated,"價格,飛漲的,通貨,膨脹的言過其實的,誇大的,華而不實的充了氣的"
informal,"形,非正式的,不格式,的,形容詞不符合格式的"
infringe,"因為超越或超過限製,違反,侵害,合同,權利等"
inherent,"內在的,固有的,與生俱來的"
iniquity,"記,不,平等的,不公正的,邪惡不公正之舉,參,不公正的,邪惡的,反,正直,公正,清廉,公正無私,不公正"
initiate,"形容詞,新加入的,動詞,創始,初學,通過儀式,接納新成員,名詞,初學者,新加入者"
innocent,"清白的,天真的,單純的,無知的,頭腦簡單的,沒有,的天真無邪的人"
innocuos,無害的
innuendo,"記,裡面,細微差別,讀,盎司,在言語中能夠體會出細微的差別,含沙射影,含沙射影,暗諷,參,內長的,內生的,含沙射影地說,暗諷,的話,影射,的話,影射,旁敲側擊地表達,暗示"
inscribe,"登記,銘記於,題寫,雕刻"
insecure,"形容詞,不安全的,不穩定的,局促不安的"
insignia,"記源于,標記,符號,征候,職位,等級,會員或國籍的,徽章,袖章,勛章,徽章"
instruct,"指示,吩咐,命令,教導,指導"
insulate,"使隔熱,使隔音,使絕緣"
integral,"積分,整數,整體的,整數的,積分的積分"
intended,"有意的,故意的,已訂婚的已訂婚者"
interest,"興趣,感興趣的事,愛好,利益,重要性,利息,行業,使發生興趣"
intimate,"親密的,私人的,秘密的,暗示,通知,告訴熟友"
inundate,"由于洪水泛濫,淹沒參,波動起伏,成波浪形,豐富的,反,耗盡,排水"
inure--0,"使習慣接受不好的東西,使堅強"
inventor,"發明家,發明者"
inviting,"形容詞,吸引人的,誘人的"
involves,"使捲入,包含,意味著,使專注,使忙於"
ironclad,"記,鐵,在金屬外覆以另一種金屬,原指,世紀兩則用金屬片作為護甲的戰艦,十分堅固的,十分堅固的,裝有鐵甲的,鐵定不變的,類,堅固的對十分堅固的聰明的對才華橫溢的充滿的對擁擠的,裝甲的,打不破的"
irrigate,"灌溉,用水或藥液來,清洗,體腔或傷口,類司爐是添加燃料灌溉是添加水通電刺激是刺激沖洗傷口是沖洗,神聖的,不可褻瀆的,不可侵犯的"
irritate,"激怒,使發怒,使不舒服,使發炎,引起不快"
isolated,"孤立的,單獨的隔離的,與世隔絕的"
isolence,NotFoundAnyMeanings
jaundice,"因嫉妒,猜忌等導致的,偏見,病,黃疸"
jealousy,"名詞,妒忌,猜忌"
jeopardy,"損失或受傷的,危險參,危害,類隱居進入隱居中危及進入危險中沒有信息的不容易被徹底了解危險的不容易被克服"
jingoism,"極端愛國主義,侵略主義,沙文主義"
jingoist,"記,讀巾幗,英雄,有對國家的極端忠實,讀靖國,靖國神社是沙文主義的體現,侵略主義者,尤以好戰的對外政策為特征的極端國家主義,類,偏袒親戚愛親戚沙文主義愛國家,反,和平主義者,主張和平的人,沙文主義者,侵略主義者"
joyously,"快樂地,快活地,高興地"
jubilant,"歡騰的,喜氣洋洋的"
judgment,"判斷,判斷力,評判,評價,裁判,判決"
judicial,"法庭的,公正的,審判上的,司法的"
junction,"名詞,連接,匯合,接合點"
juncture,"結合,結合點,時機,關頭,關鍵時刻"
justness,NotFoundAnyMeanings
kangaroo,"記,拼扛,一個,肉身上有扛了一塊肉,是她的小袋鼠,袋鼠,類,袋鼠屬于有袋動物松鼠屬于嚙齒動物,動袋鼠"
kills--0,NotFoundAnyMeanings
kindness,"仁慈,善行,友好的行为"
know-how,"名詞,技術,實際知識,竅門"
lacerate,"劃破,割破,使痛心,撕碎,撕碎的,受折磨的"
lacontic,簡潔的
lamented,被悼念的
landfill,"垃圾堆參,為陸地所包圍的,裡程碑,類水池儲存液體垃圾堆存放垃圾"
landmark,"界標,陸上明顯標志,里程碑"
language,"語言,一個國家或種族的語言,使用語言的能力"
largesse,"慷慨援助,施舍反,過度節儉,吝嗇,貧困,貧窮"
laudable,"值得贊賞的,值得佩服的,動人的"
laughter,"名詞,笑,笑聲"
laxative,"通便的,不簡潔的瀉藥,緩瀉藥"
laziness,"怠惰,無精打采"
learning,"名詞,學習,學問,學識"
lengthen,"動詞,使加長,使延長"
lethargy,"缺乏活力,昏睡,漠不關心"
liberate,"從壓迫下,囚禁中或外國統治下,釋放,解放類特別有感情是感情奔放的特別有自由是放肆的反,把,關進監獄,束縛,加腳鐐,管理,沒有約束的自由"
libretto,"記,小,結尾是藝術單詞,用嘴說出來的小東西,劇本,歌劇等,歌詞,劇本,歌劇,音樂劇等的,歌詞或劇本"
lifelike,"活像真的,栩栩如生的"
ligneous,"記,木頭,木質的,點燃,的東西可以,木質的,木頭的,類,木頭的和木頭骨頭的和骨頭,木質的"
likeness,"相象,相似物,樣子"
likewise,"同樣地,照樣地,又,也"
limerick,"記源于利默尼裡克,愛爾蘭西南部一地區,以出產精美的繡花邊聞名,在該城有一首連續唱,遍的歌,五行打油詩,五行打油詩,一種通俗幽默短詩,有五行組成,韻式為,類,五行打油詩是一種諷刺詩諷刺文章是種諷刺作品笑鬧劇是一種幽,默表演,五行打油詩一種通俗幽默短詩,有五行組成,韻式為"
linoleum,"記,亞麻,油,在亞麻布上涂油,油氈,油氈,通常用于鋪地面,參,石油,類,木頭刷漆防止損壞油氈打蠟防止損壞,油布,油毯"
listener,"聽眾,類,偷聽者是偷偷聽的人間諜是偷偷觀察的人,收聽者,聽眾"
listless,"無精打采的,源,缺乏活力所以,無精打采,記,沒有拿到錄取學校寄來的,所以,無精打采"
literary,"文學的,精通文學的,從事寫作的,書本的,書本氣的"
literati,"文人,學者,復數"
litigant,"記,立體,干,他,一個立體的人想干他,訴訟當事人,訴訟當事人,類,仲裁者解決爭論者的矛盾法官解決訴訟當事人的矛盾,訴訟人"
loathing,"記源于,不情愿的,發誓發誓離開,厭惡,讀老死,厭惡,強烈的,厭惡,憎恨,類,特別不喜歡是憎恨特別高興是極樂特別譴責是強烈譴責,反,討厭的,渴望的,討厭,嫌惡"
locus--0,"某事發生的確切地點,核心,地點,所在地"
loophole,"記,圈,洞,槍眼,換氣孔,類,密閉的缺乏換氣孔,槍眼,望孔,射彈孔"
lopsided,"不平衡的,向一側傾斜的,迷人的撇嘴一笑"
loudness,"高聲,大聲,吵鬧"
lucid--0,"容易理解的,源,光代表,知識,引申為,理解"
lucidity,"光,形容詞字尾,名詞字尾,明白,透明,光明"
lukewarm,"微溫的,不冷不熱的,不熱心的"
luminous,"就是流明意思為,發光的,易懂的,很好懂,易懂的"
lurid--0,"火燒似的,蒼白的,華麗而庸俗的,可怕的"
lustrous,"記,強烈的欲望,多一個人如果有很多的欲望,在看人的時候就會眼睛放光,有光澤的,有光澤的,類,使麻木是使無知覺的磨光是使有光澤的,磨光使有光澤的提純使純的,有光澤的,光輝的"
luxuries,NotFoundAnyMeanings
macerate,"記,媽媽,吃媽媽出去吃飯,你就會消瘦,浸軟,使消瘦,反,通過干燥變硬,浸軟"
maculate,"有斑點的,有汙點的,不純潔的,腐敗的"
madrigal,"抒情短詩,情歌,合唱曲"
magician,"魔術師,變戲法的人,術士,巫師"
majestic,"雄偉的,威嚴的,崇高的"
mania--0,"癲狂,狂熱,過分的狂喜以及劇烈的身體活動,參,盜竊狂,愛書癖,類狂熱是過分熱情溺愛是過分喜愛多疑是過分懷疑"
manifold,"復印本,多種,多種的,有許多部分的,多方面的,復寫,繁殖,增多"
maritime,"海的,海上的,海事的,沿海的,海員的,海的,沿海的"
markedly,"顯著地,醒目地,明顯地"
marriage,"婚姻,密切結合,結婚,婚禮,合併"
martinet,"要求嚴格紀律的人,要求嚴格執行規章製度的人,參,烈士,類,嚴格的人過分要求紀律學究過分要求知識美食家食品"
massacre,"動詞,屠殺,使慘敗,名詞,大屠殺,慘敗"
masterly,NotFoundAnyMeanings
material,"材料,物資,素材,布料,資料,物質的,肉體的,具體的"
maternal,"母親的,母性的,母方的"
mattress,"名,床墊,地墊物品,名詞把地墊丟在地上睡覺"
maturity,"名詞,成熟,完善,支票等的,到期"
maximize,"最大化,取,最大值,最佳化"
meanings,含義
mediates,調停解決
medicine,"藥,醫學,內科,給,用藥"
medieval,"中世紀約西元年至年間的,中古時代的"
meekness,"温顺,柔和,懦弱"
membrane,"薄膜,膜皮,羊皮紙"
memorial,"形容詞,追悼的,記憶的,名詞,紀念碑"
mentally,"智力不足的,心理有缺陷的"
merciful,"仁慈的,慈悲的,寬容的"
mesmeric,"催眠的,催眠術的,令人著迷的,難以抗拒的"
meteoric,"流星的,疾速的,大氣的,輝煌而短暫的"
metrical,"測量的,度量的,詩的,韻律的"
midst--0,"介系詞,在,之中,名詞,當中,中間"
mildness,"溫和,溫暖"
military,"軍人的,軍事的,好戰的,陸軍的"
militate,"有巨大作用,起影響"
minimize,"將,減到最少,刻意低估,表示鄙夷"
mirth--0,"用笑來表達的,歡樂,歡笑,參,憂郁的,類,笑聲代表歡樂鼓掌表示贊同"
misdeeds,NotFoundAnyMeanings
miser--0,"守財奴,吝嗇鬼,為了積聚錢財而過著非常窮困生活的人,類吝嗇鬼過分節儉沙文主義者過分愛國,吝嗇鬼是小氣的孤獨者是孤獨的"
mishomer,名稱錯誤
mistaken,"形容詞,弄錯的,誤解的"
mobility,"流動性,移動性,流動機動性遷移率"
modified,"改良的,改进的,修改的"
molecule,"名詞,分子,微小顆粒"
momentum,"動力,衝力,勢頭物動量"
monastic,"修道院的,僧侶的,禁欲的"
monetary,"金融的,財政的,貨幣的"
monogamy,"一夫一婦,主義"
monopoly,"壟斷,專賣權,獨占事業"
monotony,"千篇一律,單調乏味"
moreover,"副詞,並且,加之,此外"
mortgage,"抵押,義務,精神負擔,抵押,獻身於,使有義務"
mosquito,"名詞,蚊子"
motility,"運動性,遊動性"
motivate,"給與動機,刺激,提高,的學習欲望,促動"
mountain,"山,高山,大山,山脈,大堆,大量"
mournful,"憂傷的,令人哀痛的,意氣消沈的"
mourning,"悲哀,哀悼,舉哀,居喪"
movement,"運動,動作,運轉,移動,傾向,變化,活動,樂章"
multiple,"倍數,並聯,多樣的,復合的,復雜的"
multiply,"乘法,大大增加,繁殖參,各式各樣的,多樣的,多重的,多數,群眾,類乘對除進對出反,繁殖,不能繁殖"
munition,"軍需品,供給軍需品"
murky--0,"昏暗的,渾濁的,朦朧的反,明晰的,清澈的,透明的,清楚的"
muscular,"有關,肌,肉,的肌肉發達的,強壯的"
mushroom,"草,蘑菇,暴發戶,迅速生長,迅速增加,采蘑菇,蘑菇形的,迅速生長的"
mutation,"變化,轉變,元音變化,生物物種的,突變"
mutineer,"暴徒,反抗者,暴動,反抗"
mutually,"相互的,共同的,的衍生的副詞"
narcotic,"麻醉藥,致幻毒品,鎮靜劑,麻醉的,催眠的"
narrower,NotFoundAnyMeanings
natal--0,"出生的,出生時的,字根,出生"
national,"國家的,國民的,民族的國民,僑民,同胞"
nauseate,"記源于,船,船上的病,暈船,惡心,讀鬧死吃,吃飯的時候鬧死了,作嘔,讀鬧,在海上吃飯的時候鬧,惡心,使作嘔,使厭惡,類,眩暈惡心,作嘔,產生惡感,厭惡,使厭惡,使惡心,使作嘔"
nautical,"記,船,一航海的,船員的,航海的,參,宇航員,海軍,類,星盤是航海工具濾器是烹調工具,船員的,船舶的,海上的,航海的,海軍的"
navigate,"動詞,航行於,飛行於,操縱,導航"
neatness,"整潔,幹淨"
nebulous,"模糊的,解,來自天文學,星雲,因為星雲是,朦朧的,不清楚的,水蒸氣,模糊"
negation,"否定,反駁,不存在,對立面"
nickname,"動詞,給,起綽號,名詞,綽號,渾名"
nicotine,"記外來語,讀尼古丁,尼古丁,無色有毒生物鹼,從煙草中提取被用作殺虫劑,它是煙草中致使吸煙者上癮的物質,煙鹼"
nobility,"高貴,高尚,貴族階級"
nominate,"動提名,任命,指定"
nonsense,"胡說,胡扯,胡鬧,廢話,無意義的話"
notch--0,"槽口,凹口,刻凹痕,用刻痕計算,開槽,切口,得分,美語山間小路,刻痕,峽谷"
novel--0,"小說,長篇故事,新奇的,異常的"
nucleate,"記源于,核子,核子的,使成核,集結,反,散布,使,成核,有核的"
nugatory,"無價值的,沒有力量的,無效的"
nutrient,"營養的,滋養的營養物,滋養物"
obedient,"形容詞,服從的,順從的"
obituary,"記,離開,他,他離開我們后寫的東西,訃告,訃聞,死后發表的附有死者簡要傳記,類,花名冊記錄職員訃告記錄死亡,訃告,死亡的"
obliging,"熱心助人的類幻想的理想主義的過分插手的熱心的,褒貶"
observed,觀察到的
obsessed,"著迷的,困擾的類極度苦悶的有過多苦惱著迷的有過多關心特別堅定的是固執的特別關心的是著迷的著迷的是過分被吸引的魯莽的是過分冒險的親密的是過分緊密"
obstacle,"障礙,反對或阻礙進步的事物,類甜言蜜語為了誘騙障礙物為了阻礙"
obviated,排除
occasion,"場合,時機,機會,誘因,理由,致使,惹起,引起"
occupied,"佔領,佔據,佔時間,空間,佔用,住"
odometer,"記,想成汽車前面的三塊表,測量,其中的一塊是裡程表,汽車,裡程表,顯示車輛行駛距離的儀器,美,汽車等的,里程表"
offended,"被激怒,受委屈的"
offenses,"罪過,犯法,行為,過錯"
offering,"名詞,提供,供奉,捐獻物,供物,課程"
official,"官員,公務員,職員,公務的,官方的,正式的"
offstage,"台後,的,幕後,的"
ointment,"軟膏,藥膏,在手臂上塗抹藥膏"
omitting,NotFoundAnyMeanings
operetta,小歌劇
opinions,"意見,主張"
opponent,"對手,敵手,反對者,敵對的,反對的"
opposing,"相反的,對立的,意見或想法等,敵對的,隊伍或群體等"
opposite,"形容詞,相反的,對立的,副詞,在對面,在對過,介系詞,在,對面,名詞,對立物"
optimism,"名詞,樂觀,樂觀主義"
optimist,"樂觀者,樂觀主義者"
oratorio,"清唱劇,沒有舞臺行動,道具的戲劇"
ordering,"安排,佈置"
ordinary,"平常的,普通的常事,常例,普通的人"
ordnance,"記,以后才能開,大炮,軍火,軍火"
organism,"有機物,有機體,生物有機體系"
original,"形容詞,最初的,本來的,原始的,名詞,原著,原畫,原版"
ossified,"僵化的,鈣化的"
otter--0,"記源于,出去,水獺,水生食肉哺乳動物,長有蹼足和黑褐色的密毛,出某一職位或地點,驅逐,反,任命,水獺,水獺皮"
outburst,"爆發,迸發,激情"
outgoing,"形容詞,直率的,往外的,即將離職的,友善的"
outshine,"勝過,比,更優異,比,更出色,班帕爾默在米自由泳比賽中輕鬆戰勝對手"
overcome,"動詞,戰勝,克服,戰勝,克服,的過去分詞"
overdone,"太过火的,太过度的"
overdose,"麻醉藥物,過度劑量,用藥過多參,遲到的,過期的,過分強調,評價過高,類過度劑量違背處方越軌行動違背傳統"
overflow,"動詞,滿,或多,得溢出,名詞,溢出,過剩,泛濫"
