abandon,"動詞,放棄,名詞,放縱,放任"
chaff,"谷殼,包在麥粒和其他作物粒上的干殼,在脫粒時被除去,廢物,瑣屑或無價值的,類,金屬的浮渣谷物的米糠,小麥有谷殼山核桃有外殼,揚谷是去除谷殼過濾是去除雜質"
chagrin--0,"失望,懊惱,由失敗,失望或煩惱的事件引發的,例,我為書的銷路不佳而懊惱類懊惱是情緒不好痛苦的表情是臉不好反,使興高采烈,高興,快活"
chalice,"記讀茶裡死要想茶裡死不太容易,需要一個巨大的茶杯,聖餐杯,大高腳酒杯,大茶杯,聖餐被設立在,最后的晚餐,那一天舉行,儀式上有面包和葡萄酒作為耶穌之死的紀念,杯,聖餐杯"
challenge,"挑戰,盤問,向,挑戰,要求,懷疑,挑戰,反對"
challenging,"挑戰性的,令人鼓舞的,挑撥的,刺激的"
chameleon,"變色龍,一種變色蜥蜴,反複無常的人類魚類學家研究,魚爬虫學家研究變色龍"
champion--0,"冠軍,擁護者,戰士,保衛,擁護,優勝的"
championship,"冠軍頭銜,冠軍賽,錦標賽"
chance,"機會,可能性,或然性,偶然性,運氣,碰巧,偶然發生"
chancellor,"記,機會,靠機會的人高級官員,一有機會就往上爬,拼攙,扶,地下室這些總理大臣們都比較老,需要攙扶才能進入地下室,高級官員,歐洲國家的總理,美國大學的校長,首席法官,例,大法官,長官,大臣"
chandelier,"名,詞,懸掛式室內裝飾吊燈"
change,"改變,變化,零錢,找頭,改變,變化,更換,調換,兌換,改變,變化,更換"
changeable,"易變的,善變的,常變的"
changeableness,易變性
changed,"改變了,變化了的,不同往常的"
changes,改變
changing,不斷變化
channel,"動詞,在,開水道,傳送,名詞,管道,頻道"
channels,頻道
chant--0,"動詞,反覆地唱,或說,吟誦,名詞,詠唱,吟誦,單調的語調"
chaos,"混亂,混沌,宇宙未形成前的情形"
chaotic,"混亂的,毫無秩序的,房子裡現在有點混亂我們讓這麼些多餘的人住著而且還在進行裝修"
chapel,"記吃,猩猩吃猩猩是不能在教堂裡的,但是小教堂缺乏管束,可以偷著吃猩猩,吃,讀吃蘋果,道理同上,小教堂,例,我每天早晨去做禮拜,小禮拜堂,禮拜"
chaperone,"陪伴,監護人"
char,"記是中國的音譯詞,茶的意思,茶在外國是用炭燒的,讀差燒焦了,技術太差,烤炙,燒燒,的表面,以不完全燃燒的方式,燒成炭,茶,燒焦"
character,"字元,字,性格,品質,特性,特徵,人物,角色"
characteristic,"特性,特徵,特色,特性的,本性的,有特色的"
characteristics,"特質,特徵,特性"
characterization,"對書或戲劇中人物的,刻畫,描繪,塑造描述方法,界定方法"
characterize,"動詞,描繪,的特性,具有,的特徵"
characterized,"具有,的特性"
characters,"角色,人物"
charade,"記是夏利的商標字謎游戲車,看手勢猜字謎游戲,如兩手伸平,形成,十,字,易識破的偽裝,類,字謎游戲不說話表示詞啞劇不說話表示故事,偽裝是一種假裝空洞是一種空,看手勢猜字謎游戲"
charge,"指控,費用,沖鋒,電荷,炸藥,主管,被託管人,囑咐,控訴,加罪於,使充滿"
charged,承擔責任
charging,充電
charisma--0,"非凡的領導力,教祖般的指導力,神授的能力"
charitable,"慈善的,仁慈的,慷慨施捨的"
charity,"慈悲,博愛,慈善團體,施捨"
charlatan,"江湖郎中,騙子,對自己的技術或知識夸大其辭的人,源原指大吹大擂推銷商品的人,喋喋不休,類印度神克利須那神像的特征是碾碎江湖騙子的特征是行騙"
charm,"吸引力,魔力,符咒,迷住,使陶醉,行魔法,用符咒,有魔力"
charming,"令人高興的,迷人的,有魅力的"
charter,"動詞,發執照給,給特權,包租,名詞,憑照,特權,包租"
chary,"非常小心的,謹慎的,節儉的,花錢小心的,例,當心感冒類謹慎的人小心鎮靜的人鎮靜反,大膽魯莽的,輕率"
chase,"追求,狩獵,追逐,追捕,追逐,雕刻,在金屬上打花樣,追趕,奔跑"
chasm,"深坑,土地表面上深的,陡峭的縫隙,明顯分歧類裂縫深淵小切口大傷口,程度"
chaste,"貞潔的,思想,言論,尤其是性的節操,有道德的,朴素的"
chasten,"記,貞節的,象山洞一老女子躲在山洞裡磨練童貞,這不是自己跟自己過不去嗎,這個是大陸人想的,怪怪的,磨練,斥責,通過懲罰和磨練而使壞習慣改正,磨煉"
chastise--0,"懲罰,譴責,以保持純潔,類"
chastisement,"懲戒,責罰,斥責"
chatter,"動詞,喋喋不休,吱吱叫,名詞,嘮叨,饒舌,吱吱聲"
chauvinism,"沙文主義,狂熱的盲目愛國主義,例,大男子主義,源源自尼古拉斯沙文,傳說中因其過分的愛國主義和對拿破侖的忠誠而聞名的法國士兵,盲目的愛國心,沙文主義"
chauvinist,"大國沙文主義,本國至上主義,本族至上主義,人群熱情地唱著沙文主義的愛國歌曲"
chauvinistic,"盲目愛國的,類,愛國的過分是盲目愛國的相信的過分是輕信的,盲目的愛國心的,沙文主義的"
cheap,"形容詞,便宜的,副詞,便宜地,卑鄙地"
cheat,"欺騙,作弊,騙子,欺騙,逃脫,騙取"
cheated,"騙取,欺騙"
check,"阻止,制止,控制,阻止物,支票,檢訖的記號,飯館的帳單,檢查,制止,核對,寄存,托運,証明無誤,核對無誤,逐項相符,象棋將軍"
checking,正在檢驗
cheeks,臉頰
cheer,"愉快,激勵,歡呼,加油,鼓舞,快活起來,使振奮,歡呼"
cheerful,"快活的,高興的,興高采烈"
cheerfully,"開心地,快活地"
chef,"名詞,餐館等的,主廚,大師傅"
chemical,"化學的化學製品,化學藥品"
chemicals,"化學藥品,化學製劑,化學製品"
cherish,"珍藏,將,視為珍貴"
cherished,"受喜愛的,珍愛的"
cherubic,"記車,橡皮胖娃娃都喜歡玩橡皮車,因為不會傷害皮膚,小天使似的,白胖可愛的,天真無邪的,尤指小孩兒長得天真可愛,而且有胖乎乎的臉蛋,源,九級天使中第二級小天使,反,憂郁的,天使的,天真無邪的,可愛的"
chest,"胸部,胸腔,胸膛,箱子,櫃子,金庫,公款"
chew,"咀嚼,嚼碎,咀嚼,細想咀嚼,咀嚼物"
chic--0,"时髦,别致的款式,别致的,又做小妞高雅時尚的小妞"
chicanery,"詭計,強詞奪理例,玩卑鄙手段類文雅的不笨拙誠實的不狡詐狡詐的人是聰明的不老練的人是誠實的"
chide,"叱責,指責"
chief,"領袖,酋長,長官,主要部分,主要的,首位的"
childish,"孩子氣的,幼稚的,傻氣的"
children,"一個以上的孩童,的複數"
chimera--0,"虛構的怪物,由奇形怪狀的,不相干的部分組成的一種虛構的怪物,奇想源原指希臘神話中吐火女怪凱米拉,獅頭,羊身,蛇尾,參,異想天開的,幻想的,愛空想的,類情節劇缺乏微妙幻想缺乏真實"
chip,"晶片,薄片,碎片,削,切,削成碎片,使摔倒,鑿,碎裂"
chipmunk,"記,計算機的芯片,和尚,芯片的特點是奔騰,和尚的特點是吃齋松樹的特點是奔跑和吃松子,素食,簡單方法,芯片和尚花栗鼠,把這句話朗讀遍,花栗鼠,有條紋的小松鼠,動,花栗鼠"
chisel,"動詞,鑿,雕,欺騙,騙取,名詞,鑿子"
chivalrous,"騎士精神的,具有勇武精神及榮譽感,尤指對女人體貼及彬彬有禮的,例,我欣賞騎士精神,根騎,參,騎士製度"
choice,"選擇,抉擇,選擇機會,入選者,精華,供選擇的種類"
choices,選擇
choir,"名詞,教堂的,唱詩班,合唱團"
choke,"窒息,阻塞,噎,抑制,窒息,阻塞,噎窒息,噎,阻氣門"
choleric,"記膽汁在古代被認為是發怒液易怒的,臭,了東西臭了發怒,易怒的,脾氣暴躁的,參,膽囊炎,暴怒,類,懦弱是因為被脅迫憤怒是因為被使敵對,反,難被激怒的,易怒的"
chop,"厚肉片,排骨,砍,交換,戳記,商標,剁碎,砍,切,割斷,砍,突然轉向"
chorale,"讚美詩,合唱班,合唱團"
chord,"名詞,樂器的,弦,心弦,弦桿,和音"
choreography,"舞蹈編排,設計並且編排舞蹈或芭蕾動作,舞蹈,根有伴唱的舞蹈,寫編舞術類,編舞安排舞蹈情節安排故事舞蹈指導設計舞蹈動作建築師設計建築雕塑家建造雕像"
chorus,"合唱隊,齊聲,齊聲說道,合唱"
chromatic,"色彩的,有顏色的,彩色的,根顏色,參,彩電顯像管,反,無色的,彩色的"
chromosome,"記顏色,體染色體參,肉體的,染色體,鏈,攜帶了傳遞遺傳信息的基因和功能團,生物染色體"
chronic--0,"形容詞,病,慢性的,人,久病的,長期的"
chronological,"依時間前後排列而記載的,字根,時間"
chronologically,按時間前後順序排列而記載的
chronology,"年代學,確定日期和事件順序的科學,資料等,按年代次序的排列,類,年代錯誤是年代學中錯誤謬誤是邏輯學中錯誤,年代學,年表"
chrysanthemum,"記金黃色,花金黃色的花菊花,菊花,一般為金黃色,被栽培作為裝飾物,參,文集,蛹,蠶,菊花"
chuckle,"動詞,咯咯地笑,暗自發笑,名詞,咯咯聲,輕笑聲"
church,"教堂,禮拜,教會,使人接受宗教儀式,教堂的"
churches,教堂
churl,"記,教堂,粗魯無禮的人,吝嗇鬼,鄉巴佬,參,脾氣暴躁的,粗野,類,煩人的人特點是煩人粗魯無禮的人特點是粗魯,農業工人,鄉下人,粗野的人,吝嗇鬼"
churlish--0,"粗魯無禮的,粗野的,脾氣壞的"
churn--0,"攪動,攪拌,翻騰,奶油攪拌器"
cinder,"記讀辛迪,克勞馥,國際名模,網上有她很多不堪入目的寫真,所以她就是一個愛喝蘋果汁,的渣滓煤渣,煤渣,部分燃燒的煤,未形成灰燼且不能繼續燃燒,金屬煉爐的爐渣,煤渣,灰燼"
cipher,"密碼,暗號,數學符號零,無影響力的人,例,我猜不出她的動機,參,破譯,譯成密碼,類,密碼的特點是秘密的大綱的特點是簡潔的"
circuit,"名詞,環道,一圈,巡迴路線,電路"
circuitous--0,"迂回的路的,迂曲的,繞行的"
circular,"傳單,通報,圓形的,環形的,循環的"
circulate,"使,迴圈,使,流通,使,流傳,散佈,傳播"
circulation,"循環,流通,發行量"
circumference--0,"周圍,圓周,周長"
circumlocution--0,"迂迴累贅的陳述,委婉曲折的,記法,環繞,說,繞圈子說"
circumscribe,"在,周圍畫線,限制,環繞寫限制"
circumscribed,"约束,制约,限制"
circumspect--0,"審慎的,考慮周到的,仔細的,對情況及后果注意留心的,類審慎的人審慎文雅的人文雅,輕率的不是慎重的專橫的不是卑屈的反,大膽的"
circumspection,"審慎,反,魯莽,細心,慎重"
circumstances,"情況,情況的複數,環境"
circumstantial--0,"與情況有關的,依情況而定的,記法環境站處於外圍不重要的"
circumvent--0,"迴避,防止,發生,用計謀規避,包圍,智取"
cistern,"記姐妹,象一個沒有出口的蒙古包用這個東西把姐姐扣裡頭,她就會很痛苦,尤其是不能方便,只好挖一個蓄水池了,蓄水池,容納液體的,尤其是匯集和貯存雨水的水箱,放解剖用的死尸的,水池,類,水箱盛液體垃圾場盛垃圾,水塔,蓄水池"
cite,"動詞,引用,舉出,表揚"
civil,"公民的,市民的,國內的,民間的,文職的,有禮貌的,文明的"
civilian,"形容詞,百姓的,民用的,名詞,平民,百姓"
civility,"禮貌,端莊,禮貌話"
claim,"要求,認領,主張,斷言,要求,認領,索賠,聲稱,主張"
claiming,自稱
claims,根據權利而提出的要求
clairvoyance--0,"記清楚,看看的清楚千裡眼,超人的洞察力,千裡眼,可看到感官不能覺察的物體的假想力量,參,超人的聽力,航行,航海,類,靈巧的是熟練操作預見性的是預言有洞察力的監視,透視,洞察力,千里眼"
clam,"蛤,沈默寡言的人,蟶子,撈蛤"
clamber,"手腳並用費勁地,爬,攀登"
clamor--0,"喧鬧,叫嚷,大聲的要求,喧嚷,大聲的要求"
clamp,"動詞,鉗緊,夾住,強行實施,取締,名詞,螺絲鉗,鐵箍"
clan,"名詞,氏族,部落,家族"
clandestine--0,"為了非法的目的,秘密的,暗中的例,秘密交易類,秘密的和秘密地公開的和公開地"
clannish--0,"排他的,門戶之見,宗族的,氏族的,黨派的,團結心很強的"
clarify,"釐清,闡明,淨化,使純淨"
clarion,"記清晰,獅子獅子發出的清晰聲音大聲且清晰的,嘹亮大聲且清晰的,尖音小號聲,能發出尖利,清晰的音,反,低聲難辨的,號角"
clarity,"清楚,透明,思想,文體等的清楚,明晰"
clash,"沖突,撞擊聲,抵觸,使,發出撞擊聲,猛撞,沖突"
clashing,衝突
clasp,"動詞,扣住,鉤住,緊抱,緊握,名詞,扣子,鉤子,夾子,緊握,緊抱"
class,"種類,等級,階級,班,班級,年級,課,把,分類"
classes,"類別,種類"
classification,"分類,分級,分類法"
classified,"分類的,類別的,被指定為機密的"
classify,"動詞,將,分類"
clause,"名詞,文件的,條款,子句"
clay,"粘土,泥土,肉體,人體,似黏土的東西,陶土制的煙斗"
clean,"乾淨的,清白的,巧妙的,清潔地,完全地,清理,使乾淨"
clear--0,"清除,掃清,清晰的,明白的,晴朗的,清澈的,明亮的,暢通的,無阻的"
clearly,"清晰地,明朗地,明白地"
clearness,淨度
cleavage,"劈開,解理,沿結晶面產生分裂,乳溝,低領口展露的部分,劈開,分裂"
cleave,"記,離開,使一部分離開另一部分劈開,用鋒利的工具,劈開,沿天然紋理,分裂,例,這種木材容易劈,參,切肉刀,劈,劈開,裂開,粘著,忠于,堅持"
cleaver,"切肉刀,切割者,突出的崖"
cleft,"記讀刻,留下來刻一刀留下來一個裂縫,裂縫,例,兔唇,類,裂縫對深坑傷口對深傷口,裂縫,隙口,劈開的,劈開,分開"
clemency,"記源于,和藹的,仁慈寬厚的,寬大的,讀克萊門特一個男人的名字,他的特點是仁慈,讀可,樂,男人總是可樂的男人是仁慈的,對罪犯或敵人,仁慈寬厚,天氣溫和,反,無情,無情的,溫和,仁慈,和藹"
clement,"寬容的,善良的,氣候溫和的"
clergy--0,"聖職人員,牧師,神父等,牧師的,神父的,例,衍"
clerical--0,"牧師,書記的,事務上的,抄寫員的,牧師的"
clever,"好用的,巧妙的,機靈的,聰穎的"
cleverness,"聰明,靈巧,敏捷"
cliche,"陳腔濫調,鉛版,陳腐的"
cliché,"陳腔濫調,老生常談,老套的話,我結婚那天我知道這是老生常談是我一生中最幸福的一天"
clientele,"總稱,顧客,律師,建築師等的,所有委託人"
cliff,"高聳的,陡峭的,峭壁,懸崖,例,我在攀登懸崖峭壁時摔斷了一條腿,懸崖,絕壁"
climactic,"高潮的,頂點的,導致高潮的,參,高潮,頂點,頂點的,漸層法的,高潮的"
climax,"高潮,極點,層進法,使,達到頂點,使,達到高潮"
climb,"攀登,上升,爬攀登,爬升"
clinch,"動詞,敲彎,釘頭,使釘牢,解決,揪扭,擁抱,名詞,鉗子,敲彎釘頭,釘牢,揪扭,擁抱"
cling,"粘緊,附著,緊貼,堅持,意見,墨守,習慣"
clinical,"臨床的,診所的,客觀的"
clip,"修剪,夾,回形針,剪下來的東西,修剪,痛打,夾牢,剪輯,剪報"
clipper,"大剪刀,快速帆船修剪者"
clique--0,"記讀科,裡,缺這種小集團在國家機關的科裡向來不缺,朋黨派系,小集團,小范圍的,排外的朋友或同事,例,財閥,金融集團,類,小集團由密友形成羊群由羊形成,私黨,小圈子,派系,閥,結黨"
clog,"木底鞋,障礙,障礙,阻塞"
cloister,"記關,表地點關閉之地修道院,修道院,宗教隱居的地方,參,隱居的,回廊,修道院"
close,"關閉,結束,完結,靠近的,親近的,親密的,周密的,關閉的,狹窄的,秘密的,關"
closed,"形容詞,關閉的,自給自足的,不公開的"
closely,"嚴密地,仔細地"
closet,"壁櫥,儲藏室,廁所,關起門來的,關入私室密談"
closing,"結束的,閉合的"
clot,"凝塊,群,使,凝結,使,聚集"
clothes,"衣服,作此義時恆用複數"
clothing,"名詞,總稱,衣服,衣著"
cloture,"記,關閉,使終止,討論終結,美國國會的一種結束辯論的程序對討論立即投票表決,類,投票是一種選舉投票終止是一種終止,討論終結,結束辯論"
cloudburst,"記,雲,突然爆裂,雨突然下來,驟雨,突然的大暴雨,參,陰暗,朦朧,類,狂風是很大的風暴雨是很大的雨,傾盆大雨,豪雨"
clout,"用手的猛擊,權力,影響力例,所有証據表明俄羅斯不再具有那樣的影響反,無力,無力,無力"
clown,"記關,自己把自己關在小丑的服裝裡小丑,通過玩笑,滑稽動作及騙局給人娛樂的,小丑,扮小丑,鬧笑話,逗趣,小丑,粗魯愚蠢的人"
clownish,"滑稽的,粗魯的,似小丑的"
cloying,"記源于,因過食油膩的甜的東西而發膩,讀可樂可樂喝多了,肯定會甜的發膩,因,甜的或油膩的東西,過量而厭煩的,倒胃口的,類,饒舌的是過分多話甜膩是過分甜,因過量而厭煩的,倒胃口的"
clumsily,笨手笨腳地
clumsiness,"笨拙,粗陋,不好看"
clumsy,"笨拙的,不雅觀的,粗陋的"
cluster,"動詞,使成簇,或群,叢生,名詞,串,簇,群"
coagulant,"記一起,作做到一起凝結計,凝結劑,引起液體或血液凝結的媒介,參,使凝結,共事者,類,抗生素防止感染凝血劑防止流血,凝結劑使變濃使凝結溶劑使溶解,凝結劑,凝血劑"
coagulate,"使凝結,使凝固,醬汁變冷後凝固了"
coagulation,"凝結,凝固作用"
coalesce,"聯合,合併,記法,共同成長"
coalition,"同盟,聯合,記法,共同成長"
coarse,"粗糙的,下等的,粗俗的粗略的"
coarsen,使某物變粗糙
coat,"外套,上衣,皮毛,表皮,層,塗層,塗上,蓋上,包上"
coax,"哄誘,通過持久的說服獲得,例,她哄我吃藥參,欺騙,戲弄,同軸的,類甜言蜜語為了哄騙獎章為了獎勵支吾其詞是為了欺騙"
coaxing,疲勞限漸增現象
cob,"記讀科比,布萊恩特,美國球星,長得就像玉米棒子,玉米棒子,圓塊,搗碎"
cobbler,"記想象在修鞋的時候,把玉米棒子墊到鞋裡,補鞋匠,修理或製造鞋的人,參,修,鵝卵石,嬌養,溺愛,皮匠,補鞋匠,工匠"
cocoon,"記三個破了兩個,繭,纖維材料的保護殼,由蛾或其他昆虫的幼虫做成,作為其蛹階段的覆蓋物,例,冬天多數虫子作繭,繭"
coda,"記共同,打音樂演的不好,觀眾就會共同往上扔雞蛋,所以知趣的樂隊就會趕快進入尾聲部分,聽到了,大家都昏迷了,尾聲,樂章或樂曲正式的結尾,類,后記是小說戲劇結尾尾聲是交響樂奏鳴曲的結尾,結束語是演講的結尾用甜點是一餐的結尾,反,序曲,樂章結尾部,完結部,終結句"
coddle--0,"嬌養,溺愛,煮蛋嬌生慣養的人,寶貝子弟,嬌養小孩的人"
code,"代碼碼,密碼,法規,法典,把,編碼,製成法典"
codify--0,"將法律,規則編成法典,類"
coerce--0,"強製,通過威脅,恐嚇,強製,使你按某種方法行動或思考,強製地支配或控製例,我靠強迫手段得到了我想要的東西類用甜言蜜語騙使用甜言蜜語敲詐使用強迫"
coercion,"强迫,高压政治,强制,威压"
coercive,"強制的,強壓的,強迫的"
coeval,"同時代的,同時代的人"
coffer,"記在保險櫃裡存咖啡,保險柜,金庫,天花板的裝飾鑲板,參,棺材,人放在裡面,所以后邊是,嘲笑,保險箱"
cogency,"使人信服的力量,中肯"
cogent--0,"論據,有說服力的,使人信服的,無法反駁的,參,說服力,中肯,類使人信服的使人信服令人討厭的使人討厭反,不足以令人相信的"
cogitate,"記共同,記,它因為不好記,所以要一堆人共同記住它,記的時候要深思熟慮才能記得又好又快,深思熟慮,慎重思索,參,思考,苦思,類,哲學家喜歡思考偶像破壞者喜歡攻擊,思考,考慮"
cognitive--0,"認知的,認識的,有認識力的,感知"
cognizance--0,"認知,認定,審理,知道的,認識的"
cognizant,"與連用,認識的,知曉的,例,她知道真相,根認識,類,無知不會是有見識的貧困不會是富裕的,反,遺忘的,不知道的,沒覺察到的,認知的"
cohabit,"記共同,居住同居,通常指未婚的雙方,同居,但是有性關系,參,動植物的生活環境,居民,類,同居是共同居住共謀是共同密謀,男女,同居,尤指未婚而同居者"
coherence,"記,粘著,凝結,緊湊,共同,粘粘在一起,一致性,連貫性,各部分間邏輯有序的,完美的一致,凝聚性,參,連貫的,一致的,粘著的,結合,凝聚,類,脫節的不連貫陳腐的不新,一致"
coherent--0,"互相密合著的,凝聚性的,連貫的"
cohesion,"結合,凝聚,團結力,附著"
cohesive,"有黏著力的,凝聚性的,有結合力的"
coincide--0,"巧合,重合,一致,符合,同時發生,共存"
coinciding,同時發生
colander,"記共同,下面所有的水都向下走漏勺,濾器,漏勺,碗狀的廚房用具,有孔,用來滴漏液體及清洗食物,參,日歷,歷法,圓筒,類,星盤是航海的工具濾器是烹飪的工具,離心機用來分離濾器用來排液,濾器,漏鍋"
cold,"感冒,寒冷,寒冷的,冷淡的,冷靜的,完全地"
collaborate,"合作,協作,合夥,勾結"
collage,"記,學院,是的一門課程,用報紙,布,火柴商標,車票,紙牌,壓平的花等碎片拼合而成的,拼貼畫,互不相干物件的,大雜燴,抽象拚貼畫,用報紙,布,壓平的花等碎片拼合而成的"
collapse,"倒塌,崩潰,失敗,虛脫,倒塌,崩潰,瓦解,失敗,病倒"
collar,"衣領,頸間,控制,扭住衣領,抓取"
collate,"對照,核對,共同,放"
collateral,"平行的,旁系的,有共同的祖先但出自不同家系,擔保物,作為抵押或擔保的財產,參,有兩面的,雙邊的,等邊的"
collect,"收集,聚集,集中,搜集,由收到者付款的,由收到者付款地"
collected,"記收集,被動把所有的不安因素收集到內心深處沉著冷靜的,泰然自若的,沉著冷靜的,收集成的,收集成的,冷靜的,鎮定的"
collecting,蒐集
collection,"收集,聚集,積累,收藏,募捐,文集,數集"
collective--0,"形容詞,集體的,共同的,名詞,集體農場,或企業,集團"
collectivity--0,"全體,總體,集體"
collegiality--0,"聯合領導,共同掌權"
collision,"相撞,衝突,抵觸"
colloguial,口語的
colloquial--0,"詞語或表達方式口語的,俗語的,非正式的,口語"
colloquium,"記共同,說,場所到共同說的場所去學術討論會,學術討論會,為交換意見的非正式的一個廣泛研究領域內的學術專家討論會,討論會"
collude--0,"共謀的,記法,共同,玩"
collusions,共謀
colon--0,"記把從上往下寫,在把兩個用筆圖黑,冒號就出現了,冒號,用于引導一個引用語,解釋說明,例子,冒號"
colonize,"開拓殖民地,殖民於,移植"
colonnade,"柱廊,類,柱廊由柱子組成隊列由人員組成,柱廊"
colony,"殖民地,僑民,聚居的,一群同業,一批同行,生物,群體"
color,"顏色,氣色,風格,外貌,把,塗顏色,粉飾,臉紅,歪曲,變色"
coloration,"色調,著色法,染色法,反,雜色,單色,染色,著色"
colors,顏色
colossal--0,"記共同,丟,所有人都丟錢,那么數量一定是巨大的,巨大的,龐大的,尺寸,范圍或程度使人敬畏,類,古老的年齡巨大的尺寸,巨大的,龐大的"
colossus,"巨型雕像,巨人,體積或重要性巨大的人,源原指羅德斯巨型雕塑像,世界七大奇跡之一,高多英尺,類,巨型雕像對小雕像大石頭對小卵石,巨像,巨人"
coltish,"放蕩不羈的,似小馬的,沒有經驗的,類,無拘束的不會有紀律粗野的不會有優雅,輕佻的,不受拘束的,小馬似的"
coma,"昏迷狀態,因受傷,疾病或中毒引起的很深的,持續的失去知覺的狀態,不能感覺外界刺激或對內部需求沒有反應,例,她已經昏迷兩個星期了參,昏睡的,昏睡狀態的,類"
comatose,"不省人事的,昏迷的"
combat,"爭鬥,戰鬥,奮鬥,爭鬥,與,戰鬥,反對"
combative,"好戰的,殺氣騰騰的,鬥志旺盛的"
combativeness,好鬥的
combination,"組合圖組合,合併,聯合"
combine,"使結合,使聯合,兼有,兼備,使化合,結合,聯合,化合集團,聯合企業"
combing,"梳毛,梳棄的毛,發"
combining,"使聯合,兼有"
combo,小型爵士樂團
combustible,"記共同,燃燒易燃的,共同,汽車,汽車的一個共同的特點就是易燃,因為用的是汽油,更何況裡面有桌子,可燃的,易激動的,易怒的,例,汽油極易燃燒,類,易燃的容易點燃有延展性的容易成形,易燃的"
come,"過來,來,到達,出現,開始"
comeback,"恢復,復原,還嘴,退貨"
comedienne,"記,喜劇,表示女人,說笑話,演滑稽劇的,喜劇女演員,參,喜劇演員,喜劇女演員"
comedy,"喜劇片,喜劇表演"
comely,"記來見到漂亮姑娘都希望她能過來,美麗動人的,有吸引力的,例,她是一個動人的女人,清秀的,標致的"
comes,來了
comfort,"舒適,安逸,慰問,安慰,慰問,安慰"
comfortable,"舒服的,愉快的,令人安慰的"
comic,"連環圖畫,喜劇演員,雜耍滑稽演員,滑稽的,有趣的,喜劇的"
comical,"好笑的,滑稽的,喜劇的"
coming,"來臨,即將到來的,下一個的,前途有望的"
comity--0,"禮貌,禮儀反,敵意,憎恨"
comma,"記來,媽媽媽來了別玩了,停頓一下逗號,逗號,表示句子結構內思想或要素的分開,停頓或隔開,類,插字符表示插入逗號表示停頓,括號起包括作用逗號起分隔作用,逗點,逗號"
command,"命令,指揮,統帥,指揮命令,指令,統帥,指揮,掌握,運用能力"
commanding,"指揮的,發號施令的,居高臨下的"
commands,命令
commemorate,"慶祝,紀念"
commenary,評論
commence,"動詞,開始,著手,得學位"
commencement,"開始,著手,畢業典禮,授獎典禮"
commend,"稱贊,表示贊同,例,我們應當表揚好人參,推荐,反複,表揚目的是推荐反,責難,嚴厲指責,表示悲痛"
commensurate--0,"同樣大小的,相稱的,記法,相同,測量"
commentary,"實況報道,對書等的,集註"
commerce,"名詞,商業,貿易,交易"
commercial,"商業的,商用的,商品化的廣告節目"
commingle,"記共同,使混合,攙和,混合,混合"
commiserate--0,"記共同,可憐共同可憐同情,共同,想念,吃一堆窮人只能想念吃的東西,值得我們的同情,同情,感到或表示悲傷或憐憫,例,我對他被解僱表示同情,參,同情的言語或表示,憐憫,同情"
commission,"委任狀,任官令,命令,傭金,犯法,委託,代辦,委任,委託製作,使服役"
commit,"把,交托給,提交,犯,幹,使承擔義務,使作出保証"
commitment,"承諾,尤指涉及資金責任的合同保証,致力,獻身,責任,承擔的義務,例,我害怕承擔任何責任,對家庭由衷的奉獻"
committed,"對事業,本職工作等,盡忠的例,我是一名有獻身精神的老師類"
committing,提交
commodious,"記,商品,多商品很多的地方就是大型超市寬敞的地方,共同,方式,多有很多擺放的方式寬敞的,寬敞的,參,適應,膳食,類,緊張的不是寬敞的異常的不是常去的地方,反,狹窄的,寬敞的"
commodity,"日用品,商品,有用的物品"
common,"公共的,共同的,普通的,一般的平民,公地,眾議院,下院"
commonly,"一般,普通,通常"
commonplace--0,"常事,老生常談,普通的東西,平凡的,陳腐的"
commonplaceness,普遍性
commonplaces,司空見慣
commonsense,"具有常識的,通情達理的"
commonsensical,"記,普通的,感覺,見識,具有普通人的見識,感覺明白事理的,有基本常識的,明白事理的,有基本常識的,反,荒謬的,與本性,理性或常識相反的,明白事理的,有基本常識的"
commonwealth,"名詞,共和國,全體國民,團體"
commotion,"記共同,運動,共同運動動亂,騷動,公民的,暴動,例,民變,參,動機,提升,增加,類,狂叫是一種騷亂閃光是一種照明,反,寧靜,騷動,暴亂"
communal--0,"社會的,公有的公用的,公共的"
commune,"懇談,自治體,工社,密談,沈思,內省"
communicate,"傳送,傳達,通訊,通信,交流"
commute,"減刑,通勤,解,死刑又叫,來來自,砍頭,無期徒刑又叫"
compact--0,"緊湊的,緊密的,簡潔的,使裝滿,使簡潔,變緊密"
companion,"朋友,陪伴,指南手冊,升降口,陪伴"
company,"公司,陪伴,同伴,賓客,客人,群,隊,夥,連,連隊"
comparable,"可以相比的,比得上的,可匹敵的"
compare,"比較,比喻,匹敵,相比比較"
comparing,比較
comparison,"相比,對照,比較,比喻"
compartment,"間隔,個別室,小事,車廂"
compass,"動詞,圖謀,計劃,包圍,達到,理解,名詞,羅盤,指南針,圓規"
compassion,"名詞,憐憫,同情"
compassionate--0,"慈悲的,富於同情心的,斟酌情況的,憐憫,同情"
compatible--0,"和諧共處的,相容的,記法,共同,感情,有共同感情的相容的"
compatriot,"記共同,愛國者,共同熱愛祖國的人同胞,同胞,同一個國家的人,同國人,同胞"
compel--0,"推動,強迫,脅迫,迫使"
compelling--0,"引人入勝的,扣人心弦的非常強烈的,不可抗拒的令人信朋的,有說朋力的"
